"plh0012_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"SPD","1984","Schleswig-Holstein","maennlich","74","0.555613852899468","0.470523714130919","0.640703991668017"
"SPD","1984","Schleswig-Holstein","weiblich","71","0.536447661920037","0.449028598181234","0.62386672565884"
"SPD","1984","Hamburg","maennlich","45","0.507069899885326","0.400786555184002","0.61335324458665"
"SPD","1984","Hamburg","weiblich","48","0.495454097402574","0.39158050738703","0.599327687418117"
"SPD","1984","Niedersachsen","maennlich","163","0.470562112385197","0.416627677959247","0.524496546811147"
"SPD","1984","Niedersachsen","weiblich","168","0.477190516197473","0.42394201704947","0.530439015345476"
"SPD","1984","Bremen","maennlich","","","",""
"SPD","1984","Bremen","weiblich","","","",""
"SPD","1984","Nordrhein-Westfalen","maennlich","514","0.495006168175224","0.463145794517269","0.526866541833178"
"SPD","1984","Nordrhein-Westfalen","weiblich","440","0.47783998941454","0.444299349516734","0.511380629312346"
"SPD","1984","Hessen","maennlich","199","0.506547657396471","0.454540073581874","0.558555241211068"
"SPD","1984","Hessen","weiblich","179","0.521436568188274","0.46618383521794","0.576689301158608"
"SPD","1984","Rheinland-Pfalz,Saarland","maennlich","119","0.489795879481815","0.424908503475212","0.554683255488417"
"SPD","1984","Rheinland-Pfalz,Saarland","weiblich","116","0.514738944815296","0.44839503266445","0.581082856966141"
"SPD","1984","Baden-Wuerttemberg","maennlich","262","0.399298389718556","0.357990844345111","0.440605935092001"
"SPD","1984","Baden-Wuerttemberg","weiblich","212","0.368204624973244","0.325928426344361","0.410480823602127"
"SPD","1984","Bayern","maennlich","220","0.334038934854693","0.295386839582871","0.372691030126515"
"SPD","1984","Bayern","weiblich","194","0.324526506187023","0.285182563017053","0.363870449356993"
"SPD","1984","Saarland","maennlich","","","",""
"SPD","1984","Saarland","weiblich","","","",""
"SPD","1984","Berlin","maennlich","55","0.514233097568132","0.419533054720134","0.608933140416131"
"SPD","1984","Berlin","weiblich","55","0.591023983324855","0.490561097324927","0.691486869324783"
"SPD","1984","Brandenburg","maennlich","","","",""
"SPD","1984","Brandenburg","weiblich","","","",""
"SPD","1984","Mecklenburg-Vorpommern","maennlich","","","",""
"SPD","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"SPD","1984","Sachsen","maennlich","","","",""
"SPD","1984","Sachsen","weiblich","","","",""
"SPD","1984","Sachsen-Anhalt","maennlich","","","",""
"SPD","1984","Sachsen-Anhalt","weiblich","","","",""
"SPD","1984","Thueringen","maennlich","","","",""
"SPD","1984","Thueringen","weiblich","","","",""
"CDU","1984","Schleswig-Holstein","maennlich","35","0.280224516908672","0.203317842400368","0.357131191416976"
"CDU","1984","Schleswig-Holstein","weiblich","38","0.344337173794338","0.261040948610372","0.427633398978305"
"CDU","1984","Hamburg","maennlich","","","",""
"CDU","1984","Hamburg","weiblich","","","",""
"CDU","1984","Niedersachsen","maennlich","110","0.36755261159814","0.315454485774372","0.419650737421909"
"CDU","1984","Niedersachsen","weiblich","132","0.42190324840797","0.369253483053464","0.474553013762477"
"CDU","1984","Bremen","maennlich","","","",""
"CDU","1984","Bremen","weiblich","","","",""
"CDU","1984","Nordrhein-Westfalen","maennlich","267","0.34482148421506","0.314532862919514","0.375110105510605"
"CDU","1984","Nordrhein-Westfalen","weiblich","287","0.393184309959434","0.360385749417406","0.425982870501462"
"CDU","1984","Hessen","maennlich","77","0.28940932030495","0.242235622072109","0.336583018537791"
"CDU","1984","Hessen","weiblich","78","0.301971513971012","0.25119032930035","0.352752698641675"
"CDU","1984","Rheinland-Pfalz,Saarland","maennlich","75","0.359760491949973","0.297464710678641","0.422056273221305"
"CDU","1984","Rheinland-Pfalz,Saarland","weiblich","77","0.374093691332042","0.309859730749328","0.438327651914756"
"CDU","1984","Baden-Wuerttemberg","maennlich","172","0.420111146842534","0.37848121557356","0.461741078111509"
"CDU","1984","Baden-Wuerttemberg","weiblich","187","0.451442601931622","0.407823632818356","0.495061571044889"
"CDU","1984","Bayern","maennlich","","","",""
"CDU","1984","Bayern","weiblich","","","",""
"CDU","1984","Saarland","maennlich","","","",""
"CDU","1984","Saarland","weiblich","","","",""
"CDU","1984","Berlin","maennlich","","","",""
"CDU","1984","Berlin","weiblich","","","",""
"CDU","1984","Brandenburg","maennlich","","","",""
"CDU","1984","Brandenburg","weiblich","","","",""
"CDU","1984","Mecklenburg-Vorpommern","maennlich","","","",""
"CDU","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"CDU","1984","Sachsen","maennlich","","","",""
"CDU","1984","Sachsen","weiblich","","","",""
