"plh0012_h","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"SPD","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","275","0.56184826287053","0.511428777186781","0.612267748554278"
"SPD","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","2107","0.510637637697702","0.495000954530223","0.526274320865181"
"SPD","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","404","0.348049827934238","0.319835549670025","0.376264106198451"
"SPD","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","187","0.313156622440466","0.272787085382905","0.353526159498026"
"SPD","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","180","0.31745654164044","0.276898205776006","0.358014877504875"
"SPD","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"CDU","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","1041","0.297938555243178","0.283632369517229","0.312244740969126"
"CDU","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","365","0.35950854682206","0.331086698944414","0.387930394699707"
"CDU","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","115","0.290761698518499","0.251233338128356","0.330290058908641"
"CDU","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","147","0.331672735746514","0.290650218307309","0.37269525318572"
"CDU","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
