"plh0012_h","year","migback","n","percent","lower_confidence","upper_confidence"
"SPD","1984","kein Migrationshintergrund","2357","0.445338721418029","0.431916463339741","0.458760979496318"
"SPD","1984","direkter Migrationshintergrund","791","0.553600496777361","0.524512638239523","0.582688355315199"
"SPD","1984","indirekter Migrationshintergrund","","","",""
"CDU","1984","kein Migrationshintergrund","1618","0.315623234112845","0.303071649930181","0.328174818295509"
"CDU","1984","direkter Migrationshintergrund","74","0.207512416239083","0.183783935120158","0.231240897358007"
"CDU","1984","indirekter Migrationshintergrund","","","",""
"CSU","1984","kein Migrationshintergrund","270","0.0527801967817129","0.046741721137471","0.0588186724259549"
"CSU","1984","direkter Migrationshintergrund","","","",""
"CSU","1984","indirekter Migrationshintergrund","","","",""
"FDP","1984","kein Migrationshintergrund","166","0.0323551691438743","0.0275766177683474","0.0371337205194011"
"FDP","1984","direkter Migrationshintergrund","","","",""
"FDP","1984","indirekter Migrationshintergrund","","","",""
"Buendnis90/Gruene","1984","kein Migrationshintergrund","332","0.0564762470672509","0.0502421183425401","0.0627103757919617"
"Buendnis90/Gruene","1984","direkter Migrationshintergrund","89","0.072135510317563","0.0569975105616798","0.0872735100734463"
"Buendnis90/Gruene","1984","indirekter Migrationshintergrund","","","",""
"Die Linke","1984","kein Migrationshintergrund","","","",""
"Die Linke","1984","direkter Migrationshintergrund","","","",""
"Die Linke","1984","indirekter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1984","kein Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1984","direkter Migrationshintergrund","","","",""
"NPD/Republikaner/Die Rechte","1984","indirekter Migrationshintergrund","","","",""
"Andere","1984","kein Migrationshintergrund","","","",""
"Andere","1984","direkter Migrationshintergrund","","","",""
"Andere","1984","indirekter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1984","kein Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1984","direkter Migrationshintergrund","","","",""
"SPD/Buendnis90/Gruene","1984","indirekter Migrationshintergrund","","","",""
"SPD/CDU","1984","kein Migrationshintergrund","","","",""
"SPD/CDU","1984","direkter Migrationshintergrund","","","",""
"SPD/CDU","1984","indirekter Migrationshintergrund","","","",""
"SPD/FDP","1984","kein Migrationshintergrund","","","",""
"SPD/FDP","1984","direkter Migrationshintergrund","","","",""
"SPD/FDP","1984","indirekter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1984","kein Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1984","direkter Migrationshintergrund","","","",""
"SPD/DVU(Rep/NPD)","1984","indirekter Migrationshintergrund","","","",""
