"year","quintil","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","414.75","392.17","3746","156","256","511","663","1109.33","407.55","421.95","41","1330.33","409","442"
"1998","2","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","2","Staedtischer Raum","441.63","403.83","3221","205","286","554.67","767","1109.33","434.03","449.23","51","1330.33","442","442"
"1998","3","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","3","Staedtischer Raum","","","","","","","","","","","","","",""
"1998","4","Laendlicher Raum","502.09","438.5","633","256","307","614","888.33","1534","482.92","521.26","51","1534","442","442"
"1998","4","Staedtischer Raum","","","","","","","","","","","","","",""
"1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","514.4","451","878","230","333.67","663","818","1432","496.77","532.03","77","1772.33","442","511"
"1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","","","","","","","","","","","",""
"1999","2","Laendlicher Raum","","","","","","","","","","","","","",""
"1999","2","Staedtischer Raum","","","","","","","","","","","","","",""
"1999","3","Laendlicher Raum","","","","","","","","","","","","","",""
"1999","3","Staedtischer Raum","","","","","","","","","","","","","",""
"1999","4","Laendlicher Raum","","","","","","","","","","","","","",""
"1999","4","Staedtischer Raum","","","","","","","","","","","","","",""
"1999","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"1999","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","","","","","","","","","","","",""
"2000","1 Einkommensschwächstes Quintil","Laendlicher Raum","405.24","380","3435","177.67","230","511","663","1109.33","397.97","412.51","20","2214.33","409","409"
"2000","1 Einkommensschwächstes Quintil","Staedtischer Raum","411.95","356.67","5097","156","221","554.67","716","1109.33","405.39","418.51","20","1551.33","409","442"
"2000","2","Laendlicher Raum","439.32","403.83","3405","205","256","554.67","663","1227","430.8","447.84","26","3323.67","442","442"
"2000","2","Staedtischer Raum","467.02","438.5","5198","205","307","554.67","767","1330.33","460.24","473.8","43.33","2214.33","442","442"
"2000","3","Laendlicher Raum","","","","","","","","","","","","","",""
"2000","3","Staedtischer Raum","470.88","438.5","4413","221","307","554.67","775.67","1109.33","463.75","478.01","43.33","1790","442","442"
"2000","4","Laendlicher Raum","","","","","","","","","","","","","",""
"2000","4","Staedtischer Raum","487.17","438.5","3389","221","307","614","818","1330.33","478.22","496.12","43.33","2045","442","460"
"2000","5 Einkommensstärkstes Quintil","Laendlicher Raum","529.8","431.17","601","205","307","663","888.33","2045","506.4","553.2","77","2214.33","442","511"
"2000","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","","","","","","","","","","","",""
"2001","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2001","1 Einkommensschwächstes Quintil","Staedtischer Raum","413.13","356.67","4264","153","221","511","767","1109.33","405.42","420.84","51","3068","409","409"
"2001","2","Laendlicher Raum","","","","","","","","","","","","","",""
"2001","2","Staedtischer Raum","458.43","441","4611","205","307","554.67","767","1109.33","451.31","465.55","51","2214.33","442","442"
"2001","3","Laendlicher Raum","","","","","","","","","","","","","",""
"2001","3","Staedtischer Raum","484.61","438.5","4142","221","307","614","818","1109.33","477.21","492.01","51","2660.67","442","460"
"2001","4","Laendlicher Raum","","","","","","","","","","","","","",""
"2001","4","Staedtischer Raum","477.37","438.5","3296","221","307","614","775.67","1330.33","468.41","486.33","51","2214.33","442","442"
"2001","5 Einkommensstärkstes Quintil","Laendlicher Raum","539.73","451","610","230","307","614","1023","2045","516.15","563.31","26","2045","442","511"
"2001","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","","","","","","","","","","","",""
"2002","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2002","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","","","","","","","","","","","",""
"2002","2","Laendlicher Raum","","","","","","","","","","","","","",""
"2002","2","Staedtischer Raum","","","","","","","","","","","","","",""
"2002","3","Laendlicher Raum","","","","","","","","","","","","","",""
"2002","3","Staedtischer Raum","","","","","","","","","","","","","",""
"2002","4","Laendlicher Raum","","","","","","","","","","","","","",""
"2002","4","Staedtischer Raum","","","","","","","","","","","","","",""
"2002","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2002","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","","","","","","","","","","","",""
"2003","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","1 Einkommensschwächstes Quintil","Staedtischer Raum","423.1","395","3340","150","216.67","550","800","1300","414.22","431.98","0","2166.67","400","433.333343505859"
"2003","2","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","2","Staedtischer Raum","483.62","426.67","3738","200","300","600","866.67","1300","475","492.24","50","2166.67","433.333343505859","450"
"2003","3","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","3","Staedtischer Raum","499.03","426.67","3859","216.67","325","600","866.67","1400","490.24","507.82","30","2166.67","475","500"
"2003","4","Laendlicher Raum","","","","","","","","","","","","","",""
"2003","4","Staedtischer Raum","503.98","433.17","3999","200","300","650","866.67","1500","494.23","513.73","50","3033.33","500","500"
