"year","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1998","1 Einkommensschwächstes Quintil","417.92","372.5","6281","412.07","423.77"
"1998","2","441.3","406.5","5103","435.28","447.32"
"1998","3","464.6","438.5","3558","457.3","471.9"
"1998","4","504.76","438.5","2352","494.18","515.34"
"1998","5 Einkommensstärkstes Quintil","527.13","451","1141","511.48","542.78"
"1999","1 Einkommensschwächstes Quintil","","","","",""
"1999","2","","","","",""
"1999","3","","","","",""
"1999","4","","","","",""
"1999","5 Einkommensstärkstes Quintil","","","","",""
"2000","1 Einkommensschwächstes Quintil","409.35","359.5","8532","404.45","414.25"
"2000","2","456.83","403.83","8603","451.52","462.14"
"2000","3","469.06","438.5","6639","463.23","474.89"
"2000","4","480.57","438.5","4703","473.3","487.84"
"2000","5 Einkommensstärkstes Quintil","521.77","451","2855","511.4","532.14"
"2001","1 Einkommensschwächstes Quintil","413.17","356.67","7163","407.46","418.88"
"2001","2","456.21","441","7536","450.77","461.65"
"2001","3","474.8","438.5","6253","468.88","480.72"
"2001","4","474.91","438.5","4593","467.49","482.33"
"2001","5 Einkommensstärkstes Quintil","522.34","438.5","2823","512.12","532.56"
"2002","1 Einkommensschwächstes Quintil","","","","",""
"2002","2","","","","",""
"2002","3","","","","",""
"2002","4","","","","",""
"2002","5 Einkommensstärkstes Quintil","","","","",""
"2003","1 Einkommensschwächstes Quintil","433.92","395","5647","426.58","441.26"
"2003","2","477.45","426.67","6005","470.88","484.02"
"2003","3","500.17","426.67","6004","493.33","507.01"
"2003","4","506.38","433.17","5738","498.29","514.47"
"2003","5 Einkommensstärkstes Quintil","584.5","490","4827","572.79","596.21"
"2004","1 Einkommensschwächstes Quintil","","","","",""
"2004","2","","","","",""
"2004","3","","","","",""
"2004","4","","","","",""
"2004","5 Einkommensstärkstes Quintil","","","","",""
"2005","1 Einkommensschwächstes Quintil","417.7","385","5238","410.37","425.03"
"2005","2","477.43","429.17","5444","470.94","483.92"
"2005","3","497.06","426.67","5494","490.23","503.89"
"2005","4","510.08","431.67","5375","501.7","518.46"
"2005","5 Einkommensstärkstes Quintil","564.63","490","4756","554.9","574.36"
"2006","1 Einkommensschwächstes Quintil","","","","",""
"2006","2","","","","",""
"2006","3","","","","",""
"2006","4","","","","",""
"2006","5 Einkommensstärkstes Quintil","","","","",""
"2007","1 Einkommensschwächstes Quintil","390.59","343.33","4732","383.6","397.58"
"2007","2","468.12","395","5295","461.12","475.12"
"2007","3","504.32","431.67","5475","497.09","511.55"
"2007","4","522.38","426.67","5613","514.3","530.46"
"2007","5 Einkommensstärkstes Quintil","607.19","492.67","4864","596.34","618.04"
"2008","1 Einkommensschwächstes Quintil","","","","",""
"2008","2","","","","",""
"2008","3","","","","",""
"2008","4","","","","",""
"2008","5 Einkommensstärkstes Quintil","","","","",""
"2009","1 Einkommensschwächstes Quintil","","","","",""
"2009","2","","","","",""
"2009","3","","","","",""
"2009","4","","","","",""
"2009","5 Einkommensstärkstes Quintil","","","","",""
"2010","1 Einkommensschwächstes Quintil","","","","",""
"2010","2","","","","",""
"2010","3","","","","",""
"2010","4","","","","",""
"2010","5 Einkommensstärkstes Quintil","","","","",""
"2011","1 Einkommensschwächstes Quintil","359.02","297.5","4187","350.67","367.37"
"2011","2","442.16","395","4598","434.49","449.83"
"2011","3","482.63","426.67","5153","474.4","490.86"
"2011","4","522.21","431.17","6446","514.99","529.43"
"2011","5 Einkommensstärkstes Quintil","580.78","499.17","6045","571.14","590.42"
"2012","1 Einkommensschwächstes Quintil","","","","",""
"2012","2","","","","",""
"2012","3","","","","",""
"2012","4","","","","",""
"2012","5 Einkommensstärkstes Quintil","","","","",""
"2013","1 Einkommensschwächstes Quintil","382.2","295.5","5794","374.09","390.31"
"2013","2","440.46","399.5","5613","432.95","447.97"
"2013","3","483.94","426.67","6092","476.17","491.71"
"2013","4","495.52","431.67","7394","488.79","502.25"
"2013","5 Einkommensstärkstes Quintil","572.28","490","6940","562.13","582.43"
"2014","1 Einkommensschwächstes Quintil","","","","",""
"2014","2","","","","",""
"2014","3","","","","",""
"2014","4","","","","",""
"2014","5 Einkommensstärkstes Quintil","","","","",""
"2015","1 Einkommensschwächstes Quintil","","","","",""
"2015","2","","","","",""
"2015","3","","","","",""
"2015","4","","","","",""
"2015","5 Einkommensstärkstes Quintil","","","","",""
"2016","1 Einkommensschwächstes Quintil","396.92","322.83","4890","388.73","405.11"
"2016","2","452.67","395","6104","445.79","459.55"
"2016","3","459.54","422.5","6726","453.16","465.92"
"2016","4","507.93","429.17","9179","501.87","513.99"
"2016","5 Einkommensstärkstes Quintil","558.84","495","9458","551.54","566.14"
"2017","1 Einkommensschwächstes Quintil","","","","",""
"2017","2","","","","",""
"2017","3","","","","",""
"2017","4","","","","",""
"2017","5 Einkommensstärkstes Quintil","","","","",""
"2018","1 Einkommensschwächstes Quintil","420.64","343.33","10955","410.54","430.74"
"2018","2","430.74","395","6129","421.57","439.91"
"2018","3","478.99","426.67","6983","472.07","485.91"
"2018","4","504.21","429.17","10282","498.79","509.63"
"2018","5 Einkommensstärkstes Quintil","558.1","497","11968","552.36","563.84"
"2019","1 Einkommensschwächstes Quintil","","","","",""
"2019","2","","","","",""
"2019","3","","","","",""
"2019","4","","","","",""
"2019","5 Einkommensstärkstes Quintil","","","","",""
"2020","1 Einkommensschwächstes Quintil","447.63","342.33","8894","438.86","456.4"
"2020","2","496.81","432.67","6999","485.61","508.01"
"2020","3","488.44","426.67","6357","478.5","498.38"
"2020","4","508.61","426.67","10313","502.74","514.48"
"2020","5 Einkommensstärkstes Quintil","581.35","499.17","15490","574.74","587.96"
