"year","hhtyp","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1998","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","351.96","332.83","920","341.19","362.73"
"1998","(Ehe-)Paar ohne Kind(er)","2","391.08","380","910","380.98","401.18"
"1998","(Ehe-)Paar ohne Kind(er)","3","413.2","397.33","1112","403.24","423.16"
"1998","(Ehe-)Paar ohne Kind(er)","4","425.06","403.83","842","411.73","438.39"
"1998","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","503.76","425.5","514","485.76","521.76"
"1998","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","192.46","178.33","526","183.88","201.04"
"1998","1-Pers.- Haushalt","2","238.25","213","479","227.25","249.25"
"1998","1-Pers.- Haushalt","3","270.08","213","296","253.03","287.13"
"1998","1-Pers.- Haushalt","4","288.06","243","212","268.92","307.2"
"1998","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","327.83","296.5","136","299.05","356.61"
"1998","Alleinerziehende","1 Einkommensschwächstes Quintil","351.59","332.83","572","334.78","368.4"
"1998","Alleinerziehende","2","402.21","345.83","265","378.99","425.43"
"1998","Alleinerziehende","3","410.21","356.67","158","386.23","434.19"
"1998","Alleinerziehende","4","443.43","425.5","66","411.33","475.53"
"1998","Alleinerziehende","5 Einkommensstärkstes Quintil","574.89","476.5","34","507.52","642.26"
"1998","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","514.51","438.5","3933","507.2","521.82"
"1998","Paar mit Kind(ern)","2","529.33","504.67","3128","521.98","536.68"
"1998","Paar mit Kind(ern)","3","561.62","498.17","1821","551.26","571.98"
"1998","Paar mit Kind(ern)","4","649.35","593.5","1098","633.46","665.24"
"1998","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","672.75","595.17","428","644.19","701.31"
"1998","Sonstige","1 Einkommensschwächstes Quintil","450.61","403.83","330","423.66","477.56"
"1998","Sonstige","2","507.02","425.5","321","478.2","535.84"
"1998","Sonstige","3","583.22","584.33","171","549.23","617.21"
"1998","Sonstige","4","589.72","558.33","134","548.63","630.81"
"1998","Sonstige","5 Einkommensstärkstes Quintil","","","","",""
"1999","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","","",""
"1999","(Ehe-)Paar ohne Kind(er)","2","","","","",""
"1999","(Ehe-)Paar ohne Kind(er)","3","","","","",""
"1999","(Ehe-)Paar ohne Kind(er)","4","","","","",""
"1999","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","","",""
"1999","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","","",""
