"year","hhtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1998","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","364.01","332.83","1178","354.64","373.38"
"1998","(Ehe-)Paar ohne Kind(er)","Westdeutschland","422.81","403.83","3120","416.29","429.33"
"1998","1-Pers.- Haushalt","Ostdeutschland","207.36","202.17","391","198.21","216.51"
"1998","1-Pers.- Haushalt","Westdeutschland","253.71","218","1258","245.75","261.67"
"1998","Alleinerziehende","Ostdeutschland","339.75","320.33","302","322.64","356.86"
"1998","Alleinerziehende","Westdeutschland","398.4","356.67","793","384.08","412.72"
"1998","Paar mit Kind(ern)","Ostdeutschland","469.62","438.5","2726","462.21","477.03"
"1998","Paar mit Kind(ern)","Westdeutschland","571.6","508.5","7682","566.1","577.1"
"1998","Sonstige","Ostdeutschland","413.08","344.5","267","389.6","436.56"
"1998","Sonstige","Westdeutschland","550.52","485.5","718","531.82","569.22"
"1999","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1999","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","",""
"1999","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1999","1-Pers.- Haushalt","Westdeutschland","","","","",""
"1999","Alleinerziehende","Ostdeutschland","","","","",""
"1999","Alleinerziehende","Westdeutschland","","","","",""
"1999","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1999","Paar mit Kind(ern)","Westdeutschland","","","","",""
"1999","Sonstige","Ostdeutschland","","","","",""
"1999","Sonstige","Westdeutschland","","","","",""
"2000","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","362.85","332.83","1916","355.17","370.53"
"2000","(Ehe-)Paar ohne Kind(er)","Westdeutschland","428.77","403.83","5912","423.54","434"
"2000","1-Pers.- Haushalt","Ostdeutschland","215.57","202.17","750","208.51","222.63"
"2000","1-Pers.- Haushalt","Westdeutschland","254.86","220.5","2442","249.12","260.6"
"2000","Alleinerziehende","Ostdeutschland","337.18","320.33","517","322.75","351.61"
"2000","Alleinerziehende","Westdeutschland","404.47","356.67","1349","393.67","415.27"
"2000","Paar mit Kind(ern)","Ostdeutschland","480.63","438.5","3855","473.82","487.44"
"2000","Paar mit Kind(ern)","Westdeutschland","578.83","506","13407","574.52","583.14"
"2000","Sonstige","Ostdeutschland","402.32","403.83","233","377.37","427.27"
"2000","Sonstige","Westdeutschland","525.61","498.17","951","508.51","542.71"
"2001","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","355.43","332.83","1834","348.51","362.35"
"2001","(Ehe-)Paar ohne Kind(er)","Westdeutschland","433.24","403.83","5250","427.64","438.84"
"2001","1-Pers.- Haushalt","Ostdeutschland","215.52","202.17","695","207.77","223.27"
"2001","1-Pers.- Haushalt","Westdeutschland","257.09","220.5","2175","250.57","263.61"
"2001","Alleinerziehende","Ostdeutschland","338.43","309.5","477","324.67","352.19"
"2001","Alleinerziehende","Westdeutschland","390.47","338","1258","380.22","400.72"
"2001","Paar mit Kind(ern)","Ostdeutschland","478.71","441","3472","471.94","485.48"
"2001","Paar mit Kind(ern)","Westdeutschland","588.07","545.83","12155","583.53","592.61"
"2001","Sonstige","Ostdeutschland","425.34","425.5","182","393.41","457.27"
"2001","Sonstige","Westdeutschland","547.54","498.5","870","528.1","566.98"
"2002","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"2002","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","",""
"2002","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"2002","1-Pers.- Haushalt","Westdeutschland","","","","",""
"2002","Alleinerziehende","Ostdeutschland","","","","",""
"2002","Alleinerziehende","Westdeutschland","","","","",""
"2002","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"2002","Paar mit Kind(ern)","Westdeutschland","","","","",""
"2002","Sonstige","Ostdeutschland","","","","",""
"2002","Sonstige","Westdeutschland","","","","",""
"2003","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","422.13","395","1914","412.89","431.37"
"2003","(Ehe-)Paar ohne Kind(er)","Westdeutschland","467.15","433.17","5584","460.5","473.8"
"2003","1-Pers.- Haushalt","Ostdeutschland","241.84","215.83","691","232.66","251.02"
"2003","1-Pers.- Haushalt","Westdeutschland","271.29","218.33","2156","264.87","277.71"
"2003","Alleinerziehende","Ostdeutschland","369.93","322.5","428","350.52","389.34"
"2003","Alleinerziehende","Westdeutschland","412.86","395","1299","400.59","425.13"
"2003","Paar mit Kind(ern)","Ostdeutschland","536.16","445","3242","526.68","545.64"
