year,sex,ple0018,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.19183,2082,8598,0.18351,0.20015
2009,male,No,0.64395,6516,8598,0.63383,0.65408
2009,female,Yes,0.20381,2139,9420,0.19567,0.21194
2009,female,No,0.64738,7281,9420,0.63773,0.65703
2011,male,Yes,0.19764,2578,9789,0.18976,0.20553
2011,male,No,0.56862,7211,9789,0.55881,0.57843
2011,female,Yes,0.19608,2590,10956,0.18865,0.20351
2011,female,No,0.57150,8366,10956,0.56223,0.58076
2013,male,Yes,0.21306,2668,8834,0.20452,0.22160
2013,male,No,0.49347,6166,8834,0.48305,0.50390
2013,female,Yes,0.21215,2750,10032,0.20415,0.22015
2013,female,No,0.50393,7282,10032,0.49414,0.51371
2015,male,Yes,0.23069,2931,11458,0.22297,0.23840
2015,male,No,0.58647,8527,11458,0.57745,0.59548
2015,female,Yes,0.22273,3012,13582,0.21573,0.22972
2015,female,No,0.61034,10570,13582,0.60213,0.61854
2017,male,Yes,0.22852,3213,12261,0.22108,0.23595
2017,male,No,0.59629,9048,12261,0.58761,0.60498
2017,female,Yes,0.22656,3199,14288,0.21969,0.23342
2017,female,No,0.61654,11089,14288,0.60857,0.62452
2019,male,Yes,0.23712,3432,12278,0.22960,0.24464
2019,male,No,0.58534,8846,12278,0.57662,0.59405
2019,female,Yes,0.22692,3203,13440,0.21984,0.23400
2019,female,No,0.61338,10237,13440,0.60515,0.62161
2021,male,Yes,0.23318,2356,9292,0.22458,0.24178
2021,male,No,0.58470,6936,9292,0.57468,0.59472
2021,female,Yes,0.23152,2286,9865,0.22320,0.23984
2021,female,No,0.59655,7579,9865,0.58687,0.60623
