year,ple0018,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Yes,0.19792,4221,18018,0.19210,0.20374
2009,No,0.64570,13797,18018,0.63871,0.65268
2011,Yes,0.19684,5168,20745,0.19143,0.20225
2011,No,0.57007,15577,20745,0.56334,0.57681
2013,Yes,0.21260,5418,18866,0.20676,0.21844
2013,No,0.49879,13448,18866,0.49166,0.50593
2015,Yes,0.22664,5943,25040,0.22145,0.23183
2015,No,0.59857,19097,25040,0.59250,0.60464
2017,Yes,0.22752,6412,26549,0.22248,0.23256
2017,No,0.60649,20137,26549,0.60061,0.61236
2019,Yes,0.23187,6636,25725,0.22671,0.23703
2019,No,0.59940,19089,25725,0.59341,0.60539
2021,Yes,0.23239,4644,19164,0.22641,0.23837
2021,No,0.59065,14520,19164,0.58369,0.59762
