"year","hhtyp","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1984","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1984","(Ehe-)Paar ohne Kind(er)","Westdeutschland","294.82","0","2702","248.49","341.15"
"1984","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1984","1-Pers.- Haushalt","Westdeutschland","348.47","0","1288","273.03","423.91"
"1984","Alleinerziehende","Ostdeutschland","","","","",""
"1984","Alleinerziehende","Westdeutschland","1499.8","624","828","1350.92","1648.68"
"1984","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1984","Paar mit Kind(ern)","Westdeutschland","1399.77","726","10356","1359.19","1440.35"
"1984","Sonstige","Ostdeutschland","","","","",""
"1984","Sonstige","Westdeutschland","1318.09","192","1002","1151.31","1484.87"
"1985","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1985","(Ehe-)Paar ohne Kind(er)","Westdeutschland","308.82","0","2450","260.94","356.7"
"1985","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1985","1-Pers.- Haushalt","Westdeutschland","334.19","0","1140","265.22","403.16"
"1985","Alleinerziehende","Ostdeutschland","","","","",""
"1985","Alleinerziehende","Westdeutschland","1379.86","230","748","1234.05","1525.67"
"1985","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1985","Paar mit Kind(ern)","Westdeutschland","1420.67","753","9339","1376.78","1464.56"
"1985","Sonstige","Ostdeutschland","","","","",""
"1985","Sonstige","Westdeutschland","1327.4","271.5","921","1150.41","1504.39"
"1986","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1986","(Ehe-)Paar ohne Kind(er)","Westdeutschland","344.13","0","2410","288.55","399.71"
"1986","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1986","1-Pers.- Haushalt","Westdeutschland","421.14","0","1079","334.63","507.65"
"1986","Alleinerziehende","Ostdeutschland","","","","",""
"1986","Alleinerziehende","Westdeutschland","1497.06","230","712","1342.27","1651.85"
"1986","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1986","Paar mit Kind(ern)","Westdeutschland","1402.34","724","8799","1356.82","1447.86"
"1986","Sonstige","Ostdeutschland","","","","",""
"1986","Sonstige","Westdeutschland","1067.21","184","894","912.45","1221.97"
"1987","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1987","(Ehe-)Paar ohne Kind(er)","Westdeutschland","310.48","0","2384","252.18","368.78"
"1987","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1987","1-Pers.- Haushalt","Westdeutschland","383.84","0","1078","307.11","460.57"
"1987","Alleinerziehende","Ostdeutschland","","","","",""
"1987","Alleinerziehende","Westdeutschland","1670.17","598.5","705","1458.12","1882.22"
"1987","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1987","Paar mit Kind(ern)","Westdeutschland","1511.27","731","8532","1460.76","1561.78"
"1987","Sonstige","Ostdeutschland","","","","",""
"1987","Sonstige","Westdeutschland","1428.76","153.5","943","1271.53","1585.99"
"1988","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1988","(Ehe-)Paar ohne Kind(er)","Westdeutschland","330.78","0","2336","273.19","388.37"
"1988","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1988","1-Pers.- Haushalt","Westdeutschland","367.32","0","1037","287.7","446.94"
"1988","Alleinerziehende","Ostdeutschland","","","","",""
"1988","Alleinerziehende","Westdeutschland","1634.79","398.5","704","1457.43","1812.15"
"1988","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1988","Paar mit Kind(ern)","Westdeutschland","1481.75","733","8110","1431.33","1532.17"
"1988","Sonstige","Ostdeutschland","","","","",""
"1988","Sonstige","Westdeutschland","1403.14","281.5","826","1203.25","1603.03"
"1989","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1989","(Ehe-)Paar ohne Kind(er)","Westdeutschland","367.5","0","2316","301.19","433.81"
"1989","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1989","1-Pers.- Haushalt","Westdeutschland","399.22","0","1040","309.34","489.1"
"1989","Alleinerziehende","Ostdeutschland","","","","",""
"1989","Alleinerziehende","Westdeutschland","1543.18","230","660","1355.87","1730.49"
"1989","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1989","Paar mit Kind(ern)","Westdeutschland","1598.56","730","7743","1542.64","1654.48"
"1989","Sonstige","Ostdeutschland","","","","",""
"1989","Sonstige","Westdeutschland","1685.34","521.5","835","1473.91","1896.77"
"1990","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1990","(Ehe-)Paar ohne Kind(er)","Westdeutschland","311.36","0","2368","255.76","366.96"
"1990","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1990","1-Pers.- Haushalt","Westdeutschland","255.09","0","1001","186.32","323.86"
"1990","Alleinerziehende","Ostdeutschland","","","","",""
"1990","Alleinerziehende","Westdeutschland","1712.81","153.5","640","1501.25","1924.37"
"1990","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1990","Paar mit Kind(ern)","Westdeutschland","1623.17","726","7526","1563.89","1682.45"
"1990","Sonstige","Ostdeutschland","","","","",""
"1990","Sonstige","Westdeutschland","1766.5","639.5","898","1585.8","1947.2"
"1991","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","",""
"1991","(Ehe-)Paar ohne Kind(er)","Westdeutschland","283.25","0","2396","227.43","339.07"
"1991","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"1991","1-Pers.- Haushalt","Westdeutschland","287.17","0","1003","212.15","362.19"
"1991","Alleinerziehende","Ostdeutschland","","","","",""
"1991","Alleinerziehende","Westdeutschland","1642.26","337.5","659","1444.77","1839.75"
"1991","Paar mit Kind(ern)","Ostdeutschland","","","","",""
"1991","Paar mit Kind(ern)","Westdeutschland","1639.78","749.5","7467","1584.04","1695.52"
"1991","Sonstige","Ostdeutschland","","","","",""
"1991","Sonstige","Westdeutschland","1577.92","361","902","1409.57","1746.27"
"1992","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","556.66","0","932","458.93","654.39"
"1992","(Ehe-)Paar ohne Kind(er)","Westdeutschland","364.32","0","2458","291.99","436.65"
"1992","1-Pers.- Haushalt","Ostdeutschland","273.09","58.5","296","186.48","359.7"
"1992","1-Pers.- Haushalt","Westdeutschland","359.07","0","1006","270.88","447.26"
"1992","Alleinerziehende","Ostdeutschland","1632.6","766","291","1435.45","1829.75"
"1992","Alleinerziehende","Westdeutschland","1995.55","179","666","1707.16","2283.94"
"1992","Paar mit Kind(ern)","Ostdeutschland","2565.63","1461.5","3528","2476.51","2654.75"
"1992","Paar mit Kind(ern)","Westdeutschland","1773.18","731","7433","1710.33","1836.03"
"1992","Sonstige","Ostdeutschland","2093.49","1043","354","1850.85","2336.13"
"1992","Sonstige","Westdeutschland","1538.7","444.5","878","1357.88","1719.52"
"1993","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","1085.26","0","954","910.13","1260.39"
"1993","(Ehe-)Paar ohne Kind(er)","Westdeutschland","356.2","0","2494","287.08","425.32"
"1993","1-Pers.- Haushalt","Ostdeutschland","708.7","186.5","300","527.2","890.2"
"1993","1-Pers.- Haushalt","Westdeutschland","348.21","0","1062","266.47","429.95"
"1993","Alleinerziehende","Ostdeutschland","3317.88","2140","297","2934.39","3701.37"
"1993","Alleinerziehende","Westdeutschland","2045.36","368","621","1755.91","2334.81"
"1993","Paar mit Kind(ern)","Ostdeutschland","3413.14","2134.5","3299","3290.84","3535.44"
"1993","Paar mit Kind(ern)","Westdeutschland","1836.85","854.5","7266","1773.14","1900.56"
"1993","Sonstige","Ostdeutschland","3536.38","1310","317","3036.76","4036"
"1993","Sonstige","Westdeutschland","1612.86","726","918","1399.7","1826.02"
"1994","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","1452.98","0","984","1208.57","1697.39"
"1994","(Ehe-)Paar ohne Kind(er)","Westdeutschland","420.47","0","2554","346","494.94"
"1994","1-Pers.- Haushalt","Ostdeutschland","852.51","0","315","578.2","1126.82"
