"year","quintil","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","3306.9","1725.5","2818","3134.34","3479.46"
"1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","2822.48","1224","4287","2697.37","2947.59"
"1995","2","Laendlicher Raum","1700.5","398.5","1765","1557.15","1843.85"
"1995","2","Staedtischer Raum","1275.31","419","3185","1181.27","1369.35"
"1995","3","Laendlicher Raum","1172.08","424","983","1012.2","1331.96"
"1995","3","Staedtischer Raum","985.18","291.5","2034","904.34","1066.02"
"1995","4","Laendlicher Raum","660.04","0","478","541.87","778.21"
"1995","4","Staedtischer Raum","595.12","0","1317","498.38","691.86"
"1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","484.9","0","160","17.22","952.58"
"1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","375.04","0","685","221.34","528.74"
"1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","3349.97","1342","2475","3170.84","3529.1"
"1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","2967.47","1219.5","3899","2829.06","3105.88"
"1996","2","Laendlicher Raum","2190.41","847.5","1855","2010.86","2369.96"
"1996","2","Staedtischer Raum","1538.26","404.5","3081","1431.85","1644.67"
"1996","3","Laendlicher Raum","1550.76","406","1041","1315.08","1786.44"
"1996","3","Staedtischer Raum","1337.83","368","2115","1207.54","1468.12"
"1996","4","Laendlicher Raum","1228.07","0","490","1020.04","1436.1"
"1996","4","Staedtischer Raum","740.43","0","1411","611.46","869.4"
"1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","748.57","0","213","537.24","959.9"
"1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","749.08","0","759","604.84","893.32"
"1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","4355.3","2426.5","2336","4149.69","4560.91"
"1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","3721.24","2416","3651","3575.61","3866.87"
"1997","2","Laendlicher Raum","2927.53","1140","1866","2747.82","3107.24"
"1997","2","Staedtischer Raum","2218.9","1187","2961","2087.16","2350.64"
"1997","3","Laendlicher Raum","2049.33","1125","1036","1848.63","2250.03"
"1997","3","Staedtischer Raum","2017.24","1165.5","2255","1873.35","2161.13"
"1997","4","Laendlicher Raum","1619.23","0","550","1377.39","1861.07"
"1997","4","Staedtischer Raum","1169.58","0","1385","1018.67","1320.49"
"1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","1513.3","0","185","1030.45","1996.15"
"1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","942.65","0","781","804.46","1080.84"
"1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","4636.11","3088","2582","4438.58","4833.64"
"1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","3918.24","2694.5","3857","3765.47","4071.01"
"1998","2","Laendlicher Raum","2821.55","1611","1905","2669.22","2973.88"
"1998","2","Staedtischer Raum","2352.72","1339.5","3269","2228.31","2477.13"
"1998","3","Laendlicher Raum","2061.34","1339.5","1226","1892","2230.68"
"1998","3","Staedtischer Raum","1906.39","1218","2371","1789.45","2023.33"
"1998","4","Laendlicher Raum","1814.63","517","639","1617.14","2012.12"
"1998","4","Staedtischer Raum","1584.19","0","1744","1434.03","1734.35"
"1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","1538.54","0","267","1078.23","1998.85"
"1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","991.36","0","896","786.29","1196.43"
"1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","4572.27","2689.5","2102","4345.02","4799.52"
"1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","3823.52","2687.5","3156","3656.14","3990.9"
"1999","2","Laendlicher Raum","3222.8","2464.5","2066","3055.53","3390.07"
"1999","2","Staedtischer Raum","2549.09","1341","3237","2426.43","2671.75"
"1999","3","Laendlicher Raum","2344.51","1332.5","1231","2170.11","2518.91"
"1999","3","Staedtischer Raum","2139.43","1319","2432","2000.37","2278.49"
"1999","4","Laendlicher Raum","1683.54","0","691","1451.99","1915.09"
