"year","bula_h","hhtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","Baden-Württemberg","(Ehe-)Paar ohne Kind(er)","188.71","0","406","69.18","308.24"
"1984","Baden-Württemberg","1-Pers.- Haushalt","228.74","0","209","91","366.48"
"1984","Baden-Württemberg","Alleinerziehende","1232.21","414","160","988.81","1475.61"
"1984","Baden-Württemberg","Paar mit Kind(ern)","1215.11","712","2155","1136.56","1293.66"
"1984","Baden-Württemberg","Sonstige","1065.97","153.5","184","663.07","1468.87"
"1984","Bayern","(Ehe-)Paar ohne Kind(er)","322.51","0","482","206.21","438.81"
"1984","Bayern","1-Pers.- Haushalt","284.5","0","191","125.73","443.27"
"1984","Bayern","Alleinerziehende","1466.55","496","122","1129.9","1803.2"
"1984","Bayern","Paar mit Kind(ern)","1405.19","694","1785","1323.86","1486.52"
"1984","Bayern","Sonstige","1136.54","153.5","151","795.68","1477.4"
"1984","Berlin","(Ehe-)Paar ohne Kind(er)","537.61","0","104","246.16","829.06"
"1984","Berlin","1-Pers.- Haushalt","274.09","0","72","-10.51","558.69"
"1984","Berlin","Alleinerziehende","1492.7","618.5","47","664.63","2320.77"
"1984","Berlin","Paar mit Kind(ern)","948.68","623.5","286","775.11","1122.25"
"1984","Berlin","Sonstige","521.2","153.5","31","204.68","837.72"
"1984","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","","",""
"1984","Brandenburg","1-Pers.- Haushalt","","","","",""
"1984","Brandenburg","Alleinerziehende","","","","",""
"1984","Brandenburg","Paar mit Kind(ern)","","","","",""
"1984","Brandenburg","Sonstige","","","","",""
"1984","Bremen","(Ehe-)Paar ohne Kind(er)","386.28","0","46","78.57","693.99"
"1984","Bremen","1-Pers.- Haushalt","","","","",""
"1984","Bremen","Alleinerziehende","","","","",""
"1984","Bremen","Paar mit Kind(ern)","2096.27","521.5","79","1577.54","2615"
"1984","Bremen","Sonstige","","","","",""
"1984","Hamburg","(Ehe-)Paar ohne Kind(er)","303.53","0","92","65.14","541.92"
"1984","Hamburg","1-Pers.- Haushalt","333.98","0","53","-68.11","736.07"
"1984","Hamburg","Alleinerziehende","","","","",""
"1984","Hamburg","Paar mit Kind(ern)","1133.75","153.5","204","855.27","1412.23"
"1984","Hamburg","Sonstige","","","","",""
"1984","Hessen","(Ehe-)Paar ohne Kind(er)","214.6","0","286","74.08","355.12"
"1984","Hessen","1-Pers.- Haushalt","399.66","0","121","47.49","751.83"
"1984","Hessen","Alleinerziehende","1067.77","673.5","67","759.92","1375.62"
"1984","Hessen","Paar mit Kind(ern)","1104.38","695","1017","989.01","1219.75"
"1984","Hessen","Sonstige","1655.3","828","141","1208.94","2101.66"
"1984","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","","",""
"1984","Mecklenburg-Vorpommern","1-Pers.- Haushalt","","","","",""
"1984","Mecklenburg-Vorpommern","Alleinerziehende","","","","",""
"1984","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","","",""
"1984","Mecklenburg-Vorpommern","Sonstige","","","","",""
"1984","Niedersachsen","(Ehe-)Paar ohne Kind(er)","378.11","0","282","237.58","518.64"
"1984","Niedersachsen","1-Pers.- Haushalt","363.68","0","117","-17.61","744.97"
"1984","Niedersachsen","Alleinerziehende","1563.91","727","85","1023.89","2103.93"
"1984","Niedersachsen","Paar mit Kind(ern)","1684.1","698","983","1529.83","1838.37"
"1984","Niedersachsen","Sonstige","1306.62","192","142","900.31","1712.93"
"1984","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","292.87","0","710","203.92","381.82"
"1984","Nordrhein-Westfalen","1-Pers.- Haushalt","486.53","0","368","345.74","627.32"
"1984","Nordrhein-Westfalen","Alleinerziehende","1884.4","861","225","1551.35","2217.45"
"1984","Nordrhein-Westfalen","Paar mit Kind(ern)","1478.2","721","2893","1392.77","1563.63"
"1984","Nordrhein-Westfalen","Sonstige","1403.37","153.5","200","1010.27","1796.47"
"1984","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","198.63","0","206","46.43","350.83"
"1984","Rheinland-Pfalz,Saarland","1-Pers.- Haushalt","181.57","0","77","31.19","331.95"
"1984","Rheinland-Pfalz,Saarland","Alleinerziehende","806.99","153.5","61","395.23","1218.75"
"1984","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","1588.49","726","646","1404.57","1772.41"
"1984","Rheinland-Pfalz,Saarland","Sonstige","599.26","153.5","95","406.27","792.25"
"1984","Sachsen","(Ehe-)Paar ohne Kind(er)","","","","",""
"1984","Sachsen","1-Pers.- Haushalt","","","","",""
"1984","Sachsen","Alleinerziehende","","","","",""
"1984","Sachsen","Paar mit Kind(ern)","","","","",""
"1984","Sachsen","Sonstige","","","","",""
"1984","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","","",""
"1984","Sachsen-Anhalt","1-Pers.- Haushalt","","","","",""
"1984","Sachsen-Anhalt","Alleinerziehende","","","","",""
"1984","Sachsen-Anhalt","Paar mit Kind(ern)","","","","",""
"1984","Sachsen-Anhalt","Sonstige","","","","",""
"1984","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","389.06","0","88","123.09","655.03"
"1984","Schleswig-Holstein","1-Pers.- Haushalt","176.54","0","53","-92.72","445.8"
"1984","Schleswig-Holstein","Alleinerziehende","2310.5","1094","30","1337.11","3283.89"
"1984","Schleswig-Holstein","Paar mit Kind(ern)","1411.75","647.5","308","1164.45","1659.05"
"1984","Schleswig-Holstein","Sonstige","1741.01","153.5","30","841.35","2640.67"
"1984","Thüringen","(Ehe-)Paar ohne Kind(er)","","","","",""
"1984","Thüringen","1-Pers.- Haushalt","","","","",""
"1984","Thüringen","Alleinerziehende","","","","",""
"1984","Thüringen","Paar mit Kind(ern)","","","","",""
"1984","Thüringen","Sonstige","","","","",""
"1985","Baden-Württemberg","(Ehe-)Paar ohne Kind(er)","88.1","0","358","24.3","151.9"
"1985","Baden-Württemberg","1-Pers.- Haushalt","194.08","0","177","72.66","315.5"
"1985","Baden-Württemberg","Alleinerziehende","1385.39","153.5","132","1001.38","1769.4"
"1985","Baden-Württemberg","Paar mit Kind(ern)","1179.15","808","1986","1099.05","1259.25"
"1985","Baden-Württemberg","Sonstige","1130.56","204.5","167","847.84","1413.28"
"1985","Bayern","(Ehe-)Paar ohne Kind(er)","191.88","0","438","118.57","265.19"
"1985","Bayern","1-Pers.- Haushalt","361.85","0","169","181.18","542.52"
"1985","Bayern","Alleinerziehende","1154.32","153.5","120","886.56","1422.08"
"1985","Bayern","Paar mit Kind(ern)","1369.17","782.5","1607","1285.91","1452.43"
"1985","Bayern","Sonstige","1657.26","573.5","149","1217.46","2097.06"
"1985","Berlin","(Ehe-)Paar ohne Kind(er)","608.82","0","86","235.56","982.08"
"1985","Berlin","1-Pers.- Haushalt","189.07","0","74","-60.89","439.03"
"1985","Berlin","Alleinerziehende","1920.11","1022.5","48","1435.36","2404.86"
"1985","Berlin","Paar mit Kind(ern)","1290.99","726","244","1029.25","1552.73"
"1985","Berlin","Sonstige","","","","",""
"1985","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","","",""
"1985","Brandenburg","1-Pers.- Haushalt","","","","",""
"1985","Brandenburg","Alleinerziehende","","","","",""
"1985","Brandenburg","Paar mit Kind(ern)","","","","",""
"1985","Brandenburg","Sonstige","","","","",""
"1985","Bremen","(Ehe-)Paar ohne Kind(er)","808.87","0","40","291.12","1326.62"
"1985","Bremen","1-Pers.- Haushalt","","","","",""
"1985","Bremen","Alleinerziehende","","","","",""
"1985","Bremen","Paar mit Kind(ern)","1796.77","843.5","68","1043.73","2549.81"
"1985","Bremen","Sonstige","","","","",""
"1985","Hamburg","(Ehe-)Paar ohne Kind(er)","321.88","0","92","-55.29","699.05"
"1985","Hamburg","1-Pers.- Haushalt","465.32","0","57","90.79","839.85"
"1985","Hamburg","Alleinerziehende","","","","",""
"1985","Hamburg","Paar mit Kind(ern)","1297.23","613.5","174","872.08","1722.38"
"1985","Hamburg","Sonstige","","","","",""
"1985","Hessen","(Ehe-)Paar ohne Kind(er)","386.57","0","278","229.29","543.85"
"1985","Hessen","1-Pers.- Haushalt","294.78","0","100","83.05","506.51"
"1985","Hessen","Alleinerziehende","960.15","153.5","71","501.99","1418.31"
"1985","Hessen","Paar mit Kind(ern)","1110.77","726","919","999.48","1222.06"
"1985","Hessen","Sonstige","1443.79","153.5","122","901.84","1985.74"
"1985","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","","",""
"1985","Mecklenburg-Vorpommern","1-Pers.- Haushalt","","","","",""
"1985","Mecklenburg-Vorpommern","Alleinerziehende","","","","",""
"1985","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","","",""
"1985","Mecklenburg-Vorpommern","Sonstige","","","","",""
"1985","Niedersachsen","(Ehe-)Paar ohne Kind(er)","452.56","0","264","292.77","612.35"
"1985","Niedersachsen","1-Pers.- Haushalt","379.4","0","104","166.95","591.85"
"1985","Niedersachsen","Alleinerziehende","1516.22","460.5","72","1069.57","1962.87"
"1985","Niedersachsen","Paar mit Kind(ern)","1669.64","843.5","859","1492.36","1846.92"
"1985","Niedersachsen","Sonstige","1777.11","659.5","126","1342.69","2211.53"
"1985","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","286.98","0","630","202.07","371.89"
"1985","Nordrhein-Westfalen","1-Pers.- Haushalt","432.06","0","323","274.63","589.49"
"1985","Nordrhein-Westfalen","Alleinerziehende","1384.66","675","194","1115.65","1653.67"
"1985","Nordrhein-Westfalen","Paar mit Kind(ern)","1572.46","699.5","2612","1475.69","1669.23"
"1985","Nordrhein-Westfalen","Sonstige","849.97","184","209","608.73","1091.21"
"1985","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","307.34","0","180","90.88","523.8"
"1985","Rheinland-Pfalz,Saarland","1-Pers.- Haushalt","142.89","0","69","-28.34","314.12"
"1985","Rheinland-Pfalz,Saarland","Alleinerziehende","1072.59","230","56","563.52","1581.66"
"1985","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","1493.79","767","585","1336.25","1651.33"
"1985","Rheinland-Pfalz,Saarland","Sonstige","770.47","271.5","80","432.79","1108.15"
"1985","Sachsen","(Ehe-)Paar ohne Kind(er)","","","","",""
"1985","Sachsen","1-Pers.- Haushalt","","","","",""
"1985","Sachsen","Alleinerziehende","","","","",""
"1985","Sachsen","Paar mit Kind(ern)","","","","",""
"1985","Sachsen","Sonstige","","","","",""
"1985","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","","",""
"1985","Sachsen-Anhalt","1-Pers.- Haushalt","","","","",""
"1985","Sachsen-Anhalt","Alleinerziehende","","","","",""
"1985","Sachsen-Anhalt","Paar mit Kind(ern)","","","","",""
"1985","Sachsen-Anhalt","Sonstige","","","","",""
"1985","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","625.84","0","84","160.6","1091.08"
"1985","Schleswig-Holstein","1-Pers.- Haushalt","282.23","0","44","-97.35","661.81"
"1985","Schleswig-Holstein","Alleinerziehende","2967.53","736","32","1547.25","4387.81"
"1985","Schleswig-Holstein","Paar mit Kind(ern)","1537.41","859","285","1293.4","1781.42"
"1985","Schleswig-Holstein","Sonstige","","","","",""
"1985","Thüringen","(Ehe-)Paar ohne Kind(er)","","","","",""
"1985","Thüringen","1-Pers.- Haushalt","","","","",""
"1985","Thüringen","Alleinerziehende","","","","",""
"1985","Thüringen","Paar mit Kind(ern)","","","","",""
"1985","Thüringen","Sonstige","","","","",""
"1986","Baden-Württemberg","(Ehe-)Paar ohne Kind(er)","176.25","0","374","74.01","278.49"
"1986","Baden-Württemberg","1-Pers.- Haushalt","193.24","0","161","46.41","340.07"
"1986","Baden-Württemberg","Alleinerziehende","1304.43","153.5","106","935.31","1673.55"
"1986","Baden-Württemberg","Paar mit Kind(ern)","1095.75","705.5","1879","996.19","1195.31"
"1986","Baden-Württemberg","Sonstige","1078.78","153.5","163","643.62","1513.94"
"1986","Bayern","(Ehe-)Paar ohne Kind(er)","247.53","0","398","150.1","344.96"
"1986","Bayern","1-Pers.- Haushalt","486.1","0","169","277.74","694.46"
"1986","Bayern","Alleinerziehende","1054.96","153.5","119","790.23","1319.69"
"1986","Bayern","Paar mit Kind(ern)","1429.16","714.5","1476","1336.63","1521.69"
"1986","Bayern","Sonstige","1352.05","828","150","1106.47","1597.63"
"1986","Berlin","(Ehe-)Paar ohne Kind(er)","603.19","0","78","161.29","1045.09"
"1986","Berlin","1-Pers.- Haushalt","172.47","0","73","-17.97","362.91"
"1986","Berlin","Alleinerziehende","1908.75","828","54","1304.61","2512.89"
"1986","Berlin","Paar mit Kind(ern)","1086.98","705.5","230","834.94","1339.02"
"1986","Berlin","Sonstige","","","","",""
"1986","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","","",""
"1986","Brandenburg","1-Pers.- Haushalt","","","","",""
"1986","Brandenburg","Alleinerziehende","","","","",""
"1986","Brandenburg","Paar mit Kind(ern)","","","","",""
"1986","Brandenburg","Sonstige","","","","",""
"1986","Bremen","(Ehe-)Paar ohne Kind(er)","1069.86","0","36","414.38","1725.34"
"1986","Bremen","1-Pers.- Haushalt","","","","",""
"1986","Bremen","Alleinerziehende","","","","",""
"1986","Bremen","Paar mit Kind(ern)","1596.36","318","65","565.9","2626.82"
"1986","Bremen","Sonstige","","","","",""
"1986","Hamburg","(Ehe-)Paar ohne Kind(er)","102","0","72","-153.52","357.52"
"1986","Hamburg","1-Pers.- Haushalt","393.17","0","56","0.38","785.96"
"1986","Hamburg","Alleinerziehende","","","","",""
"1986","Hamburg","Paar mit Kind(ern)","1244.28","521.5","164","950.41","1538.15"
"1986","Hamburg","Sonstige","","","","",""
"1986","Hessen","(Ehe-)Paar ohne Kind(er)","191.83","0","254","76.36","307.3"
"1986","Hessen","1-Pers.- Haushalt","424.74","0","103","166.72","682.76"
"1986","Hessen","Alleinerziehende","1986.55","348","81","1402.07","2571.03"
"1986","Hessen","Paar mit Kind(ern)","1001.64","724","852","889.81","1113.47"
"1986","Hessen","Sonstige","1479.34","794.5","88","1192.74","1765.94"
"1986","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","","",""
"1986","Mecklenburg-Vorpommern","1-Pers.- Haushalt","","","","",""
"1986","Mecklenburg-Vorpommern","Alleinerziehende","","","","",""
"1986","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","","",""
"1986","Mecklenburg-Vorpommern","Sonstige","","","","",""
"1986","Niedersachsen","(Ehe-)Paar ohne Kind(er)","497.64","0","286","320.08","675.2"
"1986","Niedersachsen","1-Pers.- Haushalt","522.36","0","98","255.36","789.36"
"1986","Niedersachsen","Alleinerziehende","1133.67","153.5","70","722.16","1545.18"
"1986","Niedersachsen","Paar mit Kind(ern)","1689.06","889.5","823","1514.49","1863.63"
"1986","Niedersachsen","Sonstige","1071.82","374.5","137","789.6","1354.04"
"1986","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","392.62","0","648","283.28","501.96"
"1986","Nordrhein-Westfalen","1-Pers.- Haushalt","613.54","0","289","381.27","845.81"
"1986","Nordrhein-Westfalen","Alleinerziehende","1814.14","828","179","1471.12","2157.16"
"1986","Nordrhein-Westfalen","Paar mit Kind(ern)","1647.34","719.5","2482","1553.65","1741.03"
"1986","Nordrhein-Westfalen","Sonstige","774.23","0","206","562.99","985.47"
"1986","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","414.57","0","192","109.78","719.36"
"1986","Rheinland-Pfalz,Saarland","1-Pers.- Haushalt","159.18","0","68","-10.8","329.16"
"1986","Rheinland-Pfalz,Saarland","Alleinerziehende","1258.92","153.5","53","778.29","1739.55"
"1986","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","1169.71","675","563","1043.5","1295.92"
"1986","Rheinland-Pfalz,Saarland","Sonstige","768.42","153.5","85","530.41","1006.43"
"1986","Sachsen","(Ehe-)Paar ohne Kind(er)","","","","",""
"1986","Sachsen","1-Pers.- Haushalt","","","","",""
"1986","Sachsen","Alleinerziehende","","","","",""
"1986","Sachsen","Paar mit Kind(ern)","","","","",""
"1986","Sachsen","Sonstige","","","","",""
"1986","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","","",""
"1986","Sachsen-Anhalt","1-Pers.- Haushalt","","","","",""
"1986","Sachsen-Anhalt","Alleinerziehende","","","","",""
"1986","Sachsen-Anhalt","Paar mit Kind(ern)","","","","",""
"1986","Sachsen-Anhalt","Sonstige","","","","",""
"1986","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","524.35","0","72","62.43","986.27"
"1986","Schleswig-Holstein","1-Pers.- Haushalt","249.28","0","39","-81.53","580.09"
"1986","Schleswig-Holstein","Alleinerziehende","1672.76","552.5","30","1089.31","2256.21"
"1986","Schleswig-Holstein","Paar mit Kind(ern)","1613.74","888","265","1322","1905.48"
"1986","Schleswig-Holstein","Sonstige","","","","",""
"1986","Thüringen","(Ehe-)Paar ohne Kind(er)","","","","",""
"1986","Thüringen","1-Pers.- Haushalt","","","","",""
"1986","Thüringen","Alleinerziehende","","","","",""
"1986","Thüringen","Paar mit Kind(ern)","","","","",""
"1986","Thüringen","Sonstige","","","","",""
"1987","Baden-Württemberg","(Ehe-)Paar ohne Kind(er)","95.45","0","374","-12.66","203.56"
"1987","Baden-Württemberg","1-Pers.- Haushalt","206.07","0","157","96.91","315.23"
"1987","Baden-Württemberg","Alleinerziehende","829.74","230","114","571.98","1087.5"
"1987","Baden-Württemberg","Paar mit Kind(ern)","1186.17","705.5","1840","1094.71","1277.63"
"1987","Baden-Württemberg","Sonstige","664.11","153.5","166","475.17","853.05"
"1987","Bayern","(Ehe-)Paar ohne Kind(er)","355.42","0","400","210.26","500.58"
"1987","Bayern","1-Pers.- Haushalt","532.23","0","177","293.34","771.12"
"1987","Bayern","Alleinerziehende","1331.9","230","127","1017.32","1646.48"
"1987","Bayern","Paar mit Kind(ern)","1472.76","721","1406","1346.78","1598.74"
"1987","Bayern","Sonstige","987.65","153.5","121","775.31","1199.99"
"1987","Berlin","(Ehe-)Paar ohne Kind(er)","408.75","0","90","25.35","792.15"
"1987","Berlin","1-Pers.- Haushalt","221.55","0","70","20.82","422.28"
"1987","Berlin","Alleinerziehende","1982.4","596","41","1140.74","2824.06"
"1987","Berlin","Paar mit Kind(ern)","998.81","537","240","656.38","1341.24"
"1987","Berlin","Sonstige","2068.62","0","35","409.66","3727.58"
"1987","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","","",""
"1987","Brandenburg","1-Pers.- Haushalt","","","","",""
"1987","Brandenburg","Alleinerziehende","","","","",""
"1987","Brandenburg","Paar mit Kind(ern)","","","","",""
"1987","Brandenburg","Sonstige","","","","",""
"1987","Bremen","(Ehe-)Paar ohne Kind(er)","958.93","0","36","432.7","1485.16"
"1987","Bremen","1-Pers.- Haushalt","","","","",""
"1987","Bremen","Alleinerziehende","","","","",""
"1987","Bremen","Paar mit Kind(ern)","2083.81","153.5","53","709.67","3457.95"
"1987","Bremen","Sonstige","","","","",""
"1987","Hamburg","(Ehe-)Paar ohne Kind(er)","71.87","0","68","-197.7","341.44"
"1987","Hamburg","1-Pers.- Haushalt","264.45","0","50","-62.17","591.07"
"1987","Hamburg","Alleinerziehende","","","","",""
"1987","Hamburg","Paar mit Kind(ern)","1396.71","153.5","137","1004.57","1788.85"
"1987","Hamburg","Sonstige","","","","",""
"1987","Hessen","(Ehe-)Paar ohne Kind(er)","280.85","0","242","87.24","474.46"
"1987","Hessen","1-Pers.- Haushalt","309.88","0","98","100.07","519.69"
"1987","Hessen","Alleinerziehende","1049.24","153.5","66","634.95","1463.53"
"1987","Hessen","Paar mit Kind(ern)","1113.76","728.5","865","1005.27","1222.25"
"1987","Hessen","Sonstige","2244.11","859","117","1683.83","2804.39"
"1987","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","","",""
"1987","Mecklenburg-Vorpommern","1-Pers.- Haushalt","","","","",""
"1987","Mecklenburg-Vorpommern","Alleinerziehende","","","","",""
"1987","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","","",""
"1987","Mecklenburg-Vorpommern","Sonstige","","","","",""
"1987","Niedersachsen","(Ehe-)Paar ohne Kind(er)","317.81","0","280","193.91","441.71"
"1987","Niedersachsen","1-Pers.- Haushalt","371.16","0","103","166.83","575.49"
"1987","Niedersachsen","Alleinerziehende","1064.79","153.5","70","622.93","1506.65"
"1987","Niedersachsen","Paar mit Kind(ern)","1808.99","813","809","1624.35","1993.63"
"1987","Niedersachsen","Sonstige","2418.7","859","135","1930.79","2906.61"
"1987","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","400.63","0","626","268.17","533.09"
"1987","Nordrhein-Westfalen","1-Pers.- Haushalt","513.46","0","297","331.89","695.03"
"1987","Nordrhein-Westfalen","Alleinerziehende","2732.59","1537","182","2105.3","3359.88"
"1987","Nordrhein-Westfalen","Paar mit Kind(ern)","1772.74","889.5","2368","1668.35","1877.13"
"1987","Nordrhein-Westfalen","Sonstige","1358.51","153.5","244","1116.69","1600.33"
"1987","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","240.83","0","186","29.94","451.72"
"1987","Rheinland-Pfalz,Saarland","1-Pers.- Haushalt","197.02","0","66","-38.99","433.03"
"1987","Rheinland-Pfalz,Saarland","Alleinerziehende","1640.68","479.5","53","985.97","2295.39"
"1987","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","1195.01","730","548","1032.53","1357.49"
"1987","Rheinland-Pfalz,Saarland","Sonstige","654.57","153.5","92","449.75","859.39"
"1987","Sachsen","(Ehe-)Paar ohne Kind(er)","","","","",""
"1987","Sachsen","1-Pers.- Haushalt","","","","",""
"1987","Sachsen","Alleinerziehende","","","","",""
"1987","Sachsen","Paar mit Kind(ern)","","","","",""
"1987","Sachsen","Sonstige","","","","",""
"1987","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","","",""
"1987","Sachsen-Anhalt","1-Pers.- Haushalt","","","","",""
"1987","Sachsen-Anhalt","Alleinerziehende","","","","",""
"1987","Sachsen-Anhalt","Paar mit Kind(ern)","","","","",""
"1987","Sachsen-Anhalt","Sonstige","","","","",""
"1987","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","284.31","0","82","-62.6","631.22"
"1987","Schleswig-Holstein","1-Pers.- Haushalt","234.53","0","37","-156.31","625.37"
"1987","Schleswig-Holstein","Alleinerziehende","","","","",""
"1987","Schleswig-Holstein","Paar mit Kind(ern)","2151.13","859","266","1812","2490.26"
"1987","Schleswig-Holstein","Sonstige","","","","",""
"1987","Thüringen","(Ehe-)Paar ohne Kind(er)","","","","",""
"1987","Thüringen","1-Pers.- Haushalt","","","","",""
"1987","Thüringen","Alleinerziehende","","","","",""
"1987","Thüringen","Paar mit Kind(ern)","","","","",""
"1987","Thüringen","Sonstige","","","","",""
"1988","Baden-Württemberg","(Ehe-)Paar ohne Kind(er)","151.24","0","388","57.91","244.57"
"1988","Baden-Württemberg","1-Pers.- Haushalt","178.57","0","160","76.08","281.06"
"1988","Baden-Württemberg","Alleinerziehende","1444.25","276","114","1068.75","1819.75"
"1988","Baden-Württemberg","Paar mit Kind(ern)","1283.84","705.5","1749","1179.99","1387.69"
"1988","Baden-Württemberg","Sonstige","650.38","153.5","113","299.26","1001.5"
