"year","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","3008.98","1224","7105","2906.88","3111.08"
"1995","2","1415.74","419","4950","1336.52","1494.96"
"1995","3","1039.76","424","3017","964.38","1115.14"
"1995","4","611.51","0","1795","533.91","689.11"
"1995","5 Einkommensstärkstes Quintil","395.66","0","845","243.05","548.27"
"1996","1 Einkommensschwächstes Quintil","3109.86","1223","6374","3000.26","3219.46"
"1996","2","1766.13","507","4936","1670.99","1861.27"
"1996","3","1398.03","406","3156","1281.14","1514.92"
"1996","4","857.47","0","1901","747.77","967.17"
"1996","5 Einkommensstärkstes Quintil","748.98","0","972","627.35","870.61"
"1997","1 Einkommensschwächstes Quintil","3963.67","2426.5","5987","3843.83","4083.51"
"1997","2","2475.08","1187","4827","2368.28","2581.88"
"1997","3","2025.53","1165.5","3291","1908.49","2142.57"
"1997","4","1286.05","0","1935","1157.96","1414.14"
"1997","5 Einkommensstärkstes Quintil","1040.9","0","967","895.68","1186.12"
"1998","1 Einkommensschwächstes Quintil","4190.72","2694.5","6439","4069.43","4312.01"
"1998","2","2515.46","1339.5","5174","2418.89","2612.03"
"1998","3","1951.99","1218","3597","1855.68","2048.3"
"1998","4","1637.7","0","2383","1515.76","1759.64"
"1998","5 Einkommensstärkstes Quintil","1113.29","0","1163","923.06","1303.52"
"1999","1 Einkommensschwächstes Quintil","4108.04","2689.5","5258","3971.92","4244.16"
"1999","2","2791.62","1352.5","5303","2692.18","2891.06"
"1999","3","2200.94","1332.5","3663","2091.61","2310.27"
"1999","4","1561.08","0","2438","1448.21","1673.95"
"1999","5 Einkommensstärkstes Quintil","1287.48","0","1326","1157.42","1417.54"
"2000","1 Einkommensschwächstes Quintil","4552.14","3057.5","8689","4441.05","4663.23"
"2000","2","2804.1","1518.5","8714","2726.13","2882.07"
"2000","3","2190.45","1503.5","6738","2116.56","2264.34"
"2000","4","1654.3","0","4752","1574.35","1734.25"
