year,pgisced97,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Pre-primary Level,Very good,0.44083,85,162,0.36414,0.51753
1992,Pre-primary Level,Good,0.42224,77,162,0.34595,0.49854
1992,Primary Level,Very good,0.15016,73,626,0.12216,0.17817
1992,Primary Level,Good,0.31262,201,626,0.27628,0.34896
1992,Primary Level,Satisfactory,0.28425,184,626,0.24889,0.31961
1992,Primary Level,Poor,0.16405,127,626,0.13502,0.19309
1992,Primary Level,Bad,0.08416,41,626,0.06239,0.10592
1992,Lower Secondary Level,Very good,0.10788,426,2779,0.09634,0.11941
1992,Lower Secondary Level,Good,0.29228,960,2779,0.27537,0.30920
1992,Lower Secondary Level,Satisfactory,0.36269,855,2779,0.34481,0.38056
1992,Lower Secondary Level,Poor,0.17078,398,2779,0.15679,0.18478
1992,Lower Secondary Level,Bad,0.06387,140,2779,0.05477,0.07296
1992,Upper Secondary Level,Very good,0.13273,1022,6708,0.12461,0.14085
1992,Upper Secondary Level,Good,0.40574,2883,6708,0.39399,0.41749
1992,Upper Secondary Level,Satisfactory,0.30017,1901,6708,0.28921,0.31114
1992,Upper Secondary Level,Poor,0.11675,678,6708,0.10906,0.12443
1992,Upper Secondary Level,Bad,0.04266,224,6708,0.03782,0.04750
1992,Post-secondary Non-tertiary Level,Very good,0.17021,74,342,0.13032,0.21010
1992,Post-secondary Non-tertiary Level,Good,0.49617,181,342,0.44310,0.54924
1992,Post-secondary Non-tertiary Level,Satisfactory,0.22495,87,342,0.18063,0.26927
1992,First Stage of Tertiary Education,Very good,0.11776,102,737,0.09447,0.14104
1992,First Stage of Tertiary Education,Good,0.38533,321,737,0.35017,0.42049
1992,First Stage of Tertiary Education,Satisfactory,0.33454,243,737,0.30045,0.36863
1992,First Stage of Tertiary Education,Poor,0.11686,71,737,0.09365,0.14007
1992,Second Stage of Tertiary Education,Very good,0.17109,288,1650,0.15291,0.18927
1992,Second Stage of Tertiary Education,Good,0.46758,824,1650,0.44349,0.49166
1992,Second Stage of Tertiary Education,Satisfactory,0.25456,394,1650,0.23354,0.27559
1992,Second Stage of Tertiary Education,Poor,0.07356,106,1650,0.06096,0.08617
1992,Second Stage of Tertiary Education,Bad,0.03111,38,1650,0.02273,0.03949
1994,Pre-primary Level,Very good,0.33476,82,228,0.27337,0.39615
1994,Pre-primary Level,Good,0.48332,113,228,0.41831,0.54833
1994,Pre-primary Level,Satisfactory,0.13355,33,228,0.08930,0.17780
1994,Primary Level,Very good,0.09959,49,554,0.07463,0.12455
1994,Primary Level,Good,0.34402,189,554,0.30442,0.38361
1994,Primary Level,Satisfactory,0.29673,160,554,0.25866,0.33481
1994,Primary Level,Poor,0.15119,112,554,0.12133,0.18105
1994,Primary Level,Bad,0.10532,44,554,0.07973,0.13090
1994,Lower Secondary Level,Very good,0.08307,253,2488,0.07223,0.09392
1994,Lower Secondary Level,Good,0.28760,870,2488,0.26981,0.30538
1994,Lower Secondary Level,Satisfactory,0.35833,799,2488,0.33949,0.37718
1994,Lower Secondary Level,Poor,0.19786,429,2488,0.18220,0.21352
1994,Lower Secondary Level,Bad,0.07058,137,2488,0.06051,0.08065
1994,Upper Secondary Level,Very good,0.08044,659,6556,0.07386,0.08703
1994,Upper Secondary Level,Good,0.38283,2686,6556,0.37106,0.39460
1994,Upper Secondary Level,Satisfactory,0.34782,2158,6556,0.33629,0.35935
1994,Upper Secondary Level,Poor,0.14657,845,6556,0.13801,0.15513
1994,Upper Secondary Level,Bad,0.03987,208,6556,0.03513,0.04461
1994,Post-secondary Non-tertiary Level,Very good,0.12663,50,381,0.09320,0.16007
1994,Post-secondary Non-tertiary Level,Good,0.50790,200,381,0.45763,0.55817
1994,Post-secondary Non-tertiary Level,Satisfactory,0.23963,91,381,0.19671,0.28255
1994,Post-secondary Non-tertiary Level,Poor,0.10038,40,381,0.07017,0.13060
1994,First Stage of Tertiary Education,Very good,0.06785,57,725,0.04953,0.08617
1994,First Stage of Tertiary Education,Good,0.37649,304,725,0.34120,0.41179
1994,First Stage of Tertiary Education,Satisfactory,0.34108,252,725,0.30654,0.37561
1994,First Stage of Tertiary Education,Poor,0.17485,112,725,0.14718,0.20252
1994,Second Stage of Tertiary Education,Very good,0.09061,150,1649,0.07675,0.10447
1994,Second Stage of Tertiary Education,Good,0.46290,768,1649,0.43883,0.48697
1994,Second Stage of Tertiary Education,Satisfactory,0.30653,512,1649,0.28427,0.32879
1994,Second Stage of Tertiary Education,Poor,0.11113,183,1649,0.09596,0.12631
1994,Second Stage of Tertiary Education,Bad,0.02474,36,1649,0.01724,0.03224
1995,Pre-primary Level,Very good,0.29122,85,272,0.23713,0.34531
1995,Pre-primary Level,Good,0.51373,143,272,0.45422,0.57324
1995,Pre-primary Level,Satisfactory,0.14388,44,272,0.10209,0.18567
1995,Primary Level,Very good,0.06837,32,505,0.04634,0.09040
1995,Primary Level,Good,0.33954,175,505,0.29819,0.38088
1995,Primary Level,Satisfactory,0.30424,177,505,0.26407,0.34441
1995,Primary Level,Poor,0.24332,121,505,0.20585,0.28078
1995,Lower Secondary Level,Very good,0.07575,258,2486,0.06535,0.08616
1995,Lower Secondary Level,Good,0.29135,867,2486,0.27349,0.30922
1995,Lower Secondary Level,Satisfactory,0.34003,760,2486,0.32141,0.35866
1995,Lower Secondary Level,Poor,0.21356,454,2486,0.19744,0.22967
1995,Lower Secondary Level,Bad,0.07520,147,2486,0.06483,0.08557
1995,Upper Secondary Level,Very good,0.07160,596,6708,0.06543,0.07777
1995,Upper Secondary Level,Good,0.38784,2807,6708,0.37618,0.39950
1995,Upper Secondary Level,Satisfactory,0.34973,2205,6708,0.33832,0.36115
1995,Upper Secondary Level,Poor,0.14624,876,6708,0.13778,0.15469
1995,Upper Secondary Level,Bad,0.04160,224,6708,0.03682,0.04638
1995,Post-secondary Non-tertiary Level,Very good,0.12451,56,459,0.09427,0.15475
1995,Post-secondary Non-tertiary Level,Good,0.51994,238,459,0.47419,0.56570
1995,Post-secondary Non-tertiary Level,Satisfactory,0.25130,124,459,0.21157,0.29103
1995,Post-secondary Non-tertiary Level,Poor,0.08116,41,459,0.05615,0.10617
1995,First Stage of Tertiary Education,Very good,0.08145,61,734,0.06165,0.10125
1995,First Stage of Tertiary Education,Good,0.39351,316,734,0.35814,0.42887
1995,First Stage of Tertiary Education,Satisfactory,0.36252,267,734,0.32772,0.39732
1995,First Stage of Tertiary Education,Poor,0.12917,90,734,0.10489,0.15345
1995,Second Stage of Tertiary Education,Very good,0.08960,170,1748,0.07621,0.10300
1995,Second Stage of Tertiary Education,Good,0.44211,790,1748,0.41883,0.46540
1995,Second Stage of Tertiary Education,Satisfactory,0.34477,584,1748,0.32248,0.36706
1995,Second Stage of Tertiary Education,Poor,0.10322,168,1748,0.08895,0.11748
1995,Second Stage of Tertiary Education,Bad,0.01689,36,1748,0.01085,0.02294
1996,Pre-primary Level,Very good,0.32220,96,277,0.26707,0.37734
1996,Pre-primary Level,Good,0.43904,133,277,0.38049,0.49759
1996,Pre-primary Level,Satisfactory,0.16659,48,277,0.12263,0.21055
1996,Primary Level,Very good,0.07670,36,490,0.05311,0.10029
1996,Primary Level,Good,0.30728,149,490,0.26639,0.34818
1996,Primary Level,Satisfactory,0.34489,172,490,0.30276,0.38702
1996,Primary Level,Poor,0.17165,97,490,0.13823,0.20507
1996,Primary Level,Bad,0.09639,36,490,0.07023,0.12255
