year,age_gr,pgisced97,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,17-29 y.,Pre-primary Level,Very good,0.44434,85,162,0.36759,0.52110
1992,17-29 y.,Pre-primary Level,Good,0.42560,77,162,0.34923,0.50198
1992,17-29 y.,Primary Level,Very good,0.35708,41,102,0.26363,0.45052
1992,17-29 y.,Primary Level,Good,0.40490,61,102,0.30917,0.50064
1992,17-29 y.,Lower Secondary Level,Very good,0.32566,337,898,0.29499,0.35633
1992,17-29 y.,Lower Secondary Level,Good,0.45853,430,898,0.42592,0.49114
1992,17-29 y.,Lower Secondary Level,Satisfactory,0.17830,131,898,0.15325,0.20335
1992,17-29 y.,Upper Secondary Level,Very good,0.28885,532,1749,0.26760,0.31009
1992,17-29 y.,Upper Secondary Level,Good,0.51322,889,1749,0.48978,0.53665
1992,17-29 y.,Upper Secondary Level,Satisfactory,0.15197,266,1749,0.13514,0.16880
1992,17-29 y.,Upper Secondary Level,Poor,0.03790,62,1749,0.02895,0.04685
1992,17-29 y.,Post-secondary Non-tertiary Level,Very good,0.21674,43,135,0.14697,0.28650
1992,17-29 y.,Post-secondary Non-tertiary Level,Good,0.57711,92,135,0.49347,0.66076
1992,17-29 y.,First Stage of Tertiary Education,Good,0.56630,51,51,0.42893,0.70367
1992,17-29 y.,Second Stage of Tertiary Education,Very good,0.36451,68,151,0.28748,0.44153
1992,17-29 y.,Second Stage of Tertiary Education,Good,0.50476,83,151,0.42474,0.58477
1992,30-45 y.,Primary Level,Good,0.35652,70,162,0.28253,0.43050
1992,30-45 y.,Primary Level,Satisfactory,0.32255,56,162,0.25034,0.39476
1992,30-45 y.,Primary Level,Poor,0.13806,36,162,0.08477,0.19134
1992,30-45 y.,Lower Secondary Level,Very good,0.09453,47,466,0.06794,0.12113
1992,30-45 y.,Lower Secondary Level,Good,0.41939,205,466,0.37454,0.46424
1992,30-45 y.,Lower Secondary Level,Satisfactory,0.28295,134,466,0.24201,0.32389
1992,30-45 y.,Lower Secondary Level,Poor,0.16069,80,466,0.12731,0.19407
1992,30-45 y.,Upper Secondary Level,Very good,0.15312,348,2266,0.13829,0.16795
1992,30-45 y.,Upper Secondary Level,Good,0.50406,1164,2266,0.48347,0.52465
1992,30-45 y.,Upper Secondary Level,Satisfactory,0.25531,561,2266,0.23735,0.27326
