year,sex,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,female,Good,0.28762,2566,6742,0.27682,0.29843
1996,female,Satisfactory,0.29654,2293,6742,0.28564,0.30744
1996,female,Poor,0.14025,1007,6742,0.13196,0.14854
1996,female,Bad,0.03879,250,6742,0.03418,0.04340
1997,male,Very good,0.07513,653,6199,0.06857,0.08169
1997,male,Good,0.33597,2773,6199,0.32421,0.34773
1997,male,Satisfactory,0.27576,1919,6199,0.26464,0.28689
1997,male,Poor,0.09427,663,6199,0.08699,0.10154
1997,male,Bad,0.03032,191,6199,0.02605,0.03458
1997,female,Very good,0.06265,519,6611,0.05681,0.06849
1997,female,Good,0.29571,2657,6611,0.28470,0.30671
1997,female,Satisfactory,0.29921,2241,6611,0.28817,0.31025
1997,female,Poor,0.13597,932,6611,0.12770,0.14423
1997,female,Bad,0.03980,262,6611,0.03509,0.04451
1998,male,Very good,0.08925,797,6877,0.08251,0.09598
1998,male,Good,0.34717,3078,6877,0.33592,0.35842
1998,male,Satisfactory,0.25331,2048,6877,0.24303,0.26359
1998,male,Poor,0.09793,746,6877,0.09091,0.10496
1998,male,Bad,0.02783,208,6877,0.02394,0.03171
1998,female,Very good,0.07381,677,7329,0.06782,0.07979
1998,female,Good,0.31048,3019,7329,0.29989,0.32108
1998,female,Satisfactory,0.27876,2344,7329,0.26849,0.28902
1998,female,Poor,0.12431,983,7329,0.11675,0.13186
1998,female,Bad,0.04399,306,7329,0.03930,0.04869
1999,male,Very good,0.07697,672,6594,0.07054,0.08340
1999,male,Good,0.34418,2882,6594,0.33271,0.35565
1999,male,Satisfactory,0.27034,2113,6594,0.25962,0.28106
1999,male,Poor,0.09568,711,6594,0.08858,0.10278
1999,male,Bad,0.03036,216,6594,0.02622,0.03450
1999,female,Very good,0.07129,625,7050,0.06528,0.07730
1999,female,Good,0.29934,2805,7050,0.28865,0.31003
1999,female,Satisfactory,0.28480,2347,7050,0.27426,0.29534
1999,female,Poor,0.13508,997,7050,0.12710,0.14306
1999,female,Bad,0.04187,276,7050,0.03719,0.04654
2000,male,Very good,0.09746,1368,11559,0.09205,0.10287
2000,male,Good,0.33231,4890,11559,0.32372,0.34090
2000,male,Satisfactory,0.26503,3651,11559,0.25699,0.27308
2000,male,Poor,0.09388,1286,11559,0.08856,0.09920
2000,male,Bad,0.02768,364,11559,0.02469,0.03067
2000,female,Very good,0.08392,1305,12507,0.07906,0.08878
2000,female,Good,0.29965,4862,12507,0.29162,0.30768
2000,female,Satisfactory,0.29021,4156,12507,0.28226,0.29817
2000,female,Poor,0.12359,1702,12507,0.11782,0.12936
2000,female,Bad,0.03809,482,12507,0.03473,0.04144
2001,male,Very good,0.09980,1255,10505,0.09407,0.10553
2001,male,Good,0.32738,4369,10505,0.31841,0.33636
2001,male,Satisfactory,0.26603,3341,10505,0.25758,0.27449
2001,male,Poor,0.09824,1192,10505,0.09255,0.10394
2001,male,Bad,0.02760,348,10505,0.02446,0.03073
2001,female,Very good,0.08061,1164,11385,0.07560,0.08561
2001,female,Good,0.30256,4431,11385,0.29412,0.31100
2001,female,Satisfactory,0.28659,3797,11385,0.27828,0.29490
2001,female,Poor,0.12749,1567,11385,0.12136,0.13361
2001,female,Bad,0.03821,426,11385,0.03469,0.04173
2002,male,Very good,0.08398,1208,11109,0.07882,0.08914
2002,male,Good,0.33167,4755,11109,0.32291,0.34042
2002,male,Satisfactory,0.27507,3559,11109,0.26676,0.28337
2002,male,Poor,0.09994,1236,11109,0.09436,0.10552
2002,male,Bad,0.02994,351,11109,0.02677,0.03311
2002,female,Very good,0.06992,1138,11875,0.06533,0.07451
2002,female,Good,0.30096,4707,11875,0.29271,0.30921
2002,female,Satisfactory,0.29801,3968,11875,0.28979,0.30624
2002,female,Poor,0.13020,1653,11875,0.12415,0.13625
2002,female,Bad,0.03843,409,11875,0.03498,0.04189
2003,male,Very good,0.08713,1195,10655,0.08177,0.09249
2003,male,Good,0.34014,4589,10655,0.33114,0.34913
2003,male,Satisfactory,0.26632,3325,10655,0.25793,0.27471
2003,male,Poor,0.09883,1205,10655,0.09316,0.10450
2003,male,Bad,0.03090,341,10655,0.02761,0.03419
2003,female,Very good,0.06670,1048,11472,0.06213,0.07126
2003,female,Good,0.31517,4682,11472,0.30667,0.32368
2003,female,Satisfactory,0.28082,3694,11472,0.27260,0.28905
2003,female,Poor,0.13476,1626,11472,0.12851,0.14101
2003,female,Bad,0.04059,422,11472,0.03698,0.04420
2004,male,Very good,0.09122,1162,10365,0.08567,0.09676
2004,male,Good,0.33095,4419,10365,0.32189,0.34001
2004,male,Satisfactory,0.26246,3235,10365,0.25399,0.27093
2004,male,Poor,0.10771,1179,10365,0.10174,0.11367
2004,male,Bad,0.03562,370,10365,0.03205,0.03919
2004,female,Very good,0.07227,1035,11206,0.06748,0.07707
2004,female,Good,0.30465,4533,11206,0.29613,0.31318
2004,female,Satisfactory,0.27541,3550,11206,0.26714,0.28368
2004,female,Poor,0.14541,1653,11206,0.13888,0.15193
2004,female,Bad,0.04269,435,11206,0.03895,0.04644
2005,male,Very good,0.07897,982,9865,0.07364,0.08429
2005,male,Good,0.32324,4010,9865,0.31401,0.33247
2005,male,Satisfactory,0.27593,3279,9865,0.26711,0.28475
2005,male,Poor,0.11570,1236,9865,0.10939,0.12201
2005,male,Bad,0.03497,358,9865,0.03134,0.03859
2005,female,Very good,0.06937,963,10763,0.06457,0.07417
2005,female,Good,0.30812,4295,10763,0.29940,0.31684
2005,female,Satisfactory,0.28559,3485,10763,0.27705,0.29412
2005,female,Poor,0.14045,1598,10763,0.13388,0.14701
2005,female,Bad,0.04064,422,10763,0.03691,0.04437
2006,male,Very good,0.08619,1086,10611,0.08085,0.09153
2006,male,Good,0.33529,4433,10611,0.32631,0.34427
2006,male,Satisfactory,0.27392,3446,10611,0.26544,0.28241
2006,male,Poor,0.10177,1248,10611,0.09601,0.10752
2006,male,Bad,0.03718,398,10611,0.03358,0.04078
2006,female,Very good,0.07253,1028,11624,0.06781,0.07724
2006,female,Good,0.30317,4539,11624,0.29481,0.31153
2006,female,Satisfactory,0.29024,3858,11624,0.28199,0.29849
2006,female,Poor,0.13842,1703,11624,0.13215,0.14470
2006,female,Bad,0.04379,496,11624,0.04007,0.04751
2007,male,Very good,0.07791,944,9923,0.07263,0.08318
2007,male,Good,0.33821,4162,9923,0.32890,0.34752
2007,male,Satisfactory,0.27535,3193,9923,0.26656,0.28414
2007,male,Poor,0.11259,1267,9923,0.10637,0.11881
2007,male,Bad,0.03269,357,9923,0.02919,0.03619
2007,female,Very good,0.07037,929,10875,0.06556,0.07518
2007,female,Good,0.30741,4269,10875,0.29874,0.31608
2007,female,Satisfactory,0.29729,3676,10875,0.28870,0.30588
2007,female,Poor,0.13872,1580,10875,0.13222,0.14521
2007,female,Bad,0.03929,421,10875,0.03563,0.04294
2008,male,Very good,0.08428,906,9327,0.07864,0.08992
2008,male,Good,0.33851,3849,9327,0.32890,0.34811
2008,male,Satisfactory,0.27384,3039,9327,0.26479,0.28289
2008,male,Poor,0.11302,1184,9327,0.10659,0.11945
2008,male,Bad,0.03225,349,9327,0.02866,0.03583
2008,female,Very good,0.07262,889,10215,0.06759,0.07766
2008,female,Good,0.31149,3986,10215,0.30251,0.32047
2008,female,Satisfactory,0.29401,3366,10215,0.28518,0.30285
2008,female,Poor,0.14004,1594,10215,0.13331,0.14677
2008,female,Bad,0.03792,380,10215,0.03421,0.04162
2009,male,Very good,0.07704,776,8707,0.07144,0.08264
2009,male,Good,0.33561,3532,8707,0.32569,0.34552
2009,male,Satisfactory,0.28893,2987,8707,0.27941,0.29845
2009,male,Poor,0.11224,1099,8707,0.10561,0.11887
2009,male,Bad,0.03041,313,8707,0.02680,0.03402
2009,female,Very good,0.07057,784,9505,0.06542,0.07572
2009,female,Good,0.29883,3614,9505,0.28962,0.30803
2009,female,Satisfactory,0.31001,3275,9505,0.30071,0.31930
2009,female,Poor,0.13756,1454,9505,0.13063,0.14448
2009,female,Bad,0.04045,378,9505,0.03649,0.04441
2010,male,Very good,0.08604,1358,11079,0.08081,0.09126
2010,male,Good,0.33131,4633,11079,0.32255,0.34008
2010,male,Satisfactory,0.27736,3405,11079,0.26903,0.28570
2010,male,Poor,0.11711,1325,11079,0.11112,0.12310
2010,male,Bad,0.03304,358,11079,0.02972,0.03637
2010,female,Very good,0.08036,1617,13227,0.07573,0.08500
2010,female,Good,0.30078,5295,13227,0.29296,0.30859
2010,female,Satisfactory,0.29333,4045,13227,0.28557,0.30109
2010,female,Poor,0.13969,1799,13227,0.13378,0.14560
2010,female,Bad,0.04309,471,13227,0.03963,0.04655
2011,male,Very good,0.09844,1598,13114,0.09334,0.10354
2011,male,Good,0.32579,5412,13114,0.31777,0.33382
2011,male,Satisfactory,0.27468,4087,13114,0.26704,0.28232
2011,male,Poor,0.10930,1565,13114,0.10396,0.11464
2011,male,Bad,0.03238,452,13114,0.02935,0.03541
2011,female,Very good,0.07783,1710,15754,0.07364,0.08201
2011,female,Good,0.31552,6379,15754,0.30826,0.32278
2011,female,Satisfactory,0.27539,4790,15754,0.26842,0.28237
2011,female,Poor,0.14535,2286,15754,0.13984,0.15085
2011,female,Bad,0.04004,589,15754,0.03698,0.04310
2012,male,Very good,0.09370,1480,12799,0.08865,0.09874
2012,male,Good,0.33456,5388,12799,0.32638,0.34273
2012,male,Satisfactory,0.27786,4000,12799,0.27010,0.28562
2012,male,Poor,0.10595,1510,12799,0.10062,0.11129
2012,male,Bad,0.02938,421,12799,0.02645,0.03230
2012,female,Very good,0.07985,1579,15341,0.07556,0.08414
2012,female,Good,0.31586,6263,15341,0.30850,0.32322
2012,female,Satisfactory,0.28816,4846,15341,0.28099,0.29533
2012,female,Poor,0.13588,2118,15341,0.13046,0.14130
2012,female,Bad,0.03643,535,15341,0.03346,0.03939
2013,male,Very good,0.10189,1985,14238,0.09692,0.10686
2013,male,Good,0.32781,5765,14238,0.32009,0.33552
2013,male,Satisfactory,0.27049,4331,14238,0.26320,0.27779
2013,male,Poor,0.10903,1674,14238,0.10391,0.11415
2013,male,Bad,0.03357,483,14238,0.03061,0.03653
2013,female,Very good,0.08251,2002,16917,0.07836,0.08665
2013,female,Good,0.30505,6721,16917,0.29812,0.31199
2013,female,Satisfactory,0.28802,5119,16917,0.28119,0.29484
2013,female,Poor,0.14240,2467,16917,0.13713,0.14766
2013,female,Bad,0.03970,608,16917,0.03675,0.04264
2014,male,Very good,0.09783,1551,12716,0.09267,0.10299
2014,male,Good,0.33460,5279,12716,0.32640,0.34280
2014,male,Satisfactory,0.26999,3916,12716,0.26228,0.27771
2014,male,Poor,0.11508,1558,12716,0.10953,0.12062
2014,male,Bad,0.02991,412,12716,0.02695,0.03287
2014,female,Very good,0.07788,1489,14911,0.07358,0.08218
2014,female,Good,0.30268,5838,14911,0.29531,0.31006
2014,female,Satisfactory,0.28980,4772,14911,0.28252,0.29708
2014,female,Poor,0.14856,2283,14911,0.14285,0.15426
2014,female,Bad,0.03710,529,14911,0.03406,0.04013
2015,male,Very good,0.09518,1604,12568,0.09005,0.10031
2015,male,Good,0.33326,5248,12568,0.32501,0.34150
2015,male,Satisfactory,0.27532,3850,12568,0.26751,0.28313
2015,male,Poor,0.10930,1483,12568,0.10384,0.11475
2015,male,Bad,0.03324,383,12568,0.03010,0.03637
2015,female,Very good,0.08231,1624,14736,0.07787,0.08675
2015,female,Good,0.30861,5768,14736,0.30115,0.31607
2015,female,Satisfactory,0.28095,4609,14736,0.27369,0.28821
2015,female,Poor,0.14882,2234,14736,0.14307,0.15457
2015,female,Bad,0.03734,501,14736,0.03428,0.04040
2016,male,Very good,0.08852,2090,13118,0.08366,0.09338
2016,male,Good,0.34170,5273,13118,0.33359,0.34982
2016,male,Satisfactory,0.27067,3836,13118,0.26306,0.27827
2016,male,Poor,0.11239,1515,13118,0.10698,0.11779
2016,male,Bad,0.02940,404,13118,0.02650,0.03229
2016,female,Very good,0.07662,1769,14640,0.07231,0.08093
2016,female,Good,0.31101,5617,14640,0.30351,0.31851
2016,female,Satisfactory,0.28241,4436,14640,0.27512,0.28971
2016,female,Poor,0.14863,2250,14640,0.14287,0.15439
2016,female,Bad,0.03866,568,14640,0.03554,0.04178
2017,male,Very good,0.09568,2510,14802,0.09094,0.10042
2017,male,Good,0.33533,5930,14802,0.32773,0.34294
2017,male,Satisfactory,0.27035,4266,14802,0.26320,0.27751
2017,male,Poor,0.11023,1671,14802,0.10518,0.11527
2017,male,Bad,0.03008,425,14802,0.02733,0.03283
2017,female,Very good,0.08052,2077,16296,0.07634,0.08470
2017,female,Good,0.30401,6295,16296,0.29695,0.31107
2017,female,Satisfactory,0.29029,5002,16296,0.28332,0.29726
2017,female,Poor,0.14688,2377,16296,0.14144,0.15231
2017,female,Bad,0.03231,545,16296,0.02959,0.03502
2018,male,Very good,0.10164,2516,14170,0.09666,0.10661
2018,male,Good,0.33294,5600,14170,0.32518,0.34070
2018,male,Satisfactory,0.27700,4068,14170,0.26963,0.28437
2018,male,Poor,0.10480,1559,14170,0.09976,0.10985
2018,male,Bad,0.02808,427,14170,0.02536,0.03080
2018,female,Very good,0.08085,2038,15579,0.07657,0.08513
2018,female,Good,0.31138,5909,15579,0.30411,0.31865
2018,female,Satisfactory,0.28797,4852,15579,0.28086,0.29509
2018,female,Poor,0.14265,2241,15579,0.13716,0.14814
2018,female,Bad,0.03491,539,15579,0.03203,0.03780
2019,male,Very good,0.09820,2444,14474,0.09335,0.10305
2019,male,Good,0.33977,5990,14474,0.33205,0.34749
2019,male,Satisfactory,0.26791,4074,14474,0.26070,0.27513
2019,male,Poor,0.10466,1547,14474,0.09967,0.10965
2019,male,Bad,0.02917,419,14474,0.02643,0.03192
2019,female,Very good,0.07848,1940,15056,0.07418,0.08277
2019,female,Good,0.31966,5937,15056,0.31222,0.32711
2019,female,Satisfactory,0.27802,4565,15056,0.27086,0.28517
2019,female,Poor,0.14448,2147,15056,0.13886,0.15009
2019,female,Bad,0.03069,467,15056,0.02793,0.03344
2020,male,Very good,0.10977,3032,14830,0.10474,0.11480
2020,male,Good,0.33678,6185,14830,0.32918,0.34439
2020,male,Satisfactory,0.26435,3805,14830,0.25726,0.27145
2020,male,Poor,0.10030,1429,14830,0.09546,0.10513
2020,male,Bad,0.02747,379,14830,0.02484,0.03010
2020,female,Very good,0.08301,2141,15017,0.07860,0.08742
2020,female,Good,0.31367,6064,15017,0.30625,0.32109
2020,female,Satisfactory,0.28161,4339,15017,0.27442,0.28881
2020,female,Poor,0.14116,2026,15017,0.13559,0.14673
2020,female,Bad,0.03124,447,15017,0.02846,0.03402
2021,male,Very good,0.11028,1742,9669,0.10403,0.11652
2021,male,Good,0.32895,3965,9669,0.31959,0.33832
2021,male,Satisfactory,0.25640,2594,9669,0.24770,0.26511
2021,male,Poor,0.10779,1063,9669,0.10161,0.11397
2021,male,Bad,0.03121,305,9669,0.02775,0.03468
2021,female,Very good,0.09946,1477,10235,0.09366,0.10526
2021,female,Good,0.29902,3965,10235,0.29015,0.30789
2021,female,Satisfactory,0.27035,2930,10235,0.26174,0.27895
2021,female,Poor,0.14197,1484,10235,0.13521,0.14873
2021,female,Bad,0.03555,379,10235,0.03196,0.03914
