year,regtyp,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Urban regions,Very good,0.11413,1384,8636,0.10743,0.12084
1992,Urban regions,Good,0.32233,3563,8636,0.31247,0.33219
1992,Urban regions,Satisfactory,0.25035,2395,8636,0.24121,0.25948
1992,Urban regions,Poor,0.10268,984,8636,0.09628,0.10909
1992,Urban regions,Bad,0.03701,310,8636,0.03302,0.04099
1992,Rural regions,Very good,0.11091,707,4535,0.10177,0.12005
1992,Rural regions,Good,0.31532,1905,4535,0.30179,0.32884
1992,Rural regions,Satisfactory,0.25379,1308,4535,0.24112,0.26646
1992,Rural regions,Poor,0.09498,438,4535,0.08644,0.10351
1992,Rural regions,Bad,0.04050,177,4535,0.03476,0.04623
1994,Urban regions,Very good,0.07246,899,8439,0.06693,0.07799
1994,Urban regions,Good,0.31185,3406,8439,0.30197,0.32173
1994,Urban regions,Satisfactory,0.27242,2597,8439,0.26292,0.28192
1994,Urban regions,Poor,0.13050,1229,8439,0.12331,0.13769
1994,Urban regions,Bad,0.03641,308,8439,0.03242,0.04041
1994,Rural regions,Very good,0.07284,441,4408,0.06517,0.08051
1994,Rural regions,Good,0.30889,1816,4408,0.29525,0.32253
1994,Rural regions,Satisfactory,0.28519,1473,4408,0.27186,0.29852
1994,Rural regions,Poor,0.10990,521,4408,0.10067,0.11914
1994,Rural regions,Bad,0.03567,157,4408,0.03019,0.04115
1995,Urban regions,Very good,0.06806,886,8686,0.06277,0.07336
1995,Urban regions,Good,0.31691,3570,8686,0.30713,0.32670
1995,Urban regions,Satisfactory,0.27746,2693,8686,0.26805,0.28688
1995,Urban regions,Poor,0.12387,1207,8686,0.11694,0.13080
1995,Urban regions,Bad,0.03686,330,8686,0.03290,0.04083
1995,Rural regions,Very good,0.06579,417,4557,0.05859,0.07299
1995,Rural regions,Good,0.31254,1889,4557,0.29908,0.32600
1995,Rural regions,Satisfactory,0.27840,1527,4557,0.26539,0.29142
