year,bula_h,regtyp,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No answer / don't know,Full-Time Employment,0.41684,169,361,0.36590,0.46777
1984,Schleswig-Holstein,No answer / don't know,Regular Part-Time Employment,0.07624,32,361,0.04883,0.10366
1984,Schleswig-Holstein,No answer / don't know,Not Employed,0.44227,160,361,0.39096,0.49357
1984,Hamburg,No answer / don't know,Full-Time Employment,0.37960,143,275,0.32214,0.43706
1984,Hamburg,No answer / don't know,Not Employed,0.52729,132,275,0.46818,0.58641
1984,Lower Saxony,No answer / don't know,Full-Time Employment,0.37408,508,1234,0.34707,0.40109
1984,Lower Saxony,No answer / don't know,Regular Part-Time Employment,0.05784,72,1234,0.04481,0.07087
1984,Lower Saxony,No answer / don't know,Vocational Training,0.04232,54,1234,0.03108,0.05355
1984,Lower Saxony,No answer / don't know,"Marginal, Irregular Part-Time Employment",0.02874,37,1234,0.01942,0.03807
1984,Lower Saxony,No answer / don't know,Not Employed,0.49702,563,1234,0.46911,0.52493
1984,Bremen,No answer / don't know,Full-Time Employment,0.21207,40,118,0.13800,0.28614
1984,Bremen,No answer / don't know,Not Employed,0.68907,78,118,0.60520,0.77294
1984,North Rhine-Westphalia,No answer / don't know,Full-Time Employment,0.40672,1484,3254,0.38984,0.42360
1984,North Rhine-Westphalia,No answer / don't know,Regular Part-Time Employment,0.04910,148,3254,0.04167,0.05652
1984,North Rhine-Westphalia,No answer / don't know,Vocational Training,0.02897,107,3254,0.02320,0.03473
1984,North Rhine-Westphalia,No answer / don't know,"Marginal, Irregular Part-Time Employment",0.02740,82,3254,0.02179,0.03301
1984,North Rhine-Westphalia,No answer / don't know,Not Employed,0.48782,1433,3254,0.47064,0.50500
1984,Hesse,No answer / don't know,Full-Time Employment,0.40796,592,1247,0.38067,0.43525
1984,Hesse,No answer / don't know,Regular Part-Time Employment,0.06594,73,1247,0.05216,0.07972
1984,Hesse,No answer / don't know,Vocational Training,0.03438,46,1247,0.02426,0.04449
1984,Hesse,No answer / don't know,"Marginal, Irregular Part-Time Employment",0.03252,38,1247,0.02267,0.04237
1984,Hesse,No answer / don't know,Not Employed,0.45920,498,1247,0.43153,0.48687
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Full-Time Employment,0.38428,366,799,0.35053,0.41803
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Vocational Training,0.03943,35,799,0.02593,0.05293
