year,migback,regtyp,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,Full-Time Employment,0.35679,2642,6007,0.34468,0.36891
1985,No migration background,Urban regions,Regular Part-Time Employment,0.06057,472,6007,0.05454,0.06661
1985,No migration background,Urban regions,Vocational Training,0.02093,155,6007,0.01731,0.02455
1985,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01929,145,6007,0.01581,0.02276
1985,No migration background,Urban regions,Not Employed,0.40410,2593,6007,0.39169,0.41651
1985,No migration background,Rural regions,Full-Time Employment,0.32578,834,1972,0.30509,0.34647
1985,No migration background,Rural regions,Regular Part-Time Employment,0.05585,146,1972,0.04571,0.06599
1985,No migration background,Rural regions,Vocational Training,0.02311,56,1972,0.01648,0.02975
1985,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.01816,47,1972,0.01227,0.02406
1985,No migration background,Rural regions,Not Employed,0.41008,889,1972,0.38837,0.43180
1985,Direct migration background,Urban regions,Full-Time Employment,0.47026,1488,2555,0.45090,0.48962
1985,Direct migration background,Urban regions,Regular Part-Time Employment,0.05047,115,2555,0.04198,0.05896
1985,Direct migration background,Urban regions,Vocational Training,0.01824,49,2555,0.01305,0.02343
1985,Direct migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01652,37,2555,0.01158,0.02147
1985,Direct migration background,Urban regions,Not Employed,0.35615,866,2555,0.33758,0.37473
1985,Direct migration background,Rural regions,Full-Time Employment,0.42549,214,329,0.37199,0.47900
1985,Direct migration background,Rural regions,Not Employed,0.39449,115,329,0.34160,0.44738
1985,Indirect migration background,Urban regions,Full-Time Employment,0.04386,31,98,0.00311,0.08462
1985,Indirect migration background,Urban regions,Not Employed,0.06378,67,98,0.01515,0.11242
1986,No migration background,Urban regions,Full-Time Employment,0.35786,2541,5756,0.34548,0.37025
1986,No migration background,Urban regions,Regular Part-Time Employment,0.05285,394,5756,0.04707,0.05863
1986,No migration background,Urban regions,Vocational Training,0.02507,180,5756,0.02103,0.02911
1986,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.02200,161,5756,0.01821,0.02579
1986,No migration background,Urban regions,Not Employed,0.40463,2480,5756,0.39195,0.41731
1986,No migration background,Rural regions,Full-Time Employment,0.33131,792,1849,0.30985,0.35277
1986,No migration background,Rural regions,Regular Part-Time Employment,0.04634,117,1849,0.03675,0.05592
1986,No migration background,Rural regions,Vocational Training,0.03465,82,1849,0.02631,0.04299
1986,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.02215,56,1849,0.01544,0.02886
1986,No migration background,Rural regions,Not Employed,0.39456,802,1849,0.37228,0.41685
1986,Direct migration background,Urban regions,Full-Time Employment,0.46247,1406,2463,0.44278,0.48217
1986,Direct migration background,Urban regions,Regular Part-Time Employment,0.04699,104,2463,0.03863,0.05535
1986,Direct migration background,Urban regions,Vocational Training,0.02055,64,2463,0.01495,0.02616
1986,Direct migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01760,42,2463,0.01240,0.02279
1986,Direct migration background,Urban regions,Not Employed,0.37022,847,2463,0.35115,0.38930
1986,Direct migration background,Rural regions,Full-Time Employment,0.41028,210,332,0.35729,0.46327
1986,Direct migration background,Rural regions,Not Employed,0.38714,122,332,0.33466,0.43962
1986,Indirect migration background,Urban regions,Full-Time Employment,0.04855,41,100,0.00621,0.09088
1986,Indirect migration background,Urban regions,Not Employed,0.06220,59,100,0.01462,0.10978
1987,No migration background,Urban regions,Full-Time Employment,0.36074,2496,5651,0.34822,0.37327
1987,No migration background,Urban regions,Regular Part-Time Employment,0.05639,402,5651,0.05037,0.06240
1987,No migration background,Urban regions,Vocational Training,0.02883,229,5651,0.02446,0.03319
1987,No migration background,Urban regions,"Marginal, Irregular Part-Time Employment",0.01889,130,5651,0.01534,0.02244
1987,No migration background,Urban regions,Not Employed,0.39663,2394,5651,0.38388,0.40939
1987,No migration background,Rural regions,Full-Time Employment,0.33602,787,1813,0.31428,0.35777
1987,No migration background,Rural regions,Regular Part-Time Employment,0.06221,150,1813,0.05109,0.07333
1987,No migration background,Rural regions,Vocational Training,0.03529,95,1813,0.02680,0.04379
1987,No migration background,Rural regions,"Marginal, Irregular Part-Time Employment",0.01531,37,1813,0.00965,0.02096
