year,sampreg,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Full-Time Employment,0.33879,5676,12164,0.33038,0.34720
1984,West,Regular Part-Time Employment,0.04556,661,12164,0.04185,0.04927
1984,West,Vocational Training,0.02755,438,12164,0.02464,0.03046
1984,West,"Marginal, Irregular Part-Time Employment",0.02452,341,12164,0.02177,0.02727
1984,West,Not Employed,0.38985,5048,12164,0.38118,0.39852
1985,West,Full-Time Employment,0.35004,5217,11026,0.34114,0.35894
1985,West,Regular Part-Time Employment,0.05740,754,11026,0.05306,0.06174
1985,West,Vocational Training,0.02074,284,11026,0.01808,0.02340
1985,West,"Marginal, Irregular Part-Time Employment",0.01828,232,11026,0.01578,0.02078
1985,West,Not Employed,0.39216,4539,11026,0.38305,0.40128
1986,West,Full-Time Employment,0.35098,4997,10583,0.34189,0.36008
1986,West,Regular Part-Time Employment,0.05032,641,10583,0.04615,0.05448
1986,West,Vocational Training,0.02638,364,10583,0.02333,0.02943
1986,West,"Marginal, Irregular Part-Time Employment",0.02114,266,10583,0.01840,0.02388
1986,West,Not Employed,0.38866,4315,10583,0.37937,0.39794
1987,West,Full-Time Employment,0.35444,4929,10449,0.34527,0.36362
1987,West,Regular Part-Time Employment,0.05617,688,10449,0.05176,0.06059
1987,West,Vocational Training,0.02907,435,10449,0.02585,0.03230
1987,West,"Marginal, Irregular Part-Time Employment",0.01727,212,10449,0.01478,0.01977
1987,West,Not Employed,0.37793,4185,10449,0.36863,0.38723
1988,West,Full-Time Employment,0.35457,4647,9968,0.34517,0.36396
1988,West,Regular Part-Time Employment,0.05685,679,9968,0.05230,0.06139
1988,West,Vocational Training,0.02770,429,9968,0.02448,0.03092
1988,West,"Marginal, Irregular Part-Time Employment",0.01769,207,9968,0.01510,0.02028
1988,West,Not Employed,0.37814,4006,9968,0.36862,0.38766
1989,West,Full-Time Employment,0.36151,4614,9662,0.35193,0.37109
1989,West,Regular Part-Time Employment,0.05858,673,9662,0.05390,0.06326
1989,West,Vocational Training,0.02642,374,9662,0.02322,0.02962
1989,West,"Marginal, Irregular Part-Time Employment",0.01691,196,9662,0.01434,0.01948
1989,West,Not Employed,0.37330,3805,9662,0.36365,0.38294
1990,West,Full-Time Employment,0.36469,4506,9461,0.35499,0.37439
1990,West,Regular Part-Time Employment,0.06506,722,9461,0.06009,0.07003
1990,West,Vocational Training,0.02567,341,9461,0.02248,0.02885
1990,West,"Marginal, Irregular Part-Time Employment",0.01563,178,9461,0.01313,0.01813
1990,West,Not Employed,0.36254,3714,9461,0.35286,0.37223
1990,East,Full-Time Employment,0.47122,2878,4415,0.45649,0.48594
1990,East,Regular Part-Time Employment,0.06545,408,4415,0.05815,0.07275
1990,East,Vocational Training,0.02033,132,4415,0.01616,0.02449
1990,East,Not Employed,0.22275,997,4415,0.21047,0.23503
1991,West,Full-Time Employment,0.36042,4508,9447,0.35074,0.37010
1991,West,Regular Part-Time Employment,0.06618,750,9447,0.06117,0.07119
1991,West,Vocational Training,0.02725,383,9447,0.02397,0.03054
1991,West,"Marginal, Irregular Part-Time Employment",0.02050,227,9447,0.01764,0.02336
1991,West,Not Employed,0.35376,3579,9447,0.34412,0.36340
1991,East,Full-Time Employment,0.43676,2451,4122,0.42162,0.45190
1991,East,Regular Part-Time Employment,0.04012,232,4122,0.03413,0.04611
1991,East,Vocational Training,0.01995,128,4122,0.01568,0.02421
1991,East,Not Employed,0.30691,1311,4122,0.29283,0.32100
1992,West,Full-Time Employment,0.35639,4399,9340,0.34667,0.36610
