year,sampreg,sex,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,male,Full-Time Employment,0.63521,4086,5953,0.62298,0.64744
1984,West,male,Regular Part-Time Employment,0.00784,41,5953,0.00560,0.01008
1984,West,male,Vocational Training,0.04015,262,5953,0.03517,0.04514
1984,West,male,"Marginal, Irregular Part-Time Employment",0.01182,61,5953,0.00908,0.01457
1984,West,male,Not Employed,0.30497,1503,5953,0.29327,0.31667
1984,West,female,Full-Time Employment,0.21054,1590,6211,0.20040,0.22068
1984,West,female,Regular Part-Time Employment,0.09704,620,6211,0.08968,0.10440
1984,West,female,Vocational Training,0.02731,176,6211,0.02325,0.03136
1984,West,female,"Marginal, Irregular Part-Time Employment",0.04549,280,6211,0.04031,0.05067
1984,West,female,Not Employed,0.61963,3545,6211,0.60755,0.63170
1985,West,male,Full-Time Employment,0.62697,3697,5414,0.61409,0.63986
1985,West,male,Regular Part-Time Employment,0.01152,57,5414,0.00868,0.01436
1985,West,male,Vocational Training,0.02920,170,5414,0.02471,0.03369
1985,West,male,"Marginal, Irregular Part-Time Employment",0.01158,57,5414,0.00873,0.01443
1985,West,male,Not Employed,0.32072,1433,5414,0.30829,0.33316
1985,West,female,Full-Time Employment,0.23117,1520,5612,0.22014,0.24220
1985,West,female,Regular Part-Time Employment,0.11903,697,5612,0.11055,0.12750
1985,West,female,Vocational Training,0.02076,114,5612,0.01703,0.02449
1985,West,female,"Marginal, Irregular Part-Time Employment",0.03088,175,5612,0.02636,0.03541
1985,West,female,Not Employed,0.59817,3106,5612,0.58534,0.61099
1986,West,male,Full-Time Employment,0.62369,3530,5231,0.61056,0.63682
1986,West,male,Regular Part-Time Employment,0.01282,65,5231,0.00977,0.01587
1986,West,male,Vocational Training,0.03703,210,5231,0.03191,0.04215
1986,West,male,"Marginal, Irregular Part-Time Employment",0.00926,40,5231,0.00666,0.01186
1986,West,male,Not Employed,0.31720,1386,5231,0.30459,0.32981
1986,West,female,Full-Time Employment,0.23558,1467,5352,0.22421,0.24695
