year,sex,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Full-Time Employment,0.51616,4086,5953,0.50346,0.52886
1984,male,Regular Part-Time Employment,0.00637,41,5953,0.00435,0.00839
1984,male,Vocational Training,0.03263,262,5953,0.02812,0.03714
1984,male,"Marginal, Irregular Part-Time Employment",0.00961,61,5953,0.00713,0.01209
1984,male,Not Employed,0.24781,1503,5953,0.23685,0.25878
1984,female,Full-Time Employment,0.17660,1590,6211,0.16711,0.18608
1984,female,Regular Part-Time Employment,0.08140,620,6211,0.07460,0.08820
1984,female,Vocational Training,0.02291,176,6211,0.01918,0.02663
1984,female,"Marginal, Irregular Part-Time Employment",0.03815,280,6211,0.03339,0.04292
1984,female,Not Employed,0.51973,3545,6211,0.50731,0.53216
1985,male,Full-Time Employment,0.51870,3697,5414,0.50539,0.53201
1985,male,Regular Part-Time Employment,0.00953,57,5414,0.00694,0.01212
1985,male,Vocational Training,0.02416,170,5414,0.02007,0.02825
1985,male,"Marginal, Irregular Part-Time Employment",0.00958,57,5414,0.00699,0.01218
1985,male,Not Employed,0.26533,1433,5414,0.25357,0.27710
1985,female,Full-Time Employment,0.19625,1520,5612,0.18586,0.20664
1985,female,Regular Part-Time Employment,0.10105,697,5612,0.09316,0.10893
1985,female,Vocational Training,0.01762,114,5612,0.01418,0.02106
1985,female,"Marginal, Irregular Part-Time Employment",0.02622,175,5612,0.02204,0.03040
1985,female,Not Employed,0.50781,3106,5612,0.49473,0.52090
1986,male,Full-Time Employment,0.51683,3530,5231,0.50329,0.53038
1986,male,Regular Part-Time Employment,0.01063,65,5231,0.00785,0.01341
1986,male,Vocational Training,0.03069,210,5231,0.02601,0.03536
1986,male,"Marginal, Irregular Part-Time Employment",0.00767,40,5231,0.00531,0.01004
1986,male,Not Employed,0.26286,1386,5231,0.25093,0.27479
1986,female,Full-Time Employment,0.19919,1467,5352,0.18849,0.20989
1986,female,Regular Part-Time Employment,0.08665,576,5352,0.07911,0.09418
1986,female,Vocational Training,0.02244,154,5352,0.01847,0.02641
1986,female,"Marginal, Irregular Part-Time Employment",0.03346,226,5352,0.02864,0.03828
1986,female,Not Employed,0.50379,2929,5352,0.49040,0.51719
1987,male,Full-Time Employment,0.51916,3477,5172,0.50554,0.53277
1987,male,Regular Part-Time Employment,0.00808,43,5172,0.00564,0.01052
1987,male,Vocational Training,0.03240,247,5172,0.02757,0.03722
1987,male,"Marginal, Irregular Part-Time Employment",0.01020,49,5172,0.00746,0.01294
1987,male,Not Employed,0.25362,1356,5172,0.24176,0.26548
1987,female,Full-Time Employment,0.20258,1452,5277,0.19173,0.21342
1987,female,Regular Part-Time Employment,0.10051,645,5277,0.09240,0.10862
1987,female,Vocational Training,0.02601,188,5277,0.02171,0.03030
1987,female,"Marginal, Irregular Part-Time Employment",0.02380,163,5277,0.01968,0.02791
1987,female,Not Employed,0.49255,2829,5277,0.47906,0.50604
1988,male,Full-Time Employment,0.51690,3277,4929,0.50295,0.53085
1988,male,Regular Part-Time Employment,0.00763,45,4929,0.00520,0.01006
1988,male,Vocational Training,0.03118,243,4929,0.02632,0.03603
1988,male,"Marginal, Irregular Part-Time Employment",0.00943,48,4929,0.00673,0.01213
1988,male,Not Employed,0.25992,1316,4929,0.24767,0.27217
1988,female,Full-Time Employment,0.20367,1370,5039,0.19255,0.21479
1988,female,Regular Part-Time Employment,0.10260,634,5039,0.09422,0.11098
1988,female,Vocational Training,0.02447,186,5039,0.02020,0.02874
1988,female,"Marginal, Irregular Part-Time Employment",0.02537,159,5039,0.02103,0.02971
1988,female,Not Employed,0.48803,2690,5039,0.47423,0.50183
1989,male,Full-Time Employment,0.52095,3216,4761,0.50675,0.53514
1989,male,Regular Part-Time Employment,0.00874,44,4761,0.00610,0.01139
1989,male,Vocational Training,0.03157,220,4761,0.02660,0.03654
1989,male,"Marginal, Irregular Part-Time Employment",0.00889,44,4761,0.00623,0.01156
1989,male,Not Employed,0.25614,1237,4761,0.24374,0.26854
1989,female,Full-Time Employment,0.21285,1398,4901,0.20139,0.22431
1989,female,Regular Part-Time Employment,0.10504,629,4901,0.09646,0.11363
1989,female,Vocational Training,0.02162,154,4901,0.01755,0.02570
1989,female,"Marginal, Irregular Part-Time Employment",0.02438,152,4901,0.02006,0.02870
1989,female,Not Employed,0.48253,2568,4901,0.46853,0.49652
1990,male,Full-Time Employment,0.53704,4827,6769,0.52516,0.54892
1990,male,Regular Part-Time Employment,0.01041,80,6769,0.00799,0.01283
1990,male,Vocational Training,0.03060,277,6769,0.02650,0.03470
1990,male,"Marginal, Irregular Part-Time Employment",0.00611,40,6769,0.00425,0.00796
1990,male,Not Employed,0.22829,1545,6769,0.21829,0.23829
1990,female,Full-Time Employment,0.24603,2557,7117,0.23602,0.25604
1990,female,Regular Part-Time Employment,0.11652,1050,7117,0.10907,0.12398
1990,female,Vocational Training,0.01891,196,7117,0.01574,0.02207
