year,pgisced97,quintil_oecd,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,1st Quintile,Not Employed,0.94546,36,36,0.87022,1.02069
1984,Pre-primary Level,2nd Quintile,Not Employed,0.94873,47,47,0.88500,1.01247
1984,Pre-primary Level,4th Quintile,Not Employed,0.94698,42,42,0.87839,1.01557
1984,Primary Level,1st Quintile,Full-Time Employment,0.22721,114,343,0.18280,0.27162
1984,Primary Level,1st Quintile,Not Employed,0.72068,229,343,0.67312,0.76823
1984,Primary Level,2nd Quintile,Full-Time Employment,0.42917,119,223,0.36406,0.49428
1984,Primary Level,2nd Quintile,Not Employed,0.48376,104,223,0.41802,0.54950
1984,Primary Level,3rd Quintile,Full-Time Employment,0.59660,107,146,0.51675,0.67645
1984,Primary Level,3rd Quintile,Not Employed,0.27649,39,146,0.20369,0.34929
1984,Primary Level,4th Quintile,Full-Time Employment,0.61765,118,151,0.53988,0.69542
1984,Primary Level,4th Quintile,Not Employed,0.34927,33,151,0.27298,0.42557
1984,Primary Level,5th Quintile,Full-Time Employment,0.72869,69,69,0.62301,0.83437
1984,Lower Secondary Level,1st Quintile,Full-Time Employment,0.09673,184,894,0.07734,0.11611
1984,Lower Secondary Level,1st Quintile,Vocational Training,0.06605,67,894,0.04976,0.08234
1984,Lower Secondary Level,1st Quintile,Not Employed,0.79386,643,894,0.76733,0.82039
1984,Lower Secondary Level,2nd Quintile,Full-Time Employment,0.20321,242,828,0.17578,0.23063
1984,Lower Secondary Level,2nd Quintile,Regular Part-Time Employment,0.04070,32,828,0.02723,0.05417
1984,Lower Secondary Level,2nd Quintile,Vocational Training,0.07769,70,828,0.05945,0.09593
1984,Lower Secondary Level,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.04801,38,828,0.03344,0.06258
1984,Lower Secondary Level,2nd Quintile,Not Employed,0.63008,446,828,0.59718,0.66299
1984,Lower Secondary Level,3rd Quintile,Full-Time Employment,0.22542,229,681,0.19402,0.25683
1984,Lower Secondary Level,3rd Quintile,Regular Part-Time Employment,0.06845,47,681,0.04947,0.08743
1984,Lower Secondary Level,3rd Quintile,Vocational Training,0.10358,71,681,0.08068,0.12649
1984,Lower Secondary Level,3rd Quintile,Not Employed,0.56566,334,681,0.52840,0.60291
1984,Lower Secondary Level,4th Quintile,Full-Time Employment,0.27878,228,575,0.24210,0.31546
1984,Lower Secondary Level,4th Quintile,Regular Part-Time Employment,0.09347,49,575,0.06965,0.11728
1984,Lower Secondary Level,4th Quintile,Vocational Training,0.10447,63,575,0.07945,0.12950
1984,Lower Secondary Level,4th Quintile,Not Employed,0.49924,235,575,0.45833,0.54014
1984,Lower Secondary Level,5th Quintile,Full-Time Employment,0.34308,165,318,0.29082,0.39534
1984,Lower Secondary Level,5th Quintile,Not Employed,0.48424,153,318,0.42922,0.53925
1984,Upper Secondary Level,1st Quintile,Full-Time Employment,0.29239,320,862,0.26200,0.32277
1984,Upper Secondary Level,1st Quintile,"Marginal, Irregular Part-Time Employment",0.04066,36,862,0.02747,0.05385
1984,Upper Secondary Level,1st Quintile,Not Employed,0.62387,506,862,0.59151,0.65623
1984,Upper Secondary Level,2nd Quintile,Full-Time Employment,0.42998,520,1074,0.40036,0.45961
1984,Upper Secondary Level,2nd Quintile,Regular Part-Time Employment,0.04084,48,1074,0.02900,0.05268
1984,Upper Secondary Level,2nd Quintile,Vocational Training,0.02211,35,1074,0.01331,0.03091
1984,Upper Secondary Level,2nd Quintile,Not Employed,0.48234,471,1074,0.45244,0.51224
1984,Upper Secondary Level,3rd Quintile,Full-Time Employment,0.45418,580,1134,0.42519,0.48317
1984,Upper Secondary Level,3rd Quintile,Regular Part-Time Employment,0.06458,82,1134,0.05027,0.07889
1984,Upper Secondary Level,3rd Quintile,Vocational Training,0.02197,31,1134,0.01344,0.03051
1984,Upper Secondary Level,3rd Quintile,Not Employed,0.43221,441,1134,0.40336,0.46106
1984,Upper Secondary Level,4th Quintile,Full-Time Employment,0.52598,742,1267,0.49847,0.55349
1984,Upper Secondary Level,4th Quintile,Regular Part-Time Employment,0.07026,90,1267,0.05618,0.08433
1984,Upper Secondary Level,4th Quintile,"Marginal, Irregular Part-Time Employment",0.02977,37,1267,0.02041,0.03914
1984,Upper Secondary Level,4th Quintile,Not Employed,0.36100,398,1267,0.33454,0.38746
1984,Upper Secondary Level,5th Quintile,Full-Time Employment,0.61835,797,1216,0.59104,0.64567
1984,Upper Secondary Level,5th Quintile,Regular Part-Time Employment,0.07007,87,1216,0.05571,0.08442
1984,Upper Secondary Level,5th Quintile,"Marginal, Irregular Part-Time Employment",0.02824,32,1216,0.01892,0.03755
1984,Upper Secondary Level,5th Quintile,Not Employed,0.27478,300,1216,0.24968,0.29988
1984,Post-secondary Non-tertiary Level,3rd Quintile,Full-Time Employment,0.54691,36,36,0.38199,0.71183
1984,Post-secondary Non-tertiary Level,4th Quintile,Full-Time Employment,0.58142,40,40,0.42659,0.73625
1984,Post-secondary Non-tertiary Level,5th Quintile,Full-Time Employment,0.62470,53,53,0.49309,0.75631
1984,First Stage of Tertiary Education,1st Quintile,Not Employed,0.67518,45,45,0.53681,0.81356
1984,First Stage of Tertiary Education,2nd Quintile,Full-Time Employment,0.35883,32,73,0.24803,0.46962
1984,First Stage of Tertiary Education,2nd Quintile,Not Employed,0.54595,41,73,0.43095,0.66096
1984,First Stage of Tertiary Education,3rd Quintile,Full-Time Employment,0.64749,75,75,0.53864,0.75635
1984,First Stage of Tertiary Education,4th Quintile,Full-Time Employment,0.61350,104,148,0.53478,0.69222
