year,pgisced97,sex,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,male,Not Employed,0.94002,93,93,0.89149,0.98854
1984,Pre-primary Level,female,Not Employed,0.95606,91,91,0.91372,0.99841
1984,Primary Level,male,Full-Time Employment,0.62924,322,400,0.58184,0.67663
1984,Primary Level,male,Not Employed,0.28988,78,400,0.24537,0.33440
1984,Primary Level,female,Full-Time Employment,0.27275,205,545,0.23532,0.31018
1984,Primary Level,female,Not Employed,0.66011,340,545,0.62030,0.69991
1984,Lower Secondary Level,male,Full-Time Employment,0.44611,637,1122,0.41701,0.47521
1984,Lower Secondary Level,male,Vocational Training,0.16812,169,1122,0.14623,0.19001
1984,Lower Secondary Level,male,Not Employed,0.36001,316,1122,0.33191,0.38811
1984,Lower Secondary Level,female,Full-Time Employment,0.12284,411,2305,0.10944,0.13624
1984,Lower Secondary Level,female,Regular Part-Time Employment,0.06955,175,2305,0.05916,0.07994
1984,Lower Secondary Level,female,Vocational Training,0.05287,128,2305,0.04373,0.06201
1984,Lower Secondary Level,female,"Marginal, Irregular Part-Time Employment",0.03702,90,2305,0.02931,0.04473
1984,Lower Secondary Level,female,Not Employed,0.71666,1501,2305,0.69826,0.73506
1984,Upper Secondary Level,male,Full-Time Employment,0.66829,2252,3124,0.65177,0.68480
1984,Upper Secondary Level,male,Vocational Training,0.01873,80,3124,0.01398,0.02349
1984,Upper Secondary Level,male,Not Employed,0.30045,792,3124,0.28438,0.31653
1984,Upper Secondary Level,female,Full-Time Employment,0.25367,711,2547,0.23677,0.27057
1984,Upper Secondary Level,female,Regular Part-Time Employment,0.11944,325,2547,0.10685,0.13204
1984,Upper Secondary Level,female,Vocational Training,0.01292,41,2547,0.00854,0.01731
1984,Upper Secondary Level,female,"Marginal, Irregular Part-Time Employment",0.05229,136,2547,0.04364,0.06093
1984,Upper Secondary Level,female,Not Employed,0.56168,1334,2547,0.54240,0.58095
1984,Post-secondary Non-tertiary Level,male,Full-Time Employment,0.57676,131,187,0.50576,0.64777
1984,Post-secondary Non-tertiary Level,male,Not Employed,0.38679,56,187,0.31680,0.45678
1984,Post-secondary Non-tertiary Level,female,Full-Time Employment,0.48450,55,98,0.38504,0.58396
1984,Post-secondary Non-tertiary Level,female,Not Employed,0.36897,43,98,0.27295,0.46500
1984,First Stage of Tertiary Education,male,Full-Time Employment,0.72706,292,370,0.68161,0.77252
1984,First Stage of Tertiary Education,male,Not Employed,0.23873,78,370,0.19523,0.28222
1984,First Stage of Tertiary Education,female,Full-Time Employment,0.31489,94,259,0.25821,0.37156
1984,First Stage of Tertiary Education,female,Regular Part-Time Employment,0.12475,38,259,0.08443,0.16507
1984,First Stage of Tertiary Education,female,Not Employed,0.51063,127,259,0.44963,0.57163
1984,Second Stage of Tertiary Education,male,Full-Time Employment,0.78189,429,509,0.74598,0.81780
1984,Second Stage of Tertiary Education,male,Not Employed,0.16794,80,509,0.13544,0.20045
1984,Second Stage of Tertiary Education,female,Full-Time Employment,0.37072,105,234,0.30870,0.43274
1984,Second Stage of Tertiary Education,female,Regular Part-Time Employment,0.15144,39,234,0.10541,0.19747
1984,Second Stage of Tertiary Education,female,Not Employed,0.40183,90,234,0.33888,0.46478
1985,Pre-primary Level,male,Not Employed,0.95467,108,108,0.91526,0.99409
1985,Pre-primary Level,female,Not Employed,0.97924,73,73,0.94630,1.01217
1985,Primary Level,male,Full-Time Employment,0.51656,249,336,0.46304,0.57007
1985,Primary Level,male,Not Employed,0.39912,87,336,0.34667,0.45156
1985,Primary Level,female,Full-Time Employment,0.26135,167,453,0.22084,0.30185
1985,Primary Level,female,Not Employed,0.65923,286,453,0.61554,0.70293
1985,Lower Secondary Level,male,Full-Time Employment,0.48357,606,1006,0.45267,0.51447
1985,Lower Secondary Level,male,Vocational Training,0.13260,116,1006,0.11163,0.15357
1985,Lower Secondary Level,male,Not Employed,0.35726,284,1006,0.32764,0.38689
1985,Lower Secondary Level,female,Full-Time Employment,0.14840,413,2035,0.13295,0.16385
1985,Lower Secondary Level,female,Regular Part-Time Employment,0.08862,196,2035,0.07627,0.10097
1985,Lower Secondary Level,female,Vocational Training,0.03311,67,2035,0.02534,0.04089
1985,Lower Secondary Level,female,"Marginal, Irregular Part-Time Employment",0.02634,63,2035,0.01938,0.03330
1985,Lower Secondary Level,female,Not Employed,0.70353,1296,2035,0.68368,0.72337
1985,Upper Secondary Level,male,Full-Time Employment,0.65828,2019,2790,0.64068,0.67589
1985,Upper Secondary Level,male,Vocational Training,0.01052,39,2790,0.00673,0.01430
1985,Upper Secondary Level,male,Not Employed,0.31421,732,2790,0.29698,0.33143
1985,Upper Secondary Level,female,Full-Time Employment,0.27096,684,2340,0.25294,0.28897
1985,Upper Secondary Level,female,Regular Part-Time Employment,0.14465,368,2340,0.13039,0.15890
1985,Upper Secondary Level,female,Vocational Training,0.01271,35,2340,0.00817,0.01725
1985,Upper Secondary Level,female,"Marginal, Irregular Part-Time Employment",0.03361,76,2340,0.02630,0.04091
1985,Upper Secondary Level,female,Not Employed,0.53808,1177,2340,0.51787,0.55828
1985,Post-secondary Non-tertiary Level,male,Full-Time Employment,0.53794,109,161,0.46068,0.61519
1985,Post-secondary Non-tertiary Level,male,Not Employed,0.41395,52,161,0.33763,0.49027
1985,Post-secondary Non-tertiary Level,female,Full-Time Employment,0.47033,49,85,0.36359,0.57707
1985,Post-secondary Non-tertiary Level,female,Not Employed,0.35626,36,85,0.25385,0.45867
1985,First Stage of Tertiary Education,male,Full-Time Employment,0.73028,275,348,0.68358,0.77698
1985,First Stage of Tertiary Education,male,Not Employed,0.23396,73,348,0.18941,0.27850
1985,First Stage of Tertiary Education,female,Full-Time Employment,0.29007,79,247,0.23336,0.34678
1985,First Stage of Tertiary Education,female,Regular Part-Time Employment,0.16320,49,247,0.11702,0.20939
1985,First Stage of Tertiary Education,female,Not Employed,0.50433,119,247,0.44185,0.56681
1985,Second Stage of Tertiary Education,male,Full-Time Employment,0.77145,406,489,0.73419,0.80870
1985,Second Stage of Tertiary Education,male,Not Employed,0.18921,83,489,0.15446,0.22396
1985,Second Stage of Tertiary Education,female,Full-Time Employment,0.43526,112,232,0.37132,0.49920
1985,Second Stage of Tertiary Education,female,Regular Part-Time Employment,0.14463,39,232,0.09928,0.18999
1985,Second Stage of Tertiary Education,female,Not Employed,0.36444,81,232,0.30238,0.42651
1986,Pre-primary Level,male,Not Employed,0.97762,112,112,0.95011,1.00514
1986,Pre-primary Level,female,Not Employed,0.94878,71,71,0.89713,1.00042
1986,Primary Level,male,Full-Time Employment,0.60188,234,315,0.54773,0.65602
1986,Primary Level,male,Not Employed,0.32754,81,315,0.27563,0.37945
1986,Primary Level,female,Full-Time Employment,0.26136,150,418,0.21919,0.30353
1986,Primary Level,female,Not Employed,0.64575,268,418,0.59985,0.69166
1986,Lower Secondary Level,male,Full-Time Employment,0.45643,574,998,0.42551,0.48735
1986,Lower Secondary Level,male,Vocational Training,0.15949,139,998,0.13676,0.18222
1986,Lower Secondary Level,male,Not Employed,0.37029,285,998,0.34032,0.40027
1986,Lower Secondary Level,female,Full-Time Employment,0.15085,384,1899,0.13475,0.16696
1986,Lower Secondary Level,female,Regular Part-Time Employment,0.08041,171,1899,0.06818,0.09264
