year,quintil_oecd,sampreg,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Full-Time Employment,0.20880,711,2485,0.19282,0.22478
1984,1st Quintile,West,Regular Part-Time Employment,0.02490,68,2485,0.01877,0.03103
1984,1st Quintile,West,Vocational Training,0.03608,95,2485,0.02875,0.04342
1984,1st Quintile,West,"Marginal, Irregular Part-Time Employment",0.03008,73,2485,0.02337,0.03680
1984,1st Quintile,West,Not Employed,0.70013,1538,2485,0.68211,0.71815
1984,2nd Quintile,West,Full-Time Employment,0.33912,972,2398,0.32017,0.35808
1984,2nd Quintile,West,Regular Part-Time Employment,0.03907,93,2398,0.03132,0.04683
1984,2nd Quintile,West,Vocational Training,0.04116,110,2398,0.03320,0.04911
1984,2nd Quintile,West,"Marginal, Irregular Part-Time Employment",0.03627,81,2398,0.02878,0.04375
1984,2nd Quintile,West,Not Employed,0.54438,1142,2398,0.52444,0.56431
1984,3rd Quintile,West,Full-Time Employment,0.40401,1106,2355,0.38418,0.42383
1984,3rd Quintile,West,Regular Part-Time Employment,0.06479,160,2355,0.05485,0.07474
1984,3rd Quintile,West,Vocational Training,0.04464,107,2355,0.03630,0.05299
1984,3rd Quintile,West,"Marginal, Irregular Part-Time Employment",0.02824,61,2355,0.02155,0.03493
1984,3rd Quintile,West,Not Employed,0.45832,921,2355,0.43819,0.47844
1984,4th Quintile,West,Full-Time Employment,0.48307,1368,2485,0.46342,0.50272
1984,4th Quintile,West,Regular Part-Time Employment,0.07236,169,2485,0.06217,0.08255
1984,4th Quintile,West,Vocational Training,0.03111,84,2485,0.02428,0.03793
1984,4th Quintile,West,"Marginal, Irregular Part-Time Employment",0.02444,57,2485,0.01836,0.03051
1984,4th Quintile,West,Not Employed,0.38903,807,2485,0.36985,0.40820
1984,5th Quintile,West,Full-Time Employment,0.58467,1515,2418,0.56502,0.60431
1984,5th Quintile,West,Regular Part-Time Employment,0.07075,171,2418,0.06052,0.08097
1984,5th Quintile,West,Vocational Training,0.01629,42,2418,0.01125,0.02134
1984,5th Quintile,West,"Marginal, Irregular Part-Time Employment",0.03015,69,2418,0.02333,0.03697
1984,5th Quintile,West,Not Employed,0.29814,621,2418,0.27991,0.31638
1985,1st Quintile,West,Full-Time Employment,0.21975,685,2257,0.20267,0.23684
1985,1st Quintile,West,Regular Part-Time Employment,0.04794,109,2257,0.03912,0.05675
1985,1st Quintile,West,Vocational Training,0.03310,70,2257,0.02572,0.04048
1985,1st Quintile,West,"Marginal, Irregular Part-Time Employment",0.03041,55,2257,0.02333,0.03750
1985,1st Quintile,West,Not Employed,0.66880,1338,2257,0.64938,0.68822
1985,2nd Quintile,West,Full-Time Employment,0.32453,856,2159,0.30478,0.34429
1985,2nd Quintile,West,Regular Part-Time Employment,0.06074,136,2159,0.05066,0.07082
1985,2nd Quintile,West,Vocational Training,0.02574,60,2159,0.01906,0.03242
1985,2nd Quintile,West,"Marginal, Irregular Part-Time Employment",0.02281,46,2159,0.01651,0.02910
1985,2nd Quintile,West,Not Employed,0.56618,1061,2159,0.54527,0.58709
1985,3rd Quintile,West,Full-Time Employment,0.41912,1078,2207,0.39853,0.43971
1985,3rd Quintile,West,Regular Part-Time Employment,0.06437,148,2207,0.05413,0.07461
1985,3rd Quintile,West,Vocational Training,0.03060,67,2207,0.02341,0.03778
1985,3rd Quintile,West,"Marginal, Irregular Part-Time Employment",0.02035,50,2207,0.01446,0.02624
1985,3rd Quintile,West,Not Employed,0.46556,864,2207,0.44475,0.48638
1985,4th Quintile,West,Full-Time Employment,0.51052,1251,2213,0.48969,0.53136
1985,4th Quintile,West,Regular Part-Time Employment,0.07491,165,2213,0.06394,0.08588
1985,4th Quintile,West,Vocational Training,0.02483,59,2213,0.01835,0.03132
1985,4th Quintile,West,"Marginal, Irregular Part-Time Employment",0.02102,45,2213,0.01504,0.02700
1985,4th Quintile,West,Not Employed,0.36871,693,2213,0.34861,0.38882
1985,5th Quintile,West,Full-Time Employment,0.57893,1347,2154,0.55808,0.59979
1985,5th Quintile,West,Regular Part-Time Employment,0.09048,195,2154,0.07836,0.10260
1985,5th Quintile,West,"Marginal, Irregular Part-Time Employment",0.01572,36,2154,0.01047,0.02097
1985,5th Quintile,West,Not Employed,0.30367,576,2154,0.28425,0.32310
1986,1st Quintile,West,Full-Time Employment,0.19619,575,2074,0.17909,0.21328
1986,1st Quintile,West,Regular Part-Time Employment,0.03169,65,2074,0.02415,0.03923
1986,1st Quintile,West,Vocational Training,0.03460,77,2074,0.02673,0.04247
1986,1st Quintile,West,"Marginal, Irregular Part-Time Employment",0.03305,74,2074,0.02535,0.04074
1986,1st Quintile,West,Not Employed,0.70447,1283,2074,0.68483,0.72412
1986,2nd Quintile,West,Full-Time Employment,0.33208,836,2092,0.31190,0.35227
1986,2nd Quintile,West,Regular Part-Time Employment,0.04974,116,2092,0.04042,0.05906
1986,2nd Quintile,West,Vocational Training,0.03724,85,2092,0.02913,0.04536
1986,2nd Quintile,West,"Marginal, Irregular Part-Time Employment",0.02286,45,2092,0.01646,0.02927
1986,2nd Quintile,West,Not Employed,0.55807,1010,2092,0.53678,0.57936
1986,3rd Quintile,West,Full-Time Employment,0.42731,1022,2098,0.40614,0.44849
1986,3rd Quintile,West,Regular Part-Time Employment,0.06741,150,2098,0.05668,0.07815
1986,3rd Quintile,West,Vocational Training,0.04076,89,2098,0.03230,0.04923
1986,3rd Quintile,West,"Marginal, Irregular Part-Time Employment",0.02923,56,2098,0.02202,0.03644
1986,3rd Quintile,West,Not Employed,0.43528,781,2098,0.41406,0.45650
1986,4th Quintile,West,Full-Time Employment,0.52046,1274,2218,0.49967,0.54126
1986,4th Quintile,West,Regular Part-Time Employment,0.07059,153,2218,0.05993,0.08125
1986,4th Quintile,West,Vocational Training,0.02476,63,2218,0.01829,0.03122
1986,4th Quintile,West,"Marginal, Irregular Part-Time Employment",0.01934,42,2218,0.01361,0.02507
1986,4th Quintile,West,Not Employed,0.36486,686,2218,0.34482,0.38489
1986,5th Quintile,West,Full-Time Employment,0.58364,1289,2095,0.56253,0.60476
1986,5th Quintile,West,Regular Part-Time Employment,0.07696,157,2095,0.06555,0.08838
1986,5th Quintile,West,Vocational Training,0.02187,50,2095,0.01560,0.02813
1986,5th Quintile,West,"Marginal, Irregular Part-Time Employment",0.02266,49,2095,0.01629,0.02904
1986,5th Quintile,West,Not Employed,0.29486,550,2095,0.27533,0.31439
1987,1st Quintile,West,Full-Time Employment,0.18718,535,2035,0.17023,0.20413
1987,1st Quintile,West,Regular Part-Time Employment,0.03935,86,2035,0.03090,0.04780
1987,1st Quintile,West,Vocational Training,0.03358,82,2035,0.02575,0.04141
1987,1st Quintile,West,"Marginal, Irregular Part-Time Employment",0.02570,44,2035,0.01882,0.03257
1987,1st Quintile,West,Not Employed,0.71420,1288,2035,0.69456,0.73383
1987,2nd Quintile,West,Full-Time Employment,0.34863,852,2062,0.32806,0.36920
1987,2nd Quintile,West,Regular Part-Time Employment,0.06228,122,2062,0.05185,0.07272
1987,2nd Quintile,West,Vocational Training,0.03960,100,2062,0.03118,0.04802
1987,2nd Quintile,West,"Marginal, Irregular Part-Time Employment",0.02037,46,2062,0.01427,0.02646
1987,2nd Quintile,West,Not Employed,0.52912,942,2062,0.50757,0.55067
1987,3rd Quintile,West,Full-Time Employment,0.42319,1008,2103,0.40206,0.44431
1987,3rd Quintile,West,Regular Part-Time Employment,0.06557,143,2103,0.05499,0.07616
1987,3rd Quintile,West,Vocational Training,0.04284,109,2103,0.03418,0.05149
1987,3rd Quintile,West,"Marginal, Irregular Part-Time Employment",0.02564,54,2103,0.01888,0.03240
1987,3rd Quintile,West,Not Employed,0.44276,789,2103,0.42153,0.46400
1987,4th Quintile,West,Full-Time Employment,0.52051,1210,2156,0.49942,0.54161
1987,4th Quintile,West,Regular Part-Time Employment,0.08805,182,2156,0.07608,0.10001
1987,4th Quintile,West,Vocational Training,0.03202,80,2156,0.02459,0.03945
1987,4th Quintile,West,"Marginal, Irregular Part-Time Employment",0.01977,40,2156,0.01389,0.02564
1987,4th Quintile,West,Not Employed,0.33965,644,2156,0.31966,0.35965
1987,5th Quintile,West,Full-Time Employment,0.60639,1323,2062,0.58529,0.62748
1987,5th Quintile,West,Regular Part-Time Employment,0.07662,154,2062,0.06514,0.08811
1987,5th Quintile,West,Vocational Training,0.02717,64,2062,0.02015,0.03418
1987,5th Quintile,West,Not Employed,0.27683,521,2062,0.25752,0.29615
1988,1st Quintile,West,Full-Time Employment,0.19670,527,1971,0.17915,0.21426
1988,1st Quintile,West,Regular Part-Time Employment,0.04255,90,1971,0.03364,0.05146
1988,1st Quintile,West,Vocational Training,0.03735,90,1971,0.02898,0.04573
1988,1st Quintile,West,"Marginal, Irregular Part-Time Employment",0.02391,49,1971,0.01716,0.03066
1988,1st Quintile,West,Not Employed,0.69948,1215,1971,0.67924,0.71973
1988,2nd Quintile,West,Full-Time Employment,0.31449,776,1983,0.29404,0.33493
1988,2nd Quintile,West,Regular Part-Time Employment,0.06460,131,1983,0.05378,0.07542
1988,2nd Quintile,West,Vocational Training,0.03968,109,1983,0.03108,0.04827
1988,2nd Quintile,West,"Marginal, Irregular Part-Time Employment",0.02406,47,1983,0.01731,0.03081
1988,2nd Quintile,West,Not Employed,0.55717,920,1983,0.53531,0.57904
1988,3rd Quintile,West,Full-Time Employment,0.43064,954,2006,0.40897,0.45232
1988,3rd Quintile,West,Regular Part-Time Employment,0.07016,149,2006,0.05898,0.08134
1988,3rd Quintile,West,Vocational Training,0.04264,109,2006,0.03380,0.05148
1988,3rd Quintile,West,"Marginal, Irregular Part-Time Employment",0.02432,42,2006,0.01757,0.03106
1988,3rd Quintile,West,Not Employed,0.43224,752,2006,0.41056,0.45393
1988,4th Quintile,West,Full-Time Employment,0.52012,1149,2034,0.49840,0.54184
1988,4th Quintile,West,Regular Part-Time Employment,0.08498,165,2034,0.07286,0.09710
1988,4th Quintile,West,Vocational Training,0.02824,75,2034,0.02104,0.03544
1988,4th Quintile,West,Not Employed,0.35068,645,2034,0.32994,0.37142
1988,5th Quintile,West,Full-Time Employment,0.61775,1240,1942,0.59613,0.63937
1988,5th Quintile,West,Regular Part-Time Employment,0.07500,144,1942,0.06328,0.08672
1988,5th Quintile,West,Vocational Training,0.02012,46,1942,0.01387,0.02636
1988,5th Quintile,West,"Marginal, Irregular Part-Time Employment",0.01855,39,1942,0.01255,0.02456
1988,5th Quintile,West,Not Employed,0.26858,473,1942,0.24886,0.28829
1989,1st Quintile,West,Full-Time Employment,0.19376,538,1930,0.17612,0.21140
1989,1st Quintile,West,Regular Part-Time Employment,0.04661,98,1930,0.03721,0.05602
1989,1st Quintile,West,Vocational Training,0.03794,89,1930,0.02942,0.04647
1989,1st Quintile,West,"Marginal, Irregular Part-Time Employment",0.02293,40,1930,0.01625,0.02961
1989,1st Quintile,West,Not Employed,0.69875,1165,1930,0.67827,0.71922
1989,2nd Quintile,West,Full-Time Employment,0.35303,817,1965,0.33189,0.37416
1989,2nd Quintile,West,Regular Part-Time Employment,0.06630,134,1965,0.05530,0.07731
1989,2nd Quintile,West,Vocational Training,0.03392,84,1965,0.02591,0.04192
1989,2nd Quintile,West,"Marginal, Irregular Part-Time Employment",0.02423,47,1965,0.01743,0.03103
1989,2nd Quintile,West,Not Employed,0.52252,883,1965,0.50043,0.54461
1989,3rd Quintile,West,Full-Time Employment,0.43513,927,1895,0.41280,0.45746
1989,3rd Quintile,West,Regular Part-Time Employment,0.08258,156,1895,0.07018,0.09497
1989,3rd Quintile,West,Vocational Training,0.03442,80,1895,0.02621,0.04263
1989,3rd Quintile,West,"Marginal, Irregular Part-Time Employment",0.02100,37,1895,0.01454,0.02746
1989,3rd Quintile,West,Not Employed,0.42687,695,1895,0.40460,0.44915
1989,4th Quintile,West,Full-Time Employment,0.52466,1147,2009,0.50282,0.54650
1989,4th Quintile,West,Regular Part-Time Employment,0.07007,137,2009,0.05891,0.08124
1989,4th Quintile,West,Vocational Training,0.03466,81,2009,0.02666,0.04266
1989,4th Quintile,West,"Marginal, Irregular Part-Time Employment",0.01590,32,2009,0.01043,0.02137
1989,4th Quintile,West,Not Employed,0.35470,612,2009,0.33378,0.37563
1989,5th Quintile,West,Full-Time Employment,0.61285,1185,1862,0.59072,0.63498
1989,5th Quintile,West,Regular Part-Time Employment,0.08198,148,1862,0.06951,0.09444
1989,5th Quintile,West,Vocational Training,0.01843,40,1862,0.01232,0.02454
1989,5th Quintile,West,"Marginal, Irregular Part-Time Employment",0.01792,40,1862,0.01189,0.02394
1989,5th Quintile,West,Not Employed,0.26882,449,1862,0.24868,0.28897
1990,1st Quintile,West,Full-Time Employment,0.20883,536,1903,0.19056,0.22709
1990,1st Quintile,West,Regular Part-Time Employment,0.05714,106,1903,0.04671,0.06757
1990,1st Quintile,West,Vocational Training,0.03624,80,1903,0.02784,0.04464
1990,1st Quintile,West,"Marginal, Irregular Part-Time Employment",0.02218,43,1903,0.01556,0.02879
1990,1st Quintile,West,Not Employed,0.67561,1138,1903,0.65457,0.69665
1990,2nd Quintile,West,Full-Time Employment,0.34762,762,1889,0.32614,0.36910
1990,2nd Quintile,West,Regular Part-Time Employment,0.07873,150,1889,0.06658,0.09087
1990,2nd Quintile,West,Vocational Training,0.03997,85,1889,0.03114,0.04881
1990,2nd Quintile,West,"Marginal, Irregular Part-Time Employment",0.01851,37,1889,0.01243,0.02459
1990,2nd Quintile,West,Not Employed,0.51517,855,1889,0.49262,0.53771
1990,3rd Quintile,West,Full-Time Employment,0.42795,908,1896,0.40567,0.45023
1990,3rd Quintile,West,Regular Part-Time Employment,0.08629,165,1896,0.07365,0.09893
1990,3rd Quintile,West,Vocational Training,0.04150,88,1896,0.03252,0.05048
1990,3rd Quintile,West,"Marginal, Irregular Part-Time Employment",0.01996,34,1896,0.01366,0.02625
1990,3rd Quintile,West,Not Employed,0.42430,701,1896,0.40205,0.44656
1990,4th Quintile,West,Full-Time Employment,0.54908,1137,1943,0.52695,0.57121
1990,4th Quintile,West,Regular Part-Time Employment,0.07482,142,1943,0.06312,0.08652
1990,4th Quintile,West,Vocational Training,0.02901,64,1943,0.02155,0.03648
1990,4th Quintile,West,"Marginal, Irregular Part-Time Employment",0.02064,37,1943,0.01431,0.02696
1990,4th Quintile,West,Not Employed,0.32645,563,1943,0.30559,0.34730
1990,5th Quintile,West,Full-Time Employment,0.60998,1163,1776,0.58729,0.63267
1990,5th Quintile,West,Regular Part-Time Employment,0.09118,159,1776,0.07779,0.10457
1990,5th Quintile,West,Not Employed,0.27551,454,1776,0.25472,0.29629
1991,1st Quintile,West,Full-Time Employment,0.20242,514,1842,0.18407,0.22078
1991,1st Quintile,West,Regular Part-Time Employment,0.05390,107,1842,0.04358,0.06421
1991,1st Quintile,West,Vocational Training,0.04853,104,1842,0.03871,0.05835
1991,1st Quintile,West,"Marginal, Irregular Part-Time Employment",0.02340,45,1842,0.01650,0.03031
1991,1st Quintile,West,Not Employed,0.67174,1072,1842,0.65029,0.69319
