year,bula_h,migback,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No migration background,Full-Time Employment,0.40912,143,287,0.35213,0.46610
1984,Schleswig-Holstein,No migration background,Not Employed,0.44575,144,287,0.38814,0.50336
1984,Hamburg,No migration background,Full-Time Employment,0.36410,90,197,0.29674,0.43146
1984,Hamburg,No migration background,Not Employed,0.54696,107,197,0.47727,0.61665
1984,Hamburg,Direct migration background,Full-Time Employment,0.54675,53,53,0.41144,0.68205
1984,Lower Saxony,No migration background,Full-Time Employment,0.36932,404,1027,0.33979,0.39885
1984,Lower Saxony,No migration background,Regular Part-Time Employment,0.05691,65,1027,0.04273,0.07108
1984,Lower Saxony,No migration background,Vocational Training,0.04305,45,1027,0.03063,0.05547
1984,Lower Saxony,No migration background,"Marginal, Irregular Part-Time Employment",0.02942,35,1027,0.01908,0.03976
1984,Lower Saxony,No migration background,Not Employed,0.50130,478,1027,0.47071,0.53190
1984,Lower Saxony,Direct migration background,Full-Time Employment,0.44448,102,185,0.37268,0.51628
1984,Lower Saxony,Direct migration background,Not Employed,0.43664,83,185,0.36497,0.50830
1984,Bremen,No migration background,Not Employed,0.70820,64,64,0.59595,0.82046
1984,North Rhine-Westphalia,No migration background,Full-Time Employment,0.39866,957,2266,0.37849,0.41882
1984,North Rhine-Westphalia,No migration background,Regular Part-Time Employment,0.05102,128,2266,0.04195,0.06008
1984,North Rhine-Westphalia,No migration background,Vocational Training,0.02965,72,2266,0.02266,0.03663
1984,North Rhine-Westphalia,No migration background,"Marginal, Irregular Part-Time Employment",0.02815,69,2266,0.02134,0.03496
1984,North Rhine-Westphalia,No migration background,Not Employed,0.49253,1040,2266,0.47195,0.51312
1984,North Rhine-Westphalia,Direct migration background,Full-Time Employment,0.48287,517,890,0.45003,0.51572
1984,North Rhine-Westphalia,Direct migration background,Not Employed,0.44695,373,890,0.41427,0.47963
1984,Hesse,No migration background,Full-Time Employment,0.39330,316,707,0.35727,0.42933
1984,Hesse,No migration background,Regular Part-Time Employment,0.06948,58,707,0.05072,0.08823
