year,quintil_oecd,sex,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Full-Time Employment,0.31276,584,1065,0.28490,0.34062
1984,1st Quintile,male,Vocational Training,0.03129,49,1065,0.02083,0.04175
1984,1st Quintile,male,Not Employed,0.34560,432,1065,0.31703,0.37418
1984,1st Quintile,female,Full-Time Employment,0.05036,127,1387,0.03884,0.06187
1984,1st Quintile,female,Regular Part-Time Employment,0.02582,55,1387,0.01747,0.03417
1984,1st Quintile,female,Vocational Training,0.02514,46,1387,0.01689,0.03338
1984,1st Quintile,female,"Marginal, Irregular Part-Time Employment",0.02804,53,1387,0.01935,0.03674
1984,1st Quintile,female,Not Employed,0.67664,1106,1387,0.65201,0.70127
1984,2nd Quintile,male,Full-Time Employment,0.45406,749,1113,0.42479,0.48332
1984,2nd Quintile,male,Vocational Training,0.03959,67,1113,0.02812,0.05105
1984,2nd Quintile,male,Not Employed,0.26064,297,1113,0.23484,0.28644
1984,2nd Quintile,female,Full-Time Employment,0.10987,223,1274,0.09269,0.12704
1984,2nd Quintile,female,Regular Part-Time Employment,0.05688,92,1274,0.04416,0.06960
1984,2nd Quintile,female,Vocational Training,0.02668,43,1274,0.01783,0.03553
1984,2nd Quintile,female,"Marginal, Irregular Part-Time Employment",0.04625,71,1274,0.03472,0.05779
1984,2nd Quintile,female,Not Employed,0.57895,845,1274,0.55182,0.60607
1984,3rd Quintile,male,Full-Time Employment,0.50981,809,1171,0.48117,0.53846
1984,3rd Quintile,male,Vocational Training,0.04333,69,1171,0.03166,0.05500
1984,3rd Quintile,male,Not Employed,0.24518,293,1171,0.22053,0.26983
1984,3rd Quintile,female,Full-Time Employment,0.15486,297,1167,0.13409,0.17562
1984,3rd Quintile,female,Regular Part-Time Employment,0.09866,152,1167,0.08154,0.11577
1984,3rd Quintile,female,Vocational Training,0.02983,38,1167,0.02006,0.03959
1984,3rd Quintile,female,"Marginal, Irregular Part-Time Employment",0.03787,52,1167,0.02691,0.04883
1984,3rd Quintile,female,Not Employed,0.50137,628,1167,0.47267,0.53007
1984,4th Quintile,male,Full-Time Employment,0.57648,931,1253,0.54911,0.60385
1984,4th Quintile,male,Vocational Training,0.02682,44,1253,0.01787,0.03577
1984,4th Quintile,male,Not Employed,0.23192,278,1253,0.20854,0.25530
1984,4th Quintile,female,Full-Time Employment,0.24716,437,1218,0.22293,0.27140
1984,4th Quintile,female,Regular Part-Time Employment,0.11884,162,1218,0.10066,0.13702
1984,4th Quintile,female,Vocational Training,0.02635,40,1218,0.01735,0.03535
1984,4th Quintile,female,"Marginal, Irregular Part-Time Employment",0.03646,50,1218,0.02593,0.04699
1984,4th Quintile,female,Not Employed,0.43439,529,1218,0.40654,0.46224
1984,5th Quintile,male,Full-Time Employment,0.68660,1010,1242,0.66079,0.71241
1984,5th Quintile,male,Vocational Training,0.02298,33,1242,0.01464,0.03132
1984,5th Quintile,male,Not Employed,0.17226,199,1242,0.15125,0.19327
1984,5th Quintile,female,Full-Time Employment,0.35320,505,1140,0.32545,0.38096
1984,5th Quintile,female,Regular Part-Time Employment,0.11995,159,1140,0.10108,0.13882
1984,5th Quintile,female,"Marginal, Irregular Part-Time Employment",0.04393,54,1140,0.03203,0.05583
1984,5th Quintile,female,Not Employed,0.36647,422,1140,0.33849,0.39445
1985,1st Quintile,male,Full-Time Employment,0.29394,531,970,0.26526,0.32263
1985,1st Quintile,male,Vocational Training,0.03442,40,970,0.02294,0.04590
1985,1st Quintile,male,Not Employed,0.36156,399,970,0.33131,0.39181
1985,1st Quintile,female,Full-Time Employment,0.07838,154,1226,0.06333,0.09343
1985,1st Quintile,female,Regular Part-Time Employment,0.05503,94,1226,0.04226,0.06780
1985,1st Quintile,female,"Marginal, Irregular Part-Time Employment",0.02850,39,1226,0.01918,0.03782
1985,1st Quintile,female,Not Employed,0.63513,939,1226,0.60817,0.66209
1985,2nd Quintile,male,Full-Time Employment,0.42854,656,1015,0.39808,0.45900
1985,2nd Quintile,male,Vocational Training,0.02578,39,1015,0.01603,0.03554
1985,2nd Quintile,male,Not Employed,0.31330,320,1015,0.28476,0.34185
1985,2nd Quintile,female,Full-Time Employment,0.11633,200,1107,0.09744,0.13523
1985,2nd Quintile,female,Regular Part-Time Employment,0.08314,128,1107,0.06687,0.09941
1985,2nd Quintile,female,"Marginal, Irregular Part-Time Employment",0.02663,38,1107,0.01714,0.03612
1985,2nd Quintile,female,Not Employed,0.56700,741,1107,0.53780,0.59620
1985,3rd Quintile,male,Full-Time Employment,0.51951,762,1089,0.48983,0.54920
1985,3rd Quintile,male,Vocational Training,0.02931,42,1089,0.01928,0.03933
1985,3rd Quintile,male,Not Employed,0.26129,285,1089,0.23519,0.28740
1985,3rd Quintile,female,Full-Time Employment,0.19389,316,1073,0.17023,0.21756
1985,3rd Quintile,female,Regular Part-Time Employment,0.09789,137,1073,0.08010,0.11568
1985,3rd Quintile,female,"Marginal, Irregular Part-Time Employment",0.02861,41,1073,0.01863,0.03859
1985,3rd Quintile,female,Not Employed,0.51828,579,1073,0.48837,0.54819
1985,4th Quintile,male,Full-Time Employment,0.61179,856,1122,0.58326,0.64032
1985,4th Quintile,male,Vocational Training,0.02177,34,1122,0.01323,0.03032
1985,4th Quintile,male,Not Employed,0.22123,232,1122,0.19693,0.24552
1985,4th Quintile,female,Full-Time Employment,0.27335,395,1040,0.24625,0.30045
1985,4th Quintile,female,Regular Part-Time Employment,0.12396,153,1040,0.10392,0.14400
1985,4th Quintile,female,"Marginal, Irregular Part-Time Employment",0.02606,31,1040,0.01638,0.03575
1985,4th Quintile,female,Not Employed,0.42542,461,1040,0.39535,0.45548
1985,5th Quintile,male,Full-Time Employment,0.69724,892,1086,0.66990,0.72458
1985,5th Quintile,male,Not Employed,0.18698,194,1086,0.16378,0.21018
1985,5th Quintile,female,Full-Time Employment,0.34741,455,1021,0.31819,0.37663
1985,5th Quintile,female,Regular Part-Time Employment,0.15471,184,1021,0.13251,0.17690
1985,5th Quintile,female,Not Employed,0.36439,382,1021,0.33486,0.39393
1986,1st Quintile,male,Full-Time Employment,0.28052,450,894,0.25105,0.30998
1986,1st Quintile,male,Vocational Training,0.02788,39,894,0.01708,0.03868
1986,1st Quintile,male,Not Employed,0.40179,405,894,0.36963,0.43394
1986,1st Quintile,female,Full-Time Employment,0.06254,125,1156,0.04858,0.07651
1986,1st Quintile,female,Regular Part-Time Employment,0.03378,52,1156,0.02336,0.04420
1986,1st Quintile,female,Vocational Training,0.02645,38,1156,0.01719,0.03570
1986,1st Quintile,female,"Marginal, Irregular Part-Time Employment",0.03508,63,1156,0.02447,0.04569
1986,1st Quintile,female,Not Employed,0.65675,878,1156,0.62936,0.68413
1986,2nd Quintile,male,Full-Time Employment,0.42464,652,1009,0.39412,0.45515
1986,2nd Quintile,male,Vocational Training,0.03771,52,1009,0.02595,0.04947
1986,2nd Quintile,male,Not Employed,0.28731,305,1009,0.25937,0.31524
1986,2nd Quintile,female,Full-Time Employment,0.11333,184,1065,0.09428,0.13238
