year,age_gr,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Full-Time Employment,0.43162,1484,3435,0.41505,0.44818
1984,17-29 y.,Regular Part-Time Employment,0.02661,93,3435,0.02123,0.03199
1984,17-29 y.,Vocational Training,0.13333,435,3435,0.12196,0.14470
1984,17-29 y.,"Marginal, Irregular Part-Time Employment",0.02259,75,3435,0.01762,0.02756
1984,17-29 y.,Not Employed,0.38454,1348,3435,0.36827,0.40082
1984,30-45 y.,Full-Time Employment,0.59622,2383,3903,0.58082,0.61161
1984,30-45 y.,Regular Part-Time Employment,0.10156,346,3903,0.09208,0.11104
1984,30-45 y.,"Marginal, Irregular Part-Time Employment",0.04776,157,3903,0.04106,0.05445
1984,30-45 y.,Not Employed,0.25402,1017,3903,0.24036,0.26768
1984,46-65 y.,Full-Time Employment,0.45627,1792,3556,0.43989,0.47264
1984,46-65 y.,Regular Part-Time Employment,0.06430,210,3556,0.05624,0.07236
1984,46-65 y.,"Marginal, Irregular Part-Time Employment",0.02752,88,3556,0.02214,0.03290
1984,46-65 y.,Not Employed,0.45191,1466,3556,0.43555,0.46827
1984,66 and older,Not Employed,0.96542,1217,1217,0.95516,0.97569
1985,17-29 y.,Full-Time Employment,0.46840,1444,3140,0.45094,0.48586
1985,17-29 y.,Regular Part-Time Employment,0.03907,120,3140,0.03229,0.04584
1985,17-29 y.,Vocational Training,0.09435,275,3140,0.08412,0.10457
1985,17-29 y.,"Marginal, Irregular Part-Time Employment",0.02533,80,3140,0.01983,0.03082
1985,17-29 y.,Not Employed,0.37286,1221,3140,0.35594,0.38978
1985,30-45 y.,Full-Time Employment,0.60077,2113,3466,0.58447,0.61708
1985,30-45 y.,Regular Part-Time Employment,0.12102,370,3466,0.11016,0.13188
1985,30-45 y.,"Marginal, Irregular Part-Time Employment",0.02850,85,3466,0.02296,0.03404
1985,30-45 y.,Not Employed,0.24650,898,3466,0.23215,0.26085
1985,46-65 y.,Full-Time Employment,0.45096,1642,3304,0.43399,0.46793
1985,46-65 y.,Regular Part-Time Employment,0.08096,248,3304,0.07166,0.09026
1985,46-65 y.,"Marginal, Irregular Part-Time Employment",0.01863,53,3304,0.01402,0.02324
1985,46-65 y.,Not Employed,0.44945,1361,3304,0.43249,0.46642
1985,66 and older,Not Employed,0.96485,1059,1059,0.95375,0.97595
1986,17-29 y.,Full-Time Employment,0.46819,1385,3055,0.45049,0.48588
1986,17-29 y.,Regular Part-Time Employment,0.04059,116,3055,0.03359,0.04759
1986,17-29 y.,Vocational Training,0.12115,354,3055,0.10958,0.13273
1986,17-29 y.,"Marginal, Irregular Part-Time Employment",0.02047,62,3055,0.01544,0.02549
1986,17-29 y.,Not Employed,0.34946,1138,3055,0.33255,0.36637
1986,30-45 y.,Full-Time Employment,0.60430,1971,3260,0.58751,0.62109
1986,30-45 y.,Regular Part-Time Employment,0.10278,308,3260,0.09235,0.11321
1986,30-45 y.,"Marginal, Irregular Part-Time Employment",0.03628,110,3260,0.02986,0.04270
1986,30-45 y.,Not Employed,0.25297,871,3260,0.23804,0.26789
1986,46-65 y.,Full-Time Employment,0.45729,1631,3227,0.44010,0.47448
1986,46-65 y.,Regular Part-Time Employment,0.06959,208,3227,0.06081,0.07837
1986,46-65 y.,"Marginal, Irregular Part-Time Employment",0.02780,83,3227,0.02213,0.03347
1986,46-65 y.,Not Employed,0.44516,1305,3227,0.42801,0.46231
1986,66 and older,Not Employed,0.97384,1001,1001,0.96395,0.98373
1987,17-29 y.,Full-Time Employment,0.46481,1318,3008,0.44698,0.48264
1987,17-29 y.,Regular Part-Time Employment,0.04607,119,3008,0.03858,0.05356
1987,17-29 y.,Vocational Training,0.13906,427,3008,0.12669,0.15142
1987,17-29 y.,"Marginal, Irregular Part-Time Employment",0.02314,65,3008,0.01776,0.02851
