year,age_gr,sex,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Full-Time Employment,0.49732,886,1702,0.47356,0.52108
1984,17-29 y.,male,Vocational Training,0.14876,260,1702,0.13185,0.16567
1984,17-29 y.,male,Not Employed,0.33400,556,1702,0.31159,0.35642
1984,17-29 y.,female,Full-Time Employment,0.36431,598,1702,0.34144,0.38718
1984,17-29 y.,female,Regular Part-Time Employment,0.04839,83,1702,0.03819,0.05859
1984,17-29 y.,female,Vocational Training,0.11753,175,1702,0.10222,0.13283
1984,17-29 y.,female,"Marginal, Irregular Part-Time Employment",0.03145,54,1702,0.02316,0.03975
1984,17-29 y.,female,Not Employed,0.43631,792,1702,0.41275,0.45988
1984,30-45 y.,male,Full-Time Employment,0.92564,1801,1902,0.91385,0.93743
1984,30-45 y.,male,Not Employed,0.05298,101,1902,0.04291,0.06305
1984,30-45 y.,female,Full-Time Employment,0.26139,582,1968,0.24197,0.28081
1984,30-45 y.,female,Regular Part-Time Employment,0.19267,327,1968,0.17524,0.21010
1984,30-45 y.,female,"Marginal, Irregular Part-Time Employment",0.08749,143,1968,0.07500,0.09997
1984,30-45 y.,female,Not Employed,0.45836,916,1968,0.43634,0.48037
1984,46-65 y.,male,Full-Time Employment,0.75097,1387,1759,0.73076,0.77119
1984,46-65 y.,male,Not Employed,0.23709,372,1759,0.21721,0.25697
1984,46-65 y.,female,Full-Time Employment,0.19242,405,1778,0.17409,0.21075
1984,46-65 y.,female,Regular Part-Time Employment,0.11860,205,1778,0.10356,0.13363
1984,46-65 y.,female,"Marginal, Irregular Part-Time Employment",0.04474,74,1778,0.03513,0.05435
1984,46-65 y.,female,Not Employed,0.64424,1094,1778,0.62198,0.66650
1984,66 and older,male,Not Employed,0.94587,474,474,0.92548,0.96626
1984,66 and older,female,Not Employed,0.97643,743,743,0.96551,0.98734
1985,17-29 y.,male,Full-Time Employment,0.50971,847,1592,0.48515,0.53428
1985,17-29 y.,male,Vocational Training,0.10237,163,1592,0.08747,0.11726
1985,17-29 y.,male,"Marginal, Irregular Part-Time Employment",0.02135,35,1592,0.01425,0.02845
1985,17-29 y.,male,Not Employed,0.35330,547,1592,0.32981,0.37679
1985,17-29 y.,female,Full-Time Employment,0.42590,597,1529,0.40111,0.45069
1985,17-29 y.,female,Regular Part-Time Employment,0.06560,101,1529,0.05319,0.07802
1985,17-29 y.,female,Vocational Training,0.08610,112,1529,0.07204,0.10017
1985,17-29 y.,female,"Marginal, Irregular Part-Time Employment",0.02941,45,1529,0.02094,0.03789
1985,17-29 y.,female,Not Employed,0.39298,674,1529,0.36849,0.41747
1985,30-45 y.,male,Full-Time Employment,0.90806,1563,1671,0.89420,0.92192
1985,30-45 y.,male,Not Employed,0.06705,108,1671,0.05506,0.07905
1985,30-45 y.,female,Full-Time Employment,0.29065,550,1766,0.26946,0.31183
1985,30-45 y.,female,Regular Part-Time Employment,0.22886,348,1766,0.20926,0.24846
1985,30-45 y.,female,"Marginal, Irregular Part-Time Employment",0.05103,78,1766,0.04076,0.06130
1985,30-45 y.,female,Not Employed,0.42761,790,1766,0.40452,0.45069
1985,46-65 y.,male,Full-Time Employment,0.73720,1273,1637,0.71587,0.75853
1985,46-65 y.,male,Not Employed,0.25035,364,1637,0.22936,0.27135
1985,46-65 y.,female,Full-Time Employment,0.19062,369,1651,0.17166,0.20957
1985,46-65 y.,female,Regular Part-Time Employment,0.15088,242,1651,0.13361,0.16815
1985,46-65 y.,female,"Marginal, Irregular Part-Time Employment",0.02797,43,1651,0.02002,0.03593
1985,46-65 y.,female,Not Employed,0.63053,997,1651,0.60724,0.65382
1985,66 and older,male,Not Employed,0.94496,414,414,0.92296,0.96695
1985,66 and older,female,Not Employed,0.97604,645,645,0.96423,0.98785
1986,17-29 y.,male,Full-Time Employment,0.51370,826,1552,0.48883,0.53857
1986,17-29 y.,male,Vocational Training,0.12916,203,1552,0.11247,0.14585
1986,17-29 y.,male,Not Employed,0.33292,523,1552,0.30946,0.35637
1986,17-29 y.,female,Full-Time Employment,0.42029,559,1468,0.39503,0.44555
1986,17-29 y.,female,Regular Part-Time Employment,0.07219,100,1468,0.05895,0.08544
1986,17-29 y.,female,Vocational Training,0.11273,151,1468,0.09655,0.12892
1986,17-29 y.,female,"Marginal, Irregular Part-Time Employment",0.02774,43,1468,0.01933,0.03614
1986,17-29 y.,female,Not Employed,0.36687,615,1468,0.34221,0.39153
1986,30-45 y.,male,Full-Time Employment,0.90452,1433,1568,0.88997,0.91907
1986,30-45 y.,male,Regular Part-Time Employment,0.02061,31,1568,0.01358,0.02765
1986,30-45 y.,male,Not Employed,0.06435,104,1568,0.05220,0.07650
1986,30-45 y.,female,Full-Time Employment,0.30015,538,1687,0.27827,0.32203
1986,30-45 y.,female,Regular Part-Time Employment,0.18602,277,1687,0.16745,0.20460
1986,30-45 y.,female,"Marginal, Irregular Part-Time Employment",0.06895,105,1687,0.05686,0.08104
1986,30-45 y.,female,Not Employed,0.44405,767,1687,0.42033,0.46776
1986,46-65 y.,male,Full-Time Employment,0.73128,1264,1621,0.70970,0.75287
1986,46-65 y.,male,Not Employed,0.25002,357,1621,0.22893,0.27110
1986,46-65 y.,female,Full-Time Employment,0.20576,367,1582,0.18583,0.22569
1986,46-65 y.,female,Regular Part-Time Employment,0.12422,194,1582,0.10796,0.14048
1986,46-65 y.,female,"Marginal, Irregular Part-Time Employment",0.04540,73,1582,0.03514,0.05566
