year,regtyp,sampreg,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,Full-Time Employment,0.35767,4161,8685,0.34759,0.36775
1985,Urban regions,West,Regular Part-Time Employment,0.05800,594,8685,0.05309,0.06292
1985,Urban regions,West,Vocational Training,0.02037,221,8685,0.01740,0.02334
1985,Urban regions,West,"Marginal, Irregular Part-Time Employment",0.01857,183,8685,0.01573,0.02141
1985,Urban regions,West,Not Employed,0.38822,3526,8685,0.37797,0.39847
1985,Rural regions,West,Full-Time Employment,0.32680,1056,2341,0.30779,0.34580
1985,Rural regions,West,Regular Part-Time Employment,0.05556,160,2341,0.04628,0.06485
1985,Rural regions,West,Vocational Training,0.02186,63,2341,0.01594,0.02779
1985,Rural regions,West,"Marginal, Irregular Part-Time Employment",0.01741,49,2341,0.01211,0.02271
1985,Rural regions,West,Not Employed,0.40419,1013,2341,0.38431,0.42407
1986,Urban regions,West,Full-Time Employment,0.35749,3988,8352,0.34721,0.36777
1986,Urban regions,West,Regular Part-Time Employment,0.05114,507,8352,0.04641,0.05586
1986,Urban regions,West,Vocational Training,0.02407,266,8352,0.02078,0.02735
1986,Urban regions,West,"Marginal, Irregular Part-Time Employment",0.02084,205,8352,0.01778,0.02390
1986,Urban regions,West,Not Employed,0.38897,3386,8352,0.37852,0.39943
1986,Rural regions,West,Full-Time Employment,0.33089,1009,2231,0.31136,0.35042
1986,Rural regions,West,Regular Part-Time Employment,0.04779,134,2231,0.03894,0.05664
1986,Rural regions,West,Vocational Training,0.03353,98,2231,0.02606,0.04100
1986,Rural regions,West,"Marginal, Irregular Part-Time Employment",0.02205,61,2231,0.01596,0.02815
1986,Rural regions,West,Not Employed,0.38767,929,2231,0.36745,0.40789
1987,Urban regions,West,Full-Time Employment,0.36091,3923,8244,0.35054,0.37127
1987,Urban regions,West,Regular Part-Time Employment,0.05372,518,8244,0.04886,0.05859
1987,Urban regions,West,Vocational Training,0.02737,322,8244,0.02385,0.03089
1987,Urban regions,West,"Marginal, Irregular Part-Time Employment",0.01808,167,8244,0.01521,0.02096
1987,Urban regions,West,Not Employed,0.38144,3314,8244,0.37096,0.39193
1987,Rural regions,West,Full-Time Employment,0.33436,1006,2205,0.31466,0.35405
1987,Rural regions,West,Regular Part-Time Employment,0.06378,170,2205,0.05358,0.07398
1987,Rural regions,West,Vocational Training,0.03437,113,2205,0.02677,0.04198
1987,Rural regions,West,"Marginal, Irregular Part-Time Employment",0.01475,45,2205,0.00972,0.01979
1987,Rural regions,West,Not Employed,0.36702,871,2205,0.34689,0.38714
1988,Urban regions,West,Full-Time Employment,0.36290,3714,7904,0.35230,0.37350
1988,Urban regions,West,Regular Part-Time Employment,0.05714,536,7904,0.05202,0.06225
1988,Urban regions,West,Vocational Training,0.02594,326,7904,0.02244,0.02944
1988,Urban regions,West,"Marginal, Irregular Part-Time Employment",0.01758,161,7904,0.01468,0.02048
1988,Urban regions,West,Not Employed,0.37795,3167,7904,0.36726,0.38864
1988,Rural regions,West,Full-Time Employment,0.32819,933,2064,0.30793,0.34845
1988,Rural regions,West,Regular Part-Time Employment,0.05593,143,2064,0.04602,0.06585
1988,Rural regions,West,Vocational Training,0.03327,103,2064,0.02553,0.04101
1988,Rural regions,West,"Marginal, Irregular Part-Time Employment",0.01805,46,2064,0.01230,0.02379
1988,Rural regions,West,Not Employed,0.37874,839,2064,0.35781,0.39968
1989,Urban regions,West,Full-Time Employment,0.36918,3702,7700,0.35840,0.37996
1989,Urban regions,West,Regular Part-Time Employment,0.05709,521,7700,0.05190,0.06227
1989,Urban regions,West,Vocational Training,0.02598,289,7700,0.02242,0.02953
1989,Urban regions,West,"Marginal, Irregular Part-Time Employment",0.01843,163,7700,0.01542,0.02143
1989,Urban regions,West,Not Employed,0.37214,3025,7700,0.36135,0.38294
1989,Rural regions,West,Full-Time Employment,0.33648,912,1962,0.31557,0.35739
1989,Rural regions,West,Regular Part-Time Employment,0.06345,152,1962,0.05266,0.07424
1989,Rural regions,West,Vocational Training,0.02788,85,1962,0.02059,0.03516
1989,Rural regions,West,"Marginal, Irregular Part-Time Employment",0.01196,33,1962,0.00715,0.01677
1989,Rural regions,West,Not Employed,0.37705,780,1962,0.35560,0.39851
1990,Urban regions,West,Full-Time Employment,0.37033,3588,7502,0.35940,0.38126
1990,Urban regions,West,Regular Part-Time Employment,0.06323,556,7502,0.05772,0.06874
1990,Urban regions,West,Vocational Training,0.02628,271,7502,0.02266,0.02991
1990,Urban regions,West,"Marginal, Irregular Part-Time Employment",0.01438,132,7502,0.01168,0.01707
1990,Urban regions,West,Not Employed,0.36177,2955,7502,0.35090,0.37264
1990,Urban regions,East,Full-Time Employment,0.47922,973,1461,0.45359,0.50484
1990,Urban regions,East,Regular Part-Time Employment,0.06643,138,1461,0.05365,0.07920
1990,Urban regions,East,Vocational Training,0.01781,38,1461,0.01102,0.02459
1990,Urban regions,East,Not Employed,0.21300,312,1461,0.19200,0.23400
1990,Rural regions,West,Full-Time Employment,0.34598,918,1959,0.32491,0.36705
