year,age_gr,quintil_oecd,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Full-Time Employment,0.22491,192,745,0.19491,0.25491
1984,17-29 y.,1st Quintile,Vocational Training,0.13963,94,745,0.11472,0.16453
1984,17-29 y.,1st Quintile,Not Employed,0.58133,459,745,0.54588,0.61678
1984,17-29 y.,2nd Quintile,Full-Time Employment,0.33683,234,657,0.30066,0.37300
1984,17-29 y.,2nd Quintile,Vocational Training,0.16691,110,657,0.13838,0.19545
1984,17-29 y.,2nd Quintile,Not Employed,0.45095,313,657,0.41287,0.48903
1984,17-29 y.,3rd Quintile,Full-Time Employment,0.42639,283,623,0.38753,0.46526
1984,17-29 y.,3rd Quintile,Vocational Training,0.16706,106,623,0.13774,0.19638
1984,17-29 y.,3rd Quintile,Not Employed,0.35337,234,623,0.31581,0.39094
1984,17-29 y.,4th Quintile,Full-Time Employment,0.54678,413,698,0.50982,0.58374
1984,17-29 y.,4th Quintile,Vocational Training,0.11710,84,698,0.09323,0.14097
1984,17-29 y.,4th Quintile,Not Employed,0.28803,201,698,0.25441,0.32165
1984,17-29 y.,5th Quintile,Full-Time Employment,0.61766,358,531,0.57629,0.65903
1984,17-29 y.,5th Quintile,Vocational Training,0.07677,41,531,0.05411,0.09944
1984,17-29 y.,5th Quintile,Not Employed,0.25223,132,531,0.21526,0.28921
1984,30-45 y.,1st Quintile,Full-Time Employment,0.38671,335,727,0.35128,0.42214
1984,30-45 y.,1st Quintile,Not Employed,0.51580,392,727,0.47945,0.55216
1984,30-45 y.,2nd Quintile,Full-Time Employment,0.55208,446,786,0.51729,0.58687
1984,30-45 y.,2nd Quintile,Regular Part-Time Employment,0.06964,50,786,0.05184,0.08745
1984,30-45 y.,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.07637,46,786,0.05779,0.09495
1984,30-45 y.,2nd Quintile,Not Employed,0.30191,244,786,0.26979,0.33402
1984,30-45 y.,3rd Quintile,Full-Time Employment,0.58022,471,731,0.54442,0.61602
1984,30-45 y.,3rd Quintile,Regular Part-Time Employment,0.12826,90,731,0.10400,0.15252
1984,30-45 y.,3rd Quintile,Not Employed,0.24502,170,731,0.21382,0.27622
1984,30-45 y.,4th Quintile,Full-Time Employment,0.65936,546,759,0.62562,0.69310
1984,30-45 y.,4th Quintile,Regular Part-Time Employment,0.12829,87,759,0.10448,0.15210
1984,30-45 y.,4th Quintile,Not Employed,0.17467,126,759,0.14764,0.20170
1984,30-45 y.,5th Quintile,Full-Time Employment,0.73875,585,757,0.70743,0.77007
1984,30-45 y.,5th Quintile,Regular Part-Time Employment,0.11809,89,757,0.09508,0.14109
1984,30-45 y.,5th Quintile,Not Employed,0.10681,83,757,0.08480,0.12883
1984,46-65 y.,1st Quintile,Full-Time Employment,0.24399,180,530,0.20739,0.28059
1984,46-65 y.,1st Quintile,Not Employed,0.70929,350,530,0.67060,0.74799
1984,46-65 y.,2nd Quintile,Full-Time Employment,0.38222,291,605,0.34347,0.42098
1984,46-65 y.,2nd Quintile,Not Employed,0.53725,314,605,0.49749,0.57702
1984,46-65 y.,3rd Quintile,Full-Time Employment,0.43683,351,681,0.39955,0.47411
1984,46-65 y.,3rd Quintile,Regular Part-Time Employment,0.06786,46,681,0.04896,0.08677
1984,46-65 y.,3rd Quintile,Not Employed,0.46382,284,681,0.42634,0.50130
1984,46-65 y.,4th Quintile,Full-Time Employment,0.47825,407,747,0.44240,0.51410
1984,46-65 y.,4th Quintile,Regular Part-Time Employment,0.07961,56,747,0.06019,0.09904
1984,46-65 y.,4th Quintile,Not Employed,0.41626,284,747,0.38089,0.45164
1984,46-65 y.,5th Quintile,Full-Time Employment,0.61265,563,856,0.58000,0.64531
1984,46-65 y.,5th Quintile,Regular Part-Time Employment,0.07771,64,856,0.05976,0.09565
1984,46-65 y.,5th Quintile,Not Employed,0.28120,229,856,0.25106,0.31133
1984,66 and older,1st Quintile,Not Employed,0.96083,337,337,0.94009,0.98157
1984,66 and older,2nd Quintile,Not Employed,0.98317,271,271,0.96783,0.99851
1984,66 and older,3rd Quintile,Not Employed,0.98509,233,233,0.96950,1.00069
1984,66 and older,4th Quintile,Not Employed,0.95906,196,196,0.93125,0.98687
1984,66 and older,5th Quintile,Not Employed,0.92846,177,177,0.89039,0.96654
1985,17-29 y.,1st Quintile,Full-Time Employment,0.25908,214,752,0.22774,0.29042
1985,17-29 y.,1st Quintile,Regular Part-Time Employment,0.05274,34,752,0.03675,0.06872
1985,17-29 y.,1st Quintile,Vocational Training,0.10732,67,752,0.08518,0.12946
1985,17-29 y.,1st Quintile,Not Employed,0.53747,437,752,0.50181,0.57313
1985,17-29 y.,2nd Quintile,Full-Time Employment,0.36899,215,541,0.32829,0.40969
1985,17-29 y.,2nd Quintile,Vocational Training,0.10878,60,541,0.08251,0.13504
1985,17-29 y.,2nd Quintile,Not Employed,0.44764,266,541,0.40570,0.48958
1985,17-29 y.,3rd Quintile,Full-Time Employment,0.50476,323,610,0.46505,0.54447
1985,17-29 y.,3rd Quintile,Vocational Training,0.10799,63,610,0.08334,0.13265
1985,17-29 y.,3rd Quintile,Not Employed,0.34309,224,610,0.30538,0.38079
1985,17-29 y.,4th Quintile,Full-Time Employment,0.59202,370,595,0.55250,0.63154
1985,17-29 y.,4th Quintile,Vocational Training,0.08984,57,595,0.06684,0.11283
1985,17-29 y.,4th Quintile,Not Employed,0.26019,168,595,0.22491,0.29547
1985,17-29 y.,5th Quintile,Full-Time Employment,0.62913,322,445,0.58420,0.67406
1985,17-29 y.,5th Quintile,Not Employed,0.26777,123,445,0.22658,0.30896
1985,30-45 y.,1st Quintile,Full-Time Employment,0.39544,299,669,0.35836,0.43252
1985,30-45 y.,1st Quintile,Regular Part-Time Employment,0.09100,49,669,0.06919,0.11281
1985,30-45 y.,1st Quintile,Not Employed,0.46990,321,669,0.43205,0.50775
1985,30-45 y.,2nd Quintile,Full-Time Employment,0.53099,409,728,0.49471,0.56727
1985,30-45 y.,2nd Quintile,Regular Part-Time Employment,0.10029,69,728,0.07845,0.12212
1985,30-45 y.,2nd Quintile,Not Employed,0.32754,250,728,0.29342,0.36165
1985,30-45 y.,3rd Quintile,Full-Time Employment,0.56600,393,616,0.52683,0.60518
1985,30-45 y.,3rd Quintile,Regular Part-Time Employment,0.13658,78,616,0.10944,0.16372
1985,30-45 y.,3rd Quintile,Not Employed,0.25171,145,616,0.21741,0.28602
1985,30-45 y.,4th Quintile,Full-Time Employment,0.68834,482,664,0.65308,0.72359
1985,30-45 y.,4th Quintile,Regular Part-Time Employment,0.13209,82,664,0.10632,0.15787
1985,30-45 y.,4th Quintile,Not Employed,0.15242,100,664,0.12506,0.17978
1985,30-45 y.,5th Quintile,Full-Time Employment,0.73960,530,702,0.70711,0.77209
1985,30-45 y.,5th Quintile,Regular Part-Time Employment,0.13582,92,702,0.11046,0.16119
1985,30-45 y.,5th Quintile,Not Employed,0.11454,80,702,0.09096,0.13811
1985,46-65 y.,1st Quintile,Full-Time Employment,0.23169,171,499,0.19464,0.26875
1985,46-65 y.,1st Quintile,Not Employed,0.69435,328,499,0.65389,0.73481
1985,46-65 y.,2nd Quintile,Full-Time Employment,0.34076,231,555,0.30129,0.38023
1985,46-65 y.,2nd Quintile,Regular Part-Time Employment,0.06873,35,555,0.04766,0.08979
1985,46-65 y.,2nd Quintile,Not Employed,0.57071,289,555,0.52949,0.61192
1985,46-65 y.,3rd Quintile,Full-Time Employment,0.44406,357,691,0.40699,0.48114
