year,bula_h,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Full-Time Employment,0.33996,169,361,0.29102,0.38889
1984,Schleswig-Holstein,Regular Part-Time Employment,0.06218,32,361,0.03724,0.08713
1984,Schleswig-Holstein,Not Employed,0.36070,160,361,0.31109,0.41030
1984,Hamburg,Full-Time Employment,0.33978,143,275,0.28370,0.39586
1984,Hamburg,Not Employed,0.47198,132,275,0.41286,0.53109
1984,Lower Saxony,Full-Time Employment,0.30917,508,1234,0.28337,0.33496
1984,Lower Saxony,Regular Part-Time Employment,0.04780,72,1234,0.03589,0.05971
1984,Lower Saxony,Vocational Training,0.03497,54,1234,0.02472,0.04523
1984,Lower Saxony,"Marginal, Irregular Part-Time Employment",0.02376,37,1234,0.01526,0.03226
1984,Lower Saxony,Not Employed,0.41077,563,1234,0.38331,0.43823
1984,Bremen,Full-Time Employment,0.19290,40,118,0.12140,0.26440
1984,Bremen,Not Employed,0.62678,78,118,0.53914,0.71442
1984,North Rhine-Westphalia,Full-Time Employment,0.33200,1484,3254,0.31581,0.34818
1984,North Rhine-Westphalia,Regular Part-Time Employment,0.04008,148,3254,0.03334,0.04682
1984,North Rhine-Westphalia,Vocational Training,0.02364,107,3254,0.01842,0.02887
1984,North Rhine-Westphalia,"Marginal, Irregular Part-Time Employment",0.02237,82,3254,0.01729,0.02745
1984,North Rhine-Westphalia,Not Employed,0.39820,1433,3254,0.38138,0.41502
1984,Hesse,Full-Time Employment,0.34635,592,1247,0.31993,0.37277
1984,Hesse,Regular Part-Time Employment,0.05598,73,1247,0.04322,0.06875
1984,Hesse,Vocational Training,0.02919,46,1247,0.01984,0.03853
1984,Hesse,"Marginal, Irregular Part-Time Employment",0.02761,38,1247,0.01851,0.03671
1984,Hesse,Not Employed,0.38985,498,1247,0.36277,0.41694
1984,"Rhineland-Palatinate, Saarland",Full-Time Employment,0.32589,366,799,0.29337,0.35841
1984,"Rhineland-Palatinate, Saarland",Vocational Training,0.03344,35,799,0.02096,0.04591
1984,"Rhineland-Palatinate, Saarland",Not Employed,0.43643,398,799,0.40202,0.47085
1984,Baden-Wuerttemberg,Full-Time Employment,0.35742,1168,2252,0.33762,0.37722
1984,Baden-Wuerttemberg,Regular Part-Time Employment,0.05109,135,2252,0.04199,0.06019
1984,Baden-Wuerttemberg,Vocational Training,0.02619,79,2252,0.01959,0.03279
1984,Baden-Wuerttemberg,"Marginal, Irregular Part-Time Employment",0.02224,54,2252,0.01615,0.02834
1984,Baden-Wuerttemberg,Not Employed,0.34632,816,2252,0.32666,0.36597
1984,Bavaria,Full-Time Employment,0.35280,991,2091,0.33232,0.37329
1984,Bavaria,Regular Part-Time Employment,0.04517,121,2091,0.03627,0.05408
1984,Bavaria,Vocational Training,0.03100,83,2091,0.02357,0.03843
1984,Bavaria,"Marginal, Irregular Part-Time Employment",0.02890,70,2091,0.02172,0.03608
1984,Bavaria,Not Employed,0.36867,826,2091,0.34799,0.38935
1984,Berlin,Full-Time Employment,0.38917,215,390,0.34072,0.43763
1984,Berlin,Regular Part-Time Employment,0.05678,31,390,0.03378,0.07978
1984,Berlin,Not Employed,0.35548,144,390,0.30792,0.40305
1985,Schleswig-Holstein,Full-Time Employment,0.34298,159,308,0.28987,0.39608
1985,Schleswig-Holstein,Not Employed,0.38451,149,308,0.33009,0.43892
1985,Hamburg,Full-Time Employment,0.35922,128,242,0.29865,0.41979
1985,Hamburg,Not Employed,0.43228,114,242,0.36973,0.49482
1985,Lower Saxony,Full-Time Employment,0.31259,451,1056,0.28462,0.34056
1985,Lower Saxony,Regular Part-Time Employment,0.06273,83,1056,0.04810,0.07737
1985,Lower Saxony,Not Employed,0.43277,522,1056,0.40287,0.46267
1985,Bremen,Full-Time Employment,0.18315,31,105,0.10881,0.25749
1985,Bremen,Not Employed,0.65036,74,105,0.55871,0.74200
1985,North Rhine-Westphalia,Full-Time Employment,0.34298,1358,2961,0.32588,0.36008
1985,North Rhine-Westphalia,Regular Part-Time Employment,0.05002,185,2961,0.04217,0.05787
1985,North Rhine-Westphalia,Vocational Training,0.01977,75,2961,0.01476,0.02479
1985,North Rhine-Westphalia,"Marginal, Irregular Part-Time Employment",0.01860,65,2961,0.01373,0.02347
1985,North Rhine-Westphalia,Not Employed,0.39637,1278,2961,0.37875,0.41399
1985,Hesse,Full-Time Employment,0.35800,551,1114,0.32984,0.38617
1985,Hesse,Regular Part-Time Employment,0.05868,70,1114,0.04487,0.07248
1985,Hesse,"Marginal, Irregular Part-Time Employment",0.02360,32,1114,0.01468,0.03252
1985,Hesse,Not Employed,0.40211,461,1114,0.37331,0.43092
1985,"Rhineland-Palatinate, Saarland",Full-Time Employment,0.34708,345,737,0.31269,0.38147
1985,"Rhineland-Palatinate, Saarland",Regular Part-Time Employment,0.04271,38,737,0.02810,0.05732
1985,"Rhineland-Palatinate, Saarland",Not Employed,0.43026,354,737,0.39449,0.46603
1985,Baden-Wuerttemberg,Full-Time Employment,0.37588,1074,2041,0.35486,0.39690
1985,Baden-Wuerttemberg,Regular Part-Time Employment,0.06173,142,2041,0.05128,0.07217
1985,Baden-Wuerttemberg,Vocational Training,0.02327,62,2041,0.01673,0.02981
1985,Baden-Wuerttemberg,"Marginal, Irregular Part-Time Employment",0.01703,35,2041,0.01142,0.02264
1985,Baden-Wuerttemberg,Not Employed,0.33927,728,2041,0.31873,0.35982
1985,Bavaria,Full-Time Employment,0.36443,940,1897,0.34276,0.38609
1985,Bavaria,Regular Part-Time Employment,0.06340,147,1897,0.05243,0.07437
