year,quintil_oecd,regtyp,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Full-Time Employment,0.17335,533,1738,0.15554,0.19115
1985,1st Quintile,Urban regions,Regular Part-Time Employment,0.03697,80,1738,0.02809,0.04584
1985,1st Quintile,Urban regions,Vocational Training,0.02370,50,1738,0.01654,0.03085
1985,1st Quintile,Urban regions,"Marginal, Irregular Part-Time Employment",0.02693,45,1738,0.01932,0.03454
1985,1st Quintile,Urban regions,Not Employed,0.51362,1030,1738,0.49011,0.53712
1985,1st Quintile,Rural regions,Full-Time Employment,0.16295,152,460,0.12916,0.19673
1985,1st Quintile,Rural regions,Not Employed,0.53025,308,460,0.48459,0.57591
1985,2nd Quintile,Urban regions,Full-Time Employment,0.25676,664,1661,0.23574,0.27777
1985,2nd Quintile,Urban regions,Regular Part-Time Employment,0.04739,103,1661,0.03716,0.05761
1985,2nd Quintile,Urban regions,Vocational Training,0.01983,45,1661,0.01313,0.02654
1985,2nd Quintile,Urban regions,"Marginal, Irregular Part-Time Employment",0.01887,36,1661,0.01233,0.02542
1985,2nd Quintile,Urban regions,Not Employed,0.46682,813,1661,0.44282,0.49082
1985,2nd Quintile,Rural regions,Full-Time Employment,0.26375,192,473,0.22399,0.30350
1985,2nd Quintile,Rural regions,Regular Part-Time Employment,0.05111,33,473,0.03124,0.07098
1985,2nd Quintile,Rural regions,Not Employed,0.41089,248,473,0.36651,0.45528
1985,3rd Quintile,Urban regions,Full-Time Employment,0.35613,859,1728,0.33355,0.37872
1985,3rd Quintile,Urban regions,Regular Part-Time Employment,0.05333,115,1728,0.04273,0.06393
1985,3rd Quintile,Urban regions,Vocational Training,0.02638,52,1728,0.01882,0.03394
1985,3rd Quintile,Urban regions,"Marginal, Irregular Part-Time Employment",0.01682,39,1728,0.01076,0.02289
1985,3rd Quintile,Urban regions,Not Employed,0.38972,663,1728,0.36672,0.41272
1985,3rd Quintile,Rural regions,Full-Time Employment,0.34522,219,453,0.30139,0.38905
1985,3rd Quintile,Rural regions,Regular Part-Time Employment,0.05694,33,453,0.03557,0.07830
1985,3rd Quintile,Rural regions,Not Employed,0.40033,201,453,0.35516,0.44550
1985,4th Quintile,Urban regions,Full-Time Employment,0.44989,1026,1811,0.42697,0.47281
1985,4th Quintile,Urban regions,Regular Part-Time Employment,0.06538,135,1811,0.05400,0.07677
1985,4th Quintile,Urban regions,Vocational Training,0.02221,51,1811,0.01542,0.02900
1985,4th Quintile,Urban regions,"Marginal, Irregular Part-Time Employment",0.01739,35,1811,0.01137,0.02341
1985,4th Quintile,Urban regions,Not Employed,0.32229,564,1811,0.30076,0.34382
1985,4th Quintile,Rural regions,Full-Time Employment,0.42788,225,354,0.37627,0.47950
1985,4th Quintile,Rural regions,Not Employed,0.31914,129,354,0.27051,0.36777
1985,5th Quintile,Urban regions,Full-Time Employment,0.52556,1079,1689,0.50174,0.54939
1985,5th Quintile,Urban regions,Regular Part-Time Employment,0.08375,161,1689,0.07053,0.09696
1985,5th Quintile,Urban regions,Not Employed,0.26617,449,1689,0.24509,0.28726
1985,5th Quintile,Rural regions,Full-Time Employment,0.51785,268,429,0.47051,0.56519
1985,5th Quintile,Rural regions,Regular Part-Time Employment,0.07471,34,429,0.04980,0.09962
1985,5th Quintile,Rural regions,Not Employed,0.30834,127,429,0.26459,0.35209
1986,1st Quintile,Urban regions,Full-Time Employment,0.15513,456,1628,0.13754,0.17272
1986,1st Quintile,Urban regions,Regular Part-Time Employment,0.02789,56,1628,0.01989,0.03589
1986,1st Quintile,Urban regions,Vocational Training,0.02280,53,1628,0.01555,0.03005
1986,1st Quintile,Urban regions,"Marginal, Irregular Part-Time Employment",0.02561,57,1628,0.01793,0.03328
1986,1st Quintile,Urban regions,Not Employed,0.55084,1006,1628,0.52667,0.57501
1986,1st Quintile,Rural regions,Full-Time Employment,0.14828,119,396,0.11323,0.18332
1986,1st Quintile,Rural regions,Not Employed,0.54976,277,396,0.50070,0.59883
1986,2nd Quintile,Urban regions,Full-Time Employment,0.25754,637,1595,0.23607,0.27900
1986,2nd Quintile,Urban regions,Regular Part-Time Employment,0.03865,86,1595,0.02919,0.04812
1986,2nd Quintile,Urban regions,Vocational Training,0.02784,63,1595,0.01976,0.03591
