year,bula_h,pgisced97,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,Not Employed,0.70271,54,54,0.57966,0.82577
1984,Schleswig-Holstein,Upper Secondary Level,Full-Time Employment,0.50294,114,187,0.43109,0.57480
1984,Schleswig-Holstein,Upper Secondary Level,Not Employed,0.35502,73,187,0.28625,0.42379
1984,Hamburg,Lower Secondary Level,Not Employed,0.69057,35,35,0.53519,0.84596
1984,Hamburg,Upper Secondary Level,Full-Time Employment,0.41809,76,143,0.33696,0.49921
1984,Hamburg,Upper Secondary Level,Not Employed,0.50517,67,143,0.42294,0.58741
1984,Lower Saxony,Primary Level,Not Employed,0.78151,37,37,0.64653,0.91650
1984,Lower Saxony,Lower Secondary Level,Full-Time Employment,0.16517,79,340,0.12564,0.20470
1984,Lower Saxony,Lower Secondary Level,Vocational Training,0.09325,38,340,0.06230,0.12421
1984,Lower Saxony,Lower Secondary Level,Not Employed,0.67483,223,340,0.62497,0.72470
1984,Lower Saxony,Upper Secondary Level,Full-Time Employment,0.46162,290,555,0.42011,0.50314
1984,Lower Saxony,Upper Secondary Level,Regular Part-Time Employment,0.07083,43,555,0.04947,0.09219
1984,Lower Saxony,Upper Secondary Level,Not Employed,0.40821,222,555,0.36728,0.44913
1984,Lower Saxony,First Stage of Tertiary Education,Full-Time Employment,0.58071,47,47,0.43811,0.72330
1984,Lower Saxony,Second Stage of Tertiary Education,Full-Time Employment,0.66186,54,54,0.53449,0.78922
1984,Bremen,Upper Secondary Level,Not Employed,0.69216,44,44,0.55419,0.83013
1984,North Rhine-Westphalia,Primary Level,Full-Time Employment,0.42235,144,294,0.36579,0.47890
1984,North Rhine-Westphalia,Primary Level,Not Employed,0.52514,150,294,0.46796,0.58232
1984,North Rhine-Westphalia,Lower Secondary Level,Full-Time Employment,0.22601,282,842,0.19774,0.25427
1984,North Rhine-Westphalia,Lower Secondary Level,Regular Part-Time Employment,0.04415,32,842,0.03027,0.05804
1984,North Rhine-Westphalia,Lower Secondary Level,Vocational Training,0.08032,69,842,0.06195,0.09869
1984,North Rhine-Westphalia,Lower Secondary Level,Not Employed,0.62268,459,842,0.58992,0.65544
1984,North Rhine-Westphalia,Upper Secondary Level,Full-Time Employment,0.44332,743,1498,0.41815,0.46849
1984,North Rhine-Westphalia,Upper Secondary Level,Regular Part-Time Employment,0.05107,81,1498,0.03992,0.06222
1984,North Rhine-Westphalia,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02872,42,1498,0.02026,0.03718
1984,North Rhine-Westphalia,Upper Secondary Level,Not Employed,0.46515,632,1498,0.43988,0.49042
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Full-Time Employment,0.58536,54,54,0.45272,0.71800
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Full-Time Employment,0.55070,91,139,0.46771,0.63370
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Not Employed,0.34561,48,139,0.26627,0.42496
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Full-Time Employment,0.68794,159,200,0.62356,0.75231
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Not Employed,0.20140,41,200,0.14568,0.25713
1984,Hesse,Primary Level,Full-Time Employment,0.41238,61,98,0.31442,0.51035
1984,Hesse,Primary Level,Not Employed,0.46692,37,98,0.36764,0.56621
