year,regtyp,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Full-Time Employment,0.35767,4161,8685,0.34759,0.36775
1985,Urban regions,Regular Part-Time Employment,0.05800,594,8685,0.05309,0.06292
1985,Urban regions,Vocational Training,0.02037,221,8685,0.01740,0.02334
1985,Urban regions,"Marginal, Irregular Part-Time Employment",0.01857,183,8685,0.01573,0.02141
1985,Urban regions,Not Employed,0.38822,3526,8685,0.37797,0.39847
1985,Rural regions,Full-Time Employment,0.32680,1056,2341,0.30779,0.34580
1985,Rural regions,Regular Part-Time Employment,0.05556,160,2341,0.04628,0.06485
1985,Rural regions,Vocational Training,0.02186,63,2341,0.01594,0.02779
1985,Rural regions,"Marginal, Irregular Part-Time Employment",0.01741,49,2341,0.01211,0.02271
1985,Rural regions,Not Employed,0.40419,1013,2341,0.38431,0.42407
1986,Urban regions,Full-Time Employment,0.35749,3988,8352,0.34721,0.36777
1986,Urban regions,Regular Part-Time Employment,0.05114,507,8352,0.04641,0.05586
1986,Urban regions,Vocational Training,0.02407,266,8352,0.02078,0.02735
1986,Urban regions,"Marginal, Irregular Part-Time Employment",0.02084,205,8352,0.01778,0.02390
1986,Urban regions,Not Employed,0.38897,3386,8352,0.37852,0.39943
1986,Rural regions,Full-Time Employment,0.33089,1009,2231,0.31136,0.35042
1986,Rural regions,Regular Part-Time Employment,0.04779,134,2231,0.03894,0.05664
1986,Rural regions,Vocational Training,0.03353,98,2231,0.02606,0.04100
1986,Rural regions,"Marginal, Irregular Part-Time Employment",0.02205,61,2231,0.01596,0.02815
1986,Rural regions,Not Employed,0.38767,929,2231,0.36745,0.40789
1987,Urban regions,Full-Time Employment,0.36091,3923,8244,0.35054,0.37127
1987,Urban regions,Regular Part-Time Employment,0.05372,518,8244,0.04886,0.05859
1987,Urban regions,Vocational Training,0.02737,322,8244,0.02385,0.03089
1987,Urban regions,"Marginal, Irregular Part-Time Employment",0.01808,167,8244,0.01521,0.02096
1987,Urban regions,Not Employed,0.38144,3314,8244,0.37096,0.39193
1987,Rural regions,Full-Time Employment,0.33436,1006,2205,0.31466,0.35405
1987,Rural regions,Regular Part-Time Employment,0.06378,170,2205,0.05358,0.07398
1987,Rural regions,Vocational Training,0.03437,113,2205,0.02677,0.04198
1987,Rural regions,"Marginal, Irregular Part-Time Employment",0.01475,45,2205,0.00972,0.01979
1987,Rural regions,Not Employed,0.36702,871,2205,0.34689,0.38714
1988,Urban regions,Full-Time Employment,0.36290,3714,7904,0.35230,0.37350
1988,Urban regions,Regular Part-Time Employment,0.05714,536,7904,0.05202,0.06225
1988,Urban regions,Vocational Training,0.02594,326,7904,0.02244,0.02944
1988,Urban regions,"Marginal, Irregular Part-Time Employment",0.01758,161,7904,0.01468,0.02048
1988,Urban regions,Not Employed,0.37795,3167,7904,0.36726,0.38864
1988,Rural regions,Full-Time Employment,0.32819,933,2064,0.30793,0.34845
1988,Rural regions,Regular Part-Time Employment,0.05593,143,2064,0.04602,0.06585
1988,Rural regions,Vocational Training,0.03327,103,2064,0.02553,0.04101
1988,Rural regions,"Marginal, Irregular Part-Time Employment",0.01805,46,2064,0.01230,0.02379
1988,Rural regions,Not Employed,0.37874,839,2064,0.35781,0.39968
1989,Urban regions,Full-Time Employment,0.36918,3702,7700,0.35840,0.37996
