year,age_gr,regtyp,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Full-Time Employment,0.46644,1134,2498,0.44687,0.48601
1985,17-29 y.,Urban regions,Regular Part-Time Employment,0.03884,96,2498,0.03126,0.04641
1985,17-29 y.,Urban regions,Vocational Training,0.09100,214,2498,0.07972,0.10228
1985,17-29 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.02986,73,2498,0.02318,0.03654
1985,17-29 y.,Urban regions,Not Employed,0.37386,981,2498,0.35489,0.39284
1985,17-29 y.,Rural regions,Full-Time Employment,0.47470,310,611,0.43508,0.51433
1985,17-29 y.,Rural regions,Vocational Training,0.10510,61,611,0.08077,0.12944
1985,17-29 y.,Rural regions,Not Employed,0.36964,240,611,0.33133,0.40794
1985,30-45 y.,Urban regions,Full-Time Employment,0.61400,1691,2745,0.59579,0.63222
1985,30-45 y.,Urban regions,Regular Part-Time Employment,0.11672,286,2745,0.10470,0.12873
1985,30-45 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.02771,64,2745,0.02157,0.03385
1985,30-45 y.,Urban regions,Not Employed,0.23802,704,2745,0.22208,0.25395
1985,30-45 y.,Rural regions,Full-Time Employment,0.55791,422,700,0.52109,0.59473
1985,30-45 y.,Rural regions,Regular Part-Time Employment,0.13497,84,700,0.10964,0.16031
1985,30-45 y.,Rural regions,Not Employed,0.27398,194,700,0.24092,0.30704
1985,46-65 y.,Urban regions,Full-Time Employment,0.45452,1324,2616,0.43544,0.47361
1985,46-65 y.,Urban regions,Regular Part-Time Employment,0.08278,197,2616,0.07222,0.09334
1985,46-65 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.01562,35,2616,0.01087,0.02038
1985,46-65 y.,Urban regions,Not Employed,0.44708,1060,2616,0.42802,0.46613
1985,46-65 y.,Rural regions,Full-Time Employment,0.43963,318,670,0.40201,0.47724
1985,46-65 y.,Rural regions,Regular Part-Time Employment,0.07520,51,670,0.05521,0.09518
1985,46-65 y.,Rural regions,Not Employed,0.45699,301,670,0.41924,0.49474
1985,66 and older,Urban regions,Not Employed,0.96252,781,781,0.94919,0.97585
1985,66 and older,Rural regions,Not Employed,0.97114,278,278,0.95142,0.99086
1986,17-29 y.,Urban regions,Full-Time Employment,0.47154,1102,2423,0.45166,0.49142
1986,17-29 y.,Urban regions,Regular Part-Time Employment,0.03599,83,2423,0.02857,0.04340
1986,17-29 y.,Urban regions,Vocational Training,0.11025,259,2423,0.09777,0.12272
1986,17-29 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.01981,48,2423,0.01426,0.02536
1986,17-29 y.,Urban regions,Not Employed,0.36222,931,2423,0.34308,0.38137
1986,17-29 y.,Rural regions,Full-Time Employment,0.45772,283,618,0.41841,0.49703
1986,17-29 y.,Rural regions,Regular Part-Time Employment,0.05495,33,618,0.03697,0.07294
1986,17-29 y.,Rural regions,Vocational Training,0.15521,95,618,0.12664,0.18378
1986,17-29 y.,Rural regions,Not Employed,0.30961,207,618,0.27313,0.34609
1986,30-45 y.,Urban regions,Full-Time Employment,0.60933,1570,2590,0.59053,0.62812
1986,30-45 y.,Urban regions,Regular Part-Time Employment,0.10346,246,2590,0.09173,0.11519
1986,30-45 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.03431,82,2590,0.02730,0.04133
1986,30-45 y.,Urban regions,Not Employed,0.24943,692,2590,0.23276,0.26610
1986,30-45 y.,Rural regions,Full-Time Employment,0.58757,401,642,0.54946,0.62568
1986,30-45 y.,Rural regions,Regular Part-Time Employment,0.10052,62,642,0.07724,0.12380
1986,30-45 y.,Rural regions,Not Employed,0.26472,179,642,0.23056,0.29887
1986,46-65 y.,Urban regions,Full-Time Employment,0.45857,1309,2565,0.43928,0.47786
1986,46-65 y.,Urban regions,Regular Part-Time Employment,0.07169,169,2565,0.06170,0.08167
1986,46-65 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.02759,66,2565,0.02125,0.03394
1986,46-65 y.,Urban regions,Not Employed,0.44215,1021,2565,0.42292,0.46137
1986,46-65 y.,Rural regions,Full-Time Employment,0.45307,322,645,0.41462,0.49151
1986,46-65 y.,Rural regions,Regular Part-Time Employment,0.06270,39,645,0.04397,0.08142
1986,46-65 y.,Rural regions,Not Employed,0.45504,284,645,0.41658,0.49350
1986,66 and older,Urban regions,Not Employed,0.97012,742,742,0.95786,0.98238
1986,66 and older,Rural regions,Not Employed,0.98435,259,259,0.96921,0.99950
1987,17-29 y.,Urban regions,Full-Time Employment,0.46485,1034,2371,0.44477,0.48493
1987,17-29 y.,Urban regions,Regular Part-Time Employment,0.04001,85,2371,0.03212,0.04790
1987,17-29 y.,Urban regions,Vocational Training,0.12923,315,2371,0.11573,0.14274
1987,17-29 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.02780,58,2371,0.02118,0.03442
1987,17-29 y.,Urban regions,Not Employed,0.33712,879,2371,0.31809,0.35615
1987,17-29 y.,Rural regions,Full-Time Employment,0.46467,284,630,0.42569,0.50365
1987,17-29 y.,Rural regions,Regular Part-Time Employment,0.06538,34,630,0.04606,0.08469
1987,17-29 y.,Rural regions,Vocational Training,0.17035,112,630,0.14097,0.19973
1987,17-29 y.,Rural regions,Not Employed,0.29132,200,630,0.25581,0.32682
1987,30-45 y.,Urban regions,Full-Time Employment,0.63337,1575,2513,0.61452,0.65221
1987,30-45 y.,Urban regions,Regular Part-Time Employment,0.09943,232,2513,0.08773,0.11113
1987,30-45 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.02797,64,2513,0.02152,0.03442
1987,30-45 y.,Urban regions,Not Employed,0.23667,642,2513,0.22005,0.25330
1987,30-45 y.,Rural regions,Full-Time Employment,0.59327,394,625,0.55472,0.63181
1987,30-45 y.,Rural regions,Regular Part-Time Employment,0.13615,81,625,0.10924,0.16306
1987,30-45 y.,Rural regions,Not Employed,0.23437,150,625,0.20114,0.26761
1987,46-65 y.,Urban regions,Full-Time Employment,0.46811,1304,2553,0.44875,0.48747
1987,46-65 y.,Urban regions,Regular Part-Time Employment,0.08116,190,2553,0.07057,0.09176
1987,46-65 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.01853,37,2553,0.01330,0.02376
1987,46-65 y.,Urban regions,Not Employed,0.43094,1022,2553,0.41172,0.45015
1987,46-65 y.,Rural regions,Full-Time Employment,0.47272,324,639,0.43398,0.51146
1987,46-65 y.,Rural regions,Regular Part-Time Employment,0.09126,55,639,0.06891,0.11360
1987,46-65 y.,Rural regions,Not Employed,0.41459,260,639,0.37636,0.45281
1987,66 and older,Urban regions,Not Employed,0.96874,771,771,0.95645,0.98103
1987,66 and older,Rural regions,Not Employed,0.98305,261,261,0.96736,0.99874
1988,17-29 y.,Urban regions,Full-Time Employment,0.46336,996,2299,0.44297,0.48375
1988,17-29 y.,Urban regions,Regular Part-Time Employment,0.03733,76,2299,0.02958,0.04508
1988,17-29 y.,Urban regions,Vocational Training,0.12500,322,2299,0.11147,0.13852
1988,17-29 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.02904,61,2299,0.02218,0.03591
1988,17-29 y.,Urban regions,Not Employed,0.34409,844,2299,0.32467,0.36351
1988,17-29 y.,Rural regions,Full-Time Employment,0.43340,247,544,0.39172,0.47509
1988,17-29 y.,Rural regions,Vocational Training,0.17341,103,544,0.14156,0.20525
1988,17-29 y.,Rural regions,Not Employed,0.33893,194,544,0.29912,0.37875
1988,30-45 y.,Urban regions,Full-Time Employment,0.63764,1443,2330,0.61812,0.65716
1988,30-45 y.,Urban regions,Regular Part-Time Employment,0.10536,245,2330,0.09289,0.11783
1988,30-45 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.02576,57,2330,0.01933,0.03219
1988,30-45 y.,Urban regions,Not Employed,0.22920,585,2330,0.21213,0.24627
1988,30-45 y.,Rural regions,Full-Time Employment,0.59025,376,599,0.55083,0.62967
1988,30-45 y.,Rural regions,Regular Part-Time Employment,0.14243,79,599,0.11442,0.17044
1988,30-45 y.,Rural regions,Not Employed,0.23651,144,599,0.20245,0.27057
1988,46-65 y.,Urban regions,Full-Time Employment,0.47590,1264,2487,0.45627,0.49553
1988,46-65 y.,Urban regions,Regular Part-Time Employment,0.09234,206,2487,0.08096,0.10372
1988,46-65 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.01753,36,2487,0.01237,0.02269
1988,46-65 y.,Urban regions,Not Employed,0.41424,981,2487,0.39487,0.43360
1988,46-65 y.,Rural regions,Full-Time Employment,0.46729,306,610,0.42767,0.50692
1988,46-65 y.,Rural regions,Regular Part-Time Employment,0.07312,46,610,0.05245,0.09380
1988,46-65 y.,Rural regions,Not Employed,0.43400,258,610,0.39464,0.47336
1988,66 and older,Urban regions,Not Employed,0.96963,757,757,0.95739,0.98186
1988,66 and older,Rural regions,Not Employed,0.96858,243,243,0.94660,0.99056
1989,17-29 y.,Urban regions,Full-Time Employment,0.46901,1039,2269,0.44847,0.48954
1989,17-29 y.,Urban regions,Regular Part-Time Employment,0.05046,92,2269,0.04145,0.05947
1989,17-29 y.,Urban regions,Vocational Training,0.12493,286,2269,0.11133,0.13854
1989,17-29 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.02730,53,2269,0.02059,0.03400
1989,17-29 y.,Urban regions,Not Employed,0.32767,799,2269,0.30835,0.34699
1989,17-29 y.,Rural regions,Full-Time Employment,0.48564,271,532,0.44313,0.52815
1989,17-29 y.,Rural regions,Vocational Training,0.14093,84,532,0.11133,0.17052
1989,17-29 y.,Rural regions,Not Employed,0.32706,177,532,0.28716,0.36697
1989,30-45 y.,Urban regions,Full-Time Employment,0.65566,1438,2268,0.63610,0.67522
1989,30-45 y.,Urban regions,Regular Part-Time Employment,0.10403,244,2268,0.09147,0.11660
1989,30-45 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.02603,55,2268,0.01947,0.03258
1989,30-45 y.,Urban regions,Not Employed,0.21261,531,2268,0.19577,0.22946
1989,30-45 y.,Rural regions,Full-Time Employment,0.59636,349,554,0.55547,0.63726
1989,30-45 y.,Rural regions,Regular Part-Time Employment,0.14847,78,554,0.11884,0.17811
