year,pgisced97,regtyp,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,No answer / don't know,Full-Time Employment,0.41252,31,31,0.23636,0.58868
1984,Pre-primary Level,No answer / don't know,Not Employed,0.98296,184,184,0.96421,1.00171
1984,Primary Level,No answer / don't know,Full-Time Employment,0.42850,527,945,0.39693,0.46007
1984,Primary Level,No answer / don't know,Not Employed,0.49875,418,945,0.46685,0.53064
1984,Lower Secondary Level,No answer / don't know,Full-Time Employment,0.20721,1048,3448,0.19368,0.22074
1984,Lower Secondary Level,No answer / don't know,Regular Part-Time Employment,0.05304,180,3448,0.04556,0.06052
1984,Lower Secondary Level,No answer / don't know,Vocational Training,0.08296,297,3448,0.07375,0.09217
1984,Lower Secondary Level,No answer / don't know,"Marginal, Irregular Part-Time Employment",0.03225,106,3448,0.02635,0.03814
1984,Lower Secondary Level,No answer / don't know,Not Employed,0.62455,1817,3448,0.60838,0.64071
1984,Upper Secondary Level,No answer / don't know,Full-Time Employment,0.47669,2963,5706,0.46373,0.48965
1984,Upper Secondary Level,No answer / don't know,Regular Part-Time Employment,0.05661,332,5706,0.05061,0.06260
1984,Upper Secondary Level,No answer / don't know,Vocational Training,0.01605,121,5706,0.01279,0.01931
1984,Upper Secondary Level,No answer / don't know,"Marginal, Irregular Part-Time Employment",0.02949,164,5706,0.02510,0.03388
1984,Upper Secondary Level,No answer / don't know,Not Employed,0.42117,2126,5706,0.40835,0.43398
1984,Post-secondary Non-tertiary Level,No answer / don't know,Full-Time Employment,0.54013,186,285,0.48217,0.59810
1984,Post-secondary Non-tertiary Level,No answer / don't know,Not Employed,0.37972,99,285,0.32327,0.43616
1984,First Stage of Tertiary Education,No answer / don't know,Full-Time Employment,0.55442,386,634,0.51570,0.59314
1984,First Stage of Tertiary Education,No answer / don't know,Regular Part-Time Employment,0.05969,43,634,0.04124,0.07815
1984,First Stage of Tertiary Education,No answer / don't know,Not Employed,0.35261,205,634,0.31539,0.38984
