year,bula_h,quintil_oecd,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,1st Quintile,Not Employed,0.66106,39,39,0.51056,0.81157
1984,Schleswig-Holstein,2nd Quintile,Full-Time Employment,0.39280,33,71,0.27839,0.50721
1984,Schleswig-Holstein,2nd Quintile,Not Employed,0.54110,38,71,0.42437,0.65784
1984,Schleswig-Holstein,4th Quintile,Full-Time Employment,0.44956,45,76,0.33698,0.56215
1984,Schleswig-Holstein,4th Quintile,Not Employed,0.35784,31,76,0.24935,0.46633
1984,Schleswig-Holstein,5th Quintile,Full-Time Employment,0.48547,45,45,0.33779,0.63314
1984,Hamburg,1st Quintile,Not Employed,0.75300,32,32,0.60118,0.90481
1984,Hamburg,2nd Quintile,Not Employed,0.73489,32,32,0.57951,0.89027
1984,Hamburg,4th Quintile,Full-Time Employment,0.57841,46,46,0.43413,0.72269
1984,Hamburg,5th Quintile,Full-Time Employment,0.52377,46,46,0.37784,0.66969
1984,Lower Saxony,1st Quintile,Full-Time Employment,0.15356,61,262,0.10982,0.19730
1984,Lower Saxony,1st Quintile,Not Employed,0.72410,201,262,0.66987,0.77832
1984,Lower Saxony,2nd Quintile,Full-Time Employment,0.34463,87,204,0.27925,0.41000
1984,Lower Saxony,2nd Quintile,Not Employed,0.53344,117,204,0.46481,0.60207
1984,Lower Saxony,3rd Quintile,Full-Time Employment,0.41512,104,197,0.34614,0.48411
1984,Lower Saxony,3rd Quintile,Not Employed,0.43366,93,197,0.36428,0.50304
1984,Lower Saxony,4th Quintile,Full-Time Employment,0.44062,123,211,0.37347,0.50776
1984,Lower Saxony,4th Quintile,Not Employed,0.42593,88,211,0.35905,0.49281
1984,Lower Saxony,5th Quintile,Full-Time Employment,0.56261,133,194,0.49262,0.63259
1984,Lower Saxony,5th Quintile,Not Employed,0.32046,61,194,0.25462,0.38630
1984,North Rhine-Westphalia,1st Quintile,Full-Time Employment,0.20473,218,707,0.17497,0.23450
1984,North Rhine-Westphalia,1st Quintile,Not Employed,0.70912,489,707,0.67562,0.74262
1984,North Rhine-Westphalia,2nd Quintile,Full-Time Employment,0.33626,258,567,0.29734,0.37518
1984,North Rhine-Westphalia,2nd Quintile,Not Employed,0.55960,309,567,0.51870,0.60049
1984,North Rhine-Westphalia,3rd Quintile,Full-Time Employment,0.39010,264,550,0.34930,0.43091
1984,North Rhine-Westphalia,3rd Quintile,Regular Part-Time Employment,0.05479,32,550,0.03575,0.07383
1984,North Rhine-Westphalia,3rd Quintile,Not Employed,0.49778,254,550,0.45596,0.53961
1984,North Rhine-Westphalia,4th Quintile,Full-Time Employment,0.48479,354,618,0.44535,0.52422
1984,North Rhine-Westphalia,4th Quintile,Regular Part-Time Employment,0.07809,45,618,0.05692,0.09927
1984,North Rhine-Westphalia,4th Quintile,Not Employed,0.38662,219,618,0.34819,0.42504
1984,North Rhine-Westphalia,5th Quintile,Full-Time Employment,0.61017,390,580,0.57044,0.64989
1984,North Rhine-Westphalia,5th Quintile,Regular Part-Time Employment,0.05081,33,580,0.03292,0.06869
1984,North Rhine-Westphalia,5th Quintile,Not Employed,0.29146,157,580,0.25444,0.32848
1984,Hesse,1st Quintile,Full-Time Employment,0.22575,88,240,0.17275,0.27876
1984,Hesse,1st Quintile,Not Employed,0.69557,152,240,0.63723,0.75392
1984,Hesse,2nd Quintile,Full-Time Employment,0.30544,89,198,0.24112,0.36976
1984,Hesse,2nd Quintile,Not Employed,0.54894,109,198,0.47945,0.61842
1984,Hesse,3rd Quintile,Full-Time Employment,0.42385,98,168,0.34890,0.49880
1984,Hesse,3rd Quintile,Not Employed,0.39863,70,168,0.32437,0.47289
1984,Hesse,4th Quintile,Full-Time Employment,0.48876,137,209,0.42083,0.55670
1984,Hesse,4th Quintile,Not Employed,0.37842,72,209,0.31251,0.44433
1984,Hesse,5th Quintile,Full-Time Employment,0.51843,180,272,0.45894,0.57792
1984,Hesse,5th Quintile,Not Employed,0.34524,92,272,0.28863,0.40185
1984,"Rhineland-Palatinate, Saarland",1st Quintile,Full-Time Employment,0.19302,39,161,0.13187,0.25417
1984,"Rhineland-Palatinate, Saarland",1st Quintile,Not Employed,0.75678,122,161,0.69030,0.82326
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,Full-Time Employment,0.30647,78,179,0.23875,0.37420
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,Not Employed,0.57221,101,179,0.49952,0.64489
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,Full-Time Employment,0.40447,85,165,0.32936,0.47959
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,Not Employed,0.47081,80,165,0.39442,0.54721
1984,"Rhineland-Palatinate, Saarland",4th Quintile,Full-Time Employment,0.46494,82,145,0.38348,0.54641
1984,"Rhineland-Palatinate, Saarland",4th Quintile,Not Employed,0.43368,63,145,0.35273,0.51462
1984,"Rhineland-Palatinate, Saarland",5th Quintile,Full-Time Employment,0.63359,82,114,0.54475,0.72243
1984,"Rhineland-Palatinate, Saarland",5th Quintile,Not Employed,0.25813,32,114,0.17745,0.33882
1984,Baden-Wuerttemberg,1st Quintile,Full-Time Employment,0.22413,123,346,0.18013,0.26814
1984,Baden-Wuerttemberg,1st Quintile,Not Employed,0.66981,223,346,0.62018,0.71944
1984,Baden-Wuerttemberg,2nd Quintile,Full-Time Employment,0.36533,209,409,0.31861,0.41206
1984,Baden-Wuerttemberg,2nd Quintile,Not Employed,0.49482,200,409,0.44631,0.54334
1984,Baden-Wuerttemberg,3rd Quintile,Full-Time Employment,0.43666,241,426,0.38950,0.48381
1984,Baden-Wuerttemberg,3rd Quintile,Regular Part-Time Employment,0.08158,33,426,0.05556,0.10760
1984,Baden-Wuerttemberg,3rd Quintile,Not Employed,0.41625,152,426,0.36939,0.46312
1984,Baden-Wuerttemberg,4th Quintile,Full-Time Employment,0.51422,298,472,0.46908,0.55936
1984,Baden-Wuerttemberg,4th Quintile,Regular Part-Time Employment,0.08051,35,472,0.05594,0.10508
1984,Baden-Wuerttemberg,4th Quintile,Not Employed,0.35622,139,472,0.31297,0.39947
1984,Baden-Wuerttemberg,5th Quintile,Full-Time Employment,0.61178,297,428,0.56556,0.65801
1984,Baden-Wuerttemberg,5th Quintile,Regular Part-Time Employment,0.06821,31,428,0.04430,0.09212
1984,Baden-Wuerttemberg,5th Quintile,Not Employed,0.29327,100,428,0.25009,0.33645
1984,Bavaria,1st Quintile,Full-Time Employment,0.23827,117,340,0.19291,0.28362
1984,Bavaria,1st Quintile,Not Employed,0.64479,223,340,0.59385,0.69574
1984,Bavaria,2nd Quintile,Full-Time Employment,0.35260,165,368,0.30372,0.40148
1984,Bavaria,2nd Quintile,Not Employed,0.53605,203,368,0.48503,0.58707
1984,Bavaria,3rd Quintile,Full-Time Employment,0.41730,209,400,0.36891,0.46569
1984,Bavaria,3rd Quintile,Regular Part-Time Employment,0.07422,38,400,0.04850,0.09994
