year,migback,pgisced97,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Pre-primary Level,Not Employed,0.95250,155,155,0.91890,0.98609
1984,No migration background,Primary Level,Not Employed,0.61091,45,45,0.46685,0.75497
1984,No migration background,Lower Secondary Level,Full-Time Employment,0.18151,461,2338,0.16588,0.19714
1984,No migration background,Lower Secondary Level,Regular Part-Time Employment,0.05165,132,2338,0.04268,0.06062
1984,No migration background,Lower Secondary Level,Vocational Training,0.08708,229,2338,0.07565,0.09852
1984,No migration background,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.03356,86,2338,0.02625,0.04086
1984,No migration background,Lower Secondary Level,Not Employed,0.64504,1430,2338,0.62564,0.66444
1984,No migration background,Upper Secondary Level,Full-Time Employment,0.46954,2274,4629,0.45516,0.48392
1984,No migration background,Upper Secondary Level,Regular Part-Time Employment,0.05678,296,4629,0.05012,0.06345
1984,No migration background,Upper Secondary Level,Vocational Training,0.01563,76,4629,0.01205,0.01920
1984,No migration background,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02988,146,4629,0.02497,0.03478
1984,No migration background,Upper Secondary Level,Not Employed,0.42818,1837,4629,0.41392,0.44243
1984,No migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.52583,98,167,0.44987,0.60179
1984,No migration background,Post-secondary Non-tertiary Level,Not Employed,0.38884,69,167,0.31468,0.46300
1984,No migration background,First Stage of Tertiary Education,Full-Time Employment,0.56476,358,581,0.52441,0.60511
1984,No migration background,First Stage of Tertiary Education,Regular Part-Time Employment,0.05731,38,581,0.03839,0.07622
1984,No migration background,First Stage of Tertiary Education,Not Employed,0.34376,185,581,0.30511,0.38241
1984,No migration background,Second Stage of Tertiary Education,Full-Time Employment,0.65551,454,642,0.61873,0.69230
1984,No migration background,Second Stage of Tertiary Education,Regular Part-Time Employment,0.07074,48,642,0.05089,0.09059
1984,No migration background,Second Stage of Tertiary Education,Not Employed,0.23932,140,642,0.20629,0.27235
1984,Direct migration background,Primary Level,Full-Time Employment,0.50618,502,874,0.47301,0.53934
1984,Direct migration background,Primary Level,Not Employed,0.44201,372,874,0.40907,0.47496
1984,Direct migration background,Lower Secondary Level,Full-Time Employment,0.44147,577,1038,0.41124,0.47169
1984,Direct migration background,Lower Secondary Level,Regular Part-Time Employment,0.06393,46,1038,0.04904,0.07882
1984,Direct migration background,Lower Secondary Level,Vocational Training,0.03816,51,1038,0.02650,0.04982
1984,Direct migration background,Lower Secondary Level,Not Employed,0.43472,364,1038,0.40455,0.46489
1984,Direct migration background,Upper Secondary Level,Full-Time Employment,0.58034,670,1008,0.54986,0.61082
1984,Direct migration background,Upper Secondary Level,Regular Part-Time Employment,0.05362,33,1008,0.03971,0.06754
1984,Direct migration background,Upper Secondary Level,Vocational Training,0.02084,40,1008,0.01201,0.02966
1984,Direct migration background,Upper Secondary Level,Not Employed,0.32191,265,1008,0.29306,0.35077
1984,Direct migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.62079,88,88,0.51884,0.72275
1984,Direct migration background,Second Stage of Tertiary Education,Full-Time Employment,0.57544,79,79,0.46574,0.68513
1985,No migration background,Pre-primary Level,Not Employed,0.96478,150,150,0.93518,0.99438
1985,No migration background,Primary Level,Not Employed,0.63955,52,52,0.50778,0.77132
1985,No migration background,Lower Secondary Level,Full-Time Employment,0.21206,489,2091,0.19453,0.22958
1985,No migration background,Lower Secondary Level,Regular Part-Time Employment,0.06793,159,2091,0.05714,0.07872
1985,No migration background,Lower Secondary Level,Vocational Training,0.06225,145,2091,0.05189,0.07260
1985,No migration background,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.02475,59,2091,0.01809,0.03141
1985,No migration background,Lower Secondary Level,Not Employed,0.63302,1239,2091,0.61236,0.65369
1985,No migration background,Upper Secondary Level,Full-Time Employment,0.47014,2089,4221,0.45508,0.48520
1985,No migration background,Upper Secondary Level,Regular Part-Time Employment,0.07280,344,4221,0.06496,0.08063
1985,No migration background,Upper Secondary Level,Vocational Training,0.01112,48,4221,0.00796,0.01429
1985,No migration background,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02048,91,4221,0.01621,0.02476
1985,No migration background,Upper Secondary Level,Not Employed,0.42546,1649,4221,0.41054,0.44038
1985,No migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.49959,88,154,0.42037,0.57882
1985,No migration background,Post-secondary Non-tertiary Level,Not Employed,0.40286,66,154,0.32514,0.48058
1985,No migration background,First Stage of Tertiary Education,Full-Time Employment,0.55185,328,554,0.51040,0.59330
1985,No migration background,First Stage of Tertiary Education,Regular Part-Time Employment,0.07957,51,554,0.05701,0.10212
1985,No migration background,First Stage of Tertiary Education,Not Employed,0.34454,175,554,0.30493,0.38414
1985,No migration background,Second Stage of Tertiary Education,Full-Time Employment,0.67152,446,624,0.63464,0.70840
1985,No migration background,Second Stage of Tertiary Education,Regular Part-Time Employment,0.06657,46,624,0.04700,0.08615
1985,No migration background,Second Stage of Tertiary Education,Not Employed,0.23708,132,624,0.20369,0.27048
1985,Direct migration background,Primary Level,Full-Time Employment,0.48561,394,712,0.44887,0.52235
1985,Direct migration background,Primary Level,Not Employed,0.47133,318,712,0.43464,0.50803
1985,Direct migration background,Lower Secondary Level,Full-Time Employment,0.44286,516,868,0.40979,0.47592
1985,Direct migration background,Lower Secondary Level,Regular Part-Time Employment,0.07103,45,868,0.05394,0.08813
1985,Direct migration background,Lower Secondary Level,Not Employed,0.44073,307,868,0.40768,0.47378
1985,Direct migration background,Upper Secondary Level,Full-Time Employment,0.57279,594,874,0.53997,0.60560
1985,Direct migration background,Upper Secondary Level,Regular Part-Time Employment,0.06200,43,874,0.04600,0.07800
1985,Direct migration background,Upper Secondary Level,Not Employed,0.33677,237,874,0.30542,0.36812
1985,Direct migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.58298,70,70,0.46664,0.69932
1985,Direct migration background,Second Stage of Tertiary Education,Full-Time Employment,0.56832,71,71,0.45229,0.68435
1985,Indirect migration background,Lower Secondary Level,Not Employed,0.55708,34,34,0.38760,0.72656
1986,No migration background,Pre-primary Level,Not Employed,0.97805,143,143,0.95395,1.00215
1986,No migration background,Primary Level,Not Employed,0.55323,49,49,0.41258,0.69387
1986,No migration background,Lower Secondary Level,Full-Time Employment,0.20717,445,1931,0.18909,0.22525
1986,No migration background,Lower Secondary Level,Regular Part-Time Employment,0.06390,139,1931,0.05299,0.07481
1986,No migration background,Lower Secondary Level,Vocational Training,0.07562,167,1931,0.06382,0.08741
1986,No migration background,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.02668,56,1931,0.01949,0.03387
1986,No migration background,Lower Secondary Level,Not Employed,0.62616,1124,1931,0.60458,0.64775
1986,No migration background,Upper Secondary Level,Full-Time Employment,0.47320,2038,4062,0.45785,0.48856
1986,No migration background,Upper Secondary Level,Regular Part-Time Employment,0.05683,258,4062,0.04971,0.06395
1986,No migration background,Upper Secondary Level,Vocational Training,0.01645,69,4062,0.01254,0.02037
1986,No migration background,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02461,110,4062,0.01984,0.02938
1986,No migration background,Upper Secondary Level,Not Employed,0.42890,1587,4062,0.41368,0.44413
1986,No migration background,Post-secondary Non-tertiary Level,Full-Time Employment,0.52468,90,152,0.44502,0.60433
1986,No migration background,Post-secondary Non-tertiary Level,Not Employed,0.38333,62,152,0.30578,0.46088
1986,No migration background,First Stage of Tertiary Education,Full-Time Employment,0.54418,301,509,0.50087,0.58749
1986,No migration background,First Stage of Tertiary Education,Regular Part-Time Employment,0.06520,40,509,0.04373,0.08667
1986,No migration background,First Stage of Tertiary Education,Not Employed,0.36182,168,509,0.32003,0.40360
1986,No migration background,Second Stage of Tertiary Education,Full-Time Employment,0.64643,418,613,0.60855,0.68431
1986,No migration background,Second Stage of Tertiary Education,Regular Part-Time Employment,0.08579,60,613,0.06360,0.10798
1986,No migration background,Second Stage of Tertiary Education,Not Employed,0.24057,135,613,0.20670,0.27443
1986,Direct migration background,Primary Level,Full-Time Employment,0.49681,356,652,0.45840,0.53521
1986,Direct migration background,Primary Level,Not Employed,0.46478,296,652,0.42647,0.50310
1986,Direct migration background,Lower Secondary Level,Full-Time Employment,0.43336,499,900,0.40097,0.46576
