year,age_gr,migback,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Full-Time Employment,0.43078,1012,2346,0.41073,0.45082
1984,17-29 y.,No migration background,Regular Part-Time Employment,0.02740,70,2346,0.02079,0.03400
1984,17-29 y.,No migration background,Vocational Training,0.13866,316,2346,0.12467,0.15265
1984,17-29 y.,No migration background,"Marginal, Irregular Part-Time Employment",0.02359,59,2346,0.01745,0.02973
1984,17-29 y.,No migration background,Not Employed,0.37958,889,2346,0.35994,0.39922
1984,17-29 y.,Direct migration background,Full-Time Employment,0.45428,449,959,0.42275,0.48581
1984,17-29 y.,Direct migration background,Vocational Training,0.07943,95,959,0.06230,0.09655
1984,17-29 y.,Direct migration background,Not Employed,0.42952,415,959,0.39817,0.46086
1984,17-29 y.,Indirect migration background,Not Employed,0.46061,44,44,0.31163,0.60960
1984,30-45 y.,No migration background,Full-Time Employment,0.59525,1448,2497,0.57599,0.61450
1984,30-45 y.,No migration background,Regular Part-Time Employment,0.10511,277,2497,0.09308,0.11714
1984,30-45 y.,No migration background,"Marginal, Irregular Part-Time Employment",0.05034,129,2497,0.04176,0.05892
1984,30-45 y.,No migration background,Not Employed,0.24888,643,2497,0.23192,0.26584
1984,30-45 y.,Direct migration background,Full-Time Employment,0.60923,929,1361,0.58330,0.63516
1984,30-45 y.,Direct migration background,Regular Part-Time Employment,0.07494,64,1361,0.06094,0.08893
1984,30-45 y.,Direct migration background,Not Employed,0.28567,368,1361,0.26166,0.30968
1984,46-65 y.,No migration background,Full-Time Employment,0.44954,1198,2596,0.43040,0.46868
1984,46-65 y.,No migration background,Regular Part-Time Employment,0.06355,170,2596,0.05416,0.07293
1984,46-65 y.,No migration background,"Marginal, Irregular Part-Time Employment",0.02888,75,2596,0.02244,0.03533
1984,46-65 y.,No migration background,Not Employed,0.45803,1153,2596,0.43886,0.47720
1984,46-65 y.,Direct migration background,Full-Time Employment,0.52017,590,935,0.48813,0.55221
1984,46-65 y.,Direct migration background,Regular Part-Time Employment,0.06788,39,935,0.05175,0.08402
1984,46-65 y.,Direct migration background,Not Employed,0.39629,306,935,0.36492,0.42766
1984,66 and older,No migration background,Not Employed,0.96465,1181,1181,0.95411,0.97519
1984,66 and older,Direct migration background,Not Employed,0.99893,34,34,0.98778,1.01008
1985,17-29 y.,No migration background,Full-Time Employment,0.46687,1019,2204,0.44603,0.48770
1985,17-29 y.,No migration background,Regular Part-Time Employment,0.03997,91,2204,0.03179,0.04815
1985,17-29 y.,No migration background,Vocational Training,0.09685,205,2204,0.08450,0.10920
1985,17-29 y.,No migration background,"Marginal, Irregular Part-Time Employment",0.02538,58,2204,0.01882,0.03195
1985,17-29 y.,No migration background,Not Employed,0.37093,831,2204,0.35076,0.39110
1985,17-29 y.,Direct migration background,Full-Time Employment,0.48600,393,775,0.45079,0.52121
1985,17-29 y.,Direct migration background,Vocational Training,0.06493,52,775,0.04757,0.08229
1985,17-29 y.,Direct migration background,Not Employed,0.38637,330,775,0.35206,0.42067
1985,17-29 y.,Indirect migration background,Full-Time Employment,0.45328,32,92,0.35100,0.55556
1985,17-29 y.,Indirect migration background,Not Employed,0.41912,60,92,0.31774,0.52050
1985,30-45 y.,No migration background,Full-Time Employment,0.60015,1332,2272,0.58001,0.62030
1985,30-45 y.,No migration background,Regular Part-Time Employment,0.12748,301,2272,0.11376,0.14120
1985,30-45 y.,No migration background,"Marginal, Irregular Part-Time Employment",0.02984,72,2272,0.02284,0.03684
1985,30-45 y.,No migration background,Not Employed,0.23983,567,2272,0.22227,0.25739
1985,30-45 y.,Direct migration background,Full-Time Employment,0.61115,776,1165,0.58315,0.63916
1985,30-45 y.,Direct migration background,Regular Part-Time Employment,0.07238,64,1165,0.05750,0.08727
1985,30-45 y.,Direct migration background,Not Employed,0.28942,325,1165,0.26336,0.31547
1985,46-65 y.,No migration background,Full-Time Employment,0.44720,1108,2430,0.42742,0.46697
1985,46-65 y.,No migration background,Regular Part-Time Employment,0.08260,211,2430,0.07165,0.09355
1985,46-65 y.,No migration background,"Marginal, Irregular Part-Time Employment",0.01930,48,2430,0.01383,0.02477
1985,46-65 y.,No migration background,Not Employed,0.45091,1063,2430,0.43112,0.47070
1985,46-65 y.,Direct migration background,Full-Time Employment,0.49270,533,859,0.45924,0.52615
