year,regtyp,sex,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,male,Full-Time Employment,0.63521,4086,5953,0.62298,0.64744
1984,No answer / don't know,male,Regular Part-Time Employment,0.00784,41,5953,0.00560,0.01008
1984,No answer / don't know,male,Vocational Training,0.04015,262,5953,0.03517,0.04514
1984,No answer / don't know,male,"Marginal, Irregular Part-Time Employment",0.01182,61,5953,0.00908,0.01457
1984,No answer / don't know,male,Not Employed,0.30497,1503,5953,0.29327,0.31667
1984,No answer / don't know,female,Full-Time Employment,0.21054,1590,6211,0.20040,0.22068
1984,No answer / don't know,female,Regular Part-Time Employment,0.09704,620,6211,0.08968,0.10440
1984,No answer / don't know,female,Vocational Training,0.02731,176,6211,0.02325,0.03136
1984,No answer / don't know,female,"Marginal, Irregular Part-Time Employment",0.04549,280,6211,0.04031,0.05067
1984,No answer / don't know,female,Not Employed,0.61963,3545,6211,0.60755,0.63170
1985,Urban regions,male,Full-Time Employment,0.63222,2933,4266,0.61775,0.64669
1985,Urban regions,male,Regular Part-Time Employment,0.01349,51,4266,0.01002,0.01695
1985,Urban regions,male,Vocational Training,0.03019,139,4266,0.02506,0.03533
1985,Urban regions,male,"Marginal, Irregular Part-Time Employment",0.01081,45,4266,0.00770,0.01391
1985,Urban regions,male,Not Employed,0.31329,1098,4266,0.29937,0.32721
1985,Urban regions,female,Full-Time Employment,0.24039,1228,4419,0.22779,0.25299
1985,Urban regions,female,Regular Part-Time Employment,0.11780,543,4419,0.10829,0.12730
1985,Urban regions,female,Vocational Training,0.01884,82,4419,0.01483,0.02284
1985,Urban regions,female,"Marginal, Irregular Part-Time Employment",0.03197,138,4419,0.02678,0.03716
1985,Urban regions,female,Not Employed,0.59100,2428,4419,0.57651,0.60550
1985,Rural regions,male,Full-Time Employment,0.61081,764,1130,0.58237,0.63925
1985,Rural regions,male,Vocational Training,0.02614,31,1130,0.01683,0.03545
1985,Rural regions,male,Not Employed,0.34361,335,1130,0.31591,0.37131
1985,Rural regions,female,Full-Time Employment,0.20227,292,1193,0.17947,0.22508
