year,migback,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Full-Time Employment,0.33615,3674,8669,0.32620,0.34609
1984,No migration background,Regular Part-Time Employment,0.04618,528,8669,0.04176,0.05059
1984,No migration background,Vocational Training,0.02892,317,8669,0.02539,0.03244
1984,No migration background,"Marginal, Irregular Part-Time Employment",0.02581,284,8669,0.02248,0.02915
1984,No migration background,Not Employed,0.40458,3866,8669,0.39425,0.41492
1984,Direct migration background,Full-Time Employment,0.45900,1968,3369,0.44217,0.47583
1984,Direct migration background,Regular Part-Time Employment,0.04988,127,3369,0.04253,0.05723
1984,Direct migration background,Vocational Training,0.01826,97,3369,0.01373,0.02278
1984,Direct migration background,"Marginal, Irregular Part-Time Employment",0.01791,54,3369,0.01343,0.02239
1984,Direct migration background,Not Employed,0.34313,1123,3369,0.32709,0.35916
1984,Indirect migration background,Full-Time Employment,0.03444,34,93,-0.00282,0.07170
1984,Indirect migration background,Not Employed,0.05556,59,93,0.00875,0.10236
1985,No migration background,Full-Time Employment,0.34871,3476,7979,0.33825,0.35917
1985,No migration background,Regular Part-Time Employment,0.05934,618,7979,0.05416,0.06453
1985,No migration background,Vocational Training,0.02150,211,7979,0.01831,0.02468
1985,No migration background,"Marginal, Irregular Part-Time Employment",0.01899,192,7979,0.01600,0.02199
1985,No migration background,Not Employed,0.40566,3482,7979,0.39489,0.41644
1985,Direct migration background,Full-Time Employment,0.46381,1702,2906,0.44568,0.48194
1985,Direct migration background,Regular Part-Time Employment,0.05303,129,2906,0.04489,0.06118
1985,Direct migration background,Vocational Training,0.01631,55,2906,0.01170,0.02091
1985,Direct migration background,"Marginal, Irregular Part-Time Employment",0.01545,39,2906,0.01096,0.01993
1985,Direct migration background,Not Employed,0.36168,981,2906,0.34421,0.37915
1985,Indirect migration background,Full-Time Employment,0.04911,39,115,0.00944,0.08878
1985,Indirect migration background,Not Employed,0.06865,76,115,0.02223,0.11507
1986,No migration background,Full-Time Employment,0.35102,3333,7605,0.34029,0.36175
1986,No migration background,Regular Part-Time Employment,0.05117,511,7605,0.04622,0.05612
1986,No migration background,Vocational Training,0.02754,262,7605,0.02386,0.03122
1986,No migration background,"Marginal, Irregular Part-Time Employment",0.02204,217,7605,0.01874,0.02534
1986,No migration background,Not Employed,0.40203,3282,7605,0.39101,0.41305
1986,Direct migration background,Full-Time Employment,0.45450,1616,2825,0.43613,0.47286
1986,Direct migration background,Regular Part-Time Employment,0.05084,118,2825,0.04274,0.05895
1986,Direct migration background,Vocational Training,0.02078,75,2825,0.01551,0.02604
