year,age_gr,pgisced97,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Not Employed,0.98296,184,184,0.96421,1.00171
1984,17-29 y.,Primary Level,Full-Time Employment,0.31790,73,190,0.25151,0.38429
1984,17-29 y.,Primary Level,Not Employed,0.57716,117,190,0.50673,0.64759
1984,17-29 y.,Lower Secondary Level,Full-Time Employment,0.21121,281,1002,0.18593,0.23650
1984,17-29 y.,Lower Secondary Level,Vocational Training,0.34866,296,1002,0.31914,0.37818
1984,17-29 y.,Lower Secondary Level,Not Employed,0.40245,425,1002,0.37208,0.43283
1984,17-29 y.,Upper Secondary Level,Full-Time Employment,0.57199,900,1603,0.54776,0.59622
1984,17-29 y.,Upper Secondary Level,Regular Part-Time Employment,0.02482,39,1603,0.01720,0.03244
1984,17-29 y.,Upper Secondary Level,Vocational Training,0.06403,120,1603,0.05204,0.07602
1984,17-29 y.,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02485,38,1603,0.01723,0.03248
1984,17-29 y.,Upper Secondary Level,Not Employed,0.31431,506,1603,0.29157,0.33704
1984,17-29 y.,Post-secondary Non-tertiary Level,Full-Time Employment,0.51895,65,114,0.42683,0.61107
1984,17-29 y.,Post-secondary Non-tertiary Level,Not Employed,0.38110,49,114,0.29155,0.47065
1984,17-29 y.,First Stage of Tertiary Education,Full-Time Employment,0.63966,80,80,0.53379,0.74553
1984,17-29 y.,Second Stage of Tertiary Education,Full-Time Employment,0.60207,78,114,0.51182,0.69232
1984,17-29 y.,Second Stage of Tertiary Education,Not Employed,0.27281,36,114,0.19068,0.35493
1984,30-45 y.,Primary Level,Full-Time Employment,0.53044,234,381,0.48026,0.58062
1984,30-45 y.,Primary Level,Not Employed,0.38835,147,381,0.33935,0.43735
1984,30-45 y.,Lower Secondary Level,Full-Time Employment,0.39423,404,803,0.36041,0.42805
1984,30-45 y.,Lower Secondary Level,Regular Part-Time Employment,0.09920,63,803,0.07851,0.11989
1984,30-45 y.,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.08312,48,803,0.06402,0.10223
1984,30-45 y.,Lower Secondary Level,Not Employed,0.42316,288,803,0.38896,0.45735
1984,30-45 y.,Upper Secondary Level,Full-Time Employment,0.60222,1190,1949,0.58048,0.62395
1984,30-45 y.,Upper Secondary Level,Regular Part-Time Employment,0.10991,206,1949,0.09602,0.12380
