year,pgisced97,sampreg,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Full-Time Employment,0.41252,31,31,0.23636,0.58868
1984,Pre-primary Level,West,Not Employed,0.98296,184,184,0.96421,1.00171
1984,Primary Level,West,Full-Time Employment,0.42850,527,945,0.39693,0.46007
1984,Primary Level,West,Not Employed,0.49875,418,945,0.46685,0.53064
1984,Lower Secondary Level,West,Full-Time Employment,0.20721,1048,3448,0.19368,0.22074
1984,Lower Secondary Level,West,Regular Part-Time Employment,0.05304,180,3448,0.04556,0.06052
1984,Lower Secondary Level,West,Vocational Training,0.08296,297,3448,0.07375,0.09217
1984,Lower Secondary Level,West,"Marginal, Irregular Part-Time Employment",0.03225,106,3448,0.02635,0.03814
1984,Lower Secondary Level,West,Not Employed,0.62455,1817,3448,0.60838,0.64071
1984,Upper Secondary Level,West,Full-Time Employment,0.47669,2963,5706,0.46373,0.48965
1984,Upper Secondary Level,West,Regular Part-Time Employment,0.05661,332,5706,0.05061,0.06260
1984,Upper Secondary Level,West,Vocational Training,0.01605,121,5706,0.01279,0.01931
1984,Upper Secondary Level,West,"Marginal, Irregular Part-Time Employment",0.02949,164,5706,0.02510,0.03388
1984,Upper Secondary Level,West,Not Employed,0.42117,2126,5706,0.40835,0.43398
1984,Post-secondary Non-tertiary Level,West,Full-Time Employment,0.54013,186,285,0.48217,0.59810
1984,Post-secondary Non-tertiary Level,West,Not Employed,0.37972,99,285,0.32327,0.43616
1984,First Stage of Tertiary Education,West,Full-Time Employment,0.55442,386,634,0.51570,0.59314
1984,First Stage of Tertiary Education,West,Regular Part-Time Employment,0.05969,43,634,0.04124,0.07815
1984,First Stage of Tertiary Education,West,Not Employed,0.35261,205,634,0.31539,0.38984
1984,Second Stage of Tertiary Education,West,Full-Time Employment,0.64693,534,762,0.61297,0.68089
1984,Second Stage of Tertiary Education,West,Regular Part-Time Employment,0.07432,58,762,0.05569,0.09296
1984,Second Stage of Tertiary Education,West,Not Employed,0.24471,170,762,0.21417,0.27526
1985,No answer / don't know,West,Full-Time Employment,0.35951,49,101,0.26546,0.45357
1985,No answer / don't know,West,Not Employed,0.46449,52,101,0.36673,0.56224
1985,Pre-primary Level,West,Not Employed,0.96626,181,181,0.93988,0.99264
1985,Primary Level,West,Full-Time Employment,0.37980,416,789,0.34591,0.41369
1985,Primary Level,West,Not Employed,0.53850,373,789,0.50369,0.57331
1985,Lower Secondary Level,West,Full-Time Employment,0.23564,1019,3061,0.22061,0.25068
1985,Lower Secondary Level,West,Regular Part-Time Employment,0.06821,206,3061,0.05927,0.07714
1985,Lower Secondary Level,West,Vocational Training,0.05901,183,3061,0.05066,0.06736
1985,Lower Secondary Level,West,"Marginal, Irregular Part-Time Employment",0.02370,73,3061,0.01831,0.02909
1985,Lower Secondary Level,West,Not Employed,0.61344,1580,3061,0.59619,0.63070
1985,Upper Secondary Level,West,Full-Time Employment,0.47707,2703,5181,0.46346,0.49067
1985,Upper Secondary Level,West,Regular Part-Time Employment,0.07227,392,5181,0.06522,0.07933
1985,Upper Secondary Level,West,Vocational Training,0.01154,74,5181,0.00863,0.01445
1985,Upper Secondary Level,West,"Marginal, Irregular Part-Time Employment",0.02016,103,5181,0.01633,0.02398
1985,Upper Secondary Level,West,Not Employed,0.41896,1909,5181,0.40552,0.43240
1985,Post-secondary Non-tertiary Level,West,Full-Time Employment,0.51096,158,246,0.44837,0.57356
1985,Post-secondary Non-tertiary Level,West,Not Employed,0.39093,88,246,0.32983,0.45204
1985,First Stage of Tertiary Education,West,Full-Time Employment,0.54426,354,600,0.50438,0.58414
1985,First Stage of Tertiary Education,West,Regular Part-Time Employment,0.07767,54,600,0.05623,0.09910
1985,First Stage of Tertiary Education,West,Not Employed,0.34821,192,600,0.31006,0.38636
1985,Second Stage of Tertiary Education,West,Full-Time Employment,0.65981,518,732,0.62547,0.69416
1985,Second Stage of Tertiary Education,West,Regular Part-Time Employment,0.06356,50,732,0.04588,0.08125
1985,Second Stage of Tertiary Education,West,Not Employed,0.24740,164,732,0.21612,0.27868
1986,No answer / don't know,West,Full-Time Employment,0.25396,46,87,0.16196,0.34595
1986,No answer / don't know,West,Not Employed,0.40685,41,87,0.30302,0.51068
1986,Pre-primary Level,West,Not Employed,0.96678,183,183,0.94075,0.99282
1986,Primary Level,West,Full-Time Employment,0.41586,384,733,0.38015,0.45156
1986,Primary Level,West,Not Employed,0.50138,349,733,0.46515,0.53760
1986,Lower Secondary Level,West,Full-Time Employment,0.23280,958,2907,0.21743,0.24817
1986,Lower Secondary Level,West,Regular Part-Time Employment,0.06110,178,2907,0.05239,0.06981
1986,Lower Secondary Level,West,Vocational Training,0.07156,229,2907,0.06219,0.08094
1986,Lower Secondary Level,West,"Marginal, Irregular Part-Time Employment",0.02602,72,2907,0.02023,0.03181
1986,Lower Secondary Level,West,Not Employed,0.60851,1470,2907,0.59077,0.62626
1986,Upper Secondary Level,West,Full-Time Employment,0.47850,2629,4993,0.46465,0.49236
1986,Upper Secondary Level,West,Regular Part-Time Employment,0.05878,307,4993,0.05225,0.06530
1986,Upper Secondary Level,West,Vocational Training,0.01705,96,4993,0.01346,0.02064
1986,Upper Secondary Level,West,"Marginal, Irregular Part-Time Employment",0.02439,126,4993,0.02011,0.02867
1986,Upper Secondary Level,West,Not Employed,0.42128,1835,4993,0.40759,0.43498
1986,Post-secondary Non-tertiary Level,West,Full-Time Employment,0.53349,162,248,0.47128,0.59571
1986,Post-secondary Non-tertiary Level,West,Not Employed,0.37361,86,248,0.31328,0.43394
1986,First Stage of Tertiary Education,West,Full-Time Employment,0.54031,333,561,0.49904,0.58159
1986,First Stage of Tertiary Education,West,Regular Part-Time Employment,0.06181,41,561,0.04186,0.08175
1986,First Stage of Tertiary Education,West,Not Employed,0.36892,187,561,0.32895,0.40888
1986,Second Stage of Tertiary Education,West,Full-Time Employment,0.63080,484,724,0.59562,0.66598
1986,Second Stage of Tertiary Education,West,Regular Part-Time Employment,0.09293,76,724,0.07177,0.11410
1986,Second Stage of Tertiary Education,West,Not Employed,0.24931,164,724,0.21778,0.28085
1987,No answer / don't know,West,Full-Time Employment,0.21750,46,89,0.13130,0.30370
1987,No answer / don't know,West,Not Employed,0.38267,43,89,0.28112,0.48422
1987,Pre-primary Level,West,Not Employed,0.93468,182,182,0.89868,0.97067
1987,Primary Level,West,Full-Time Employment,0.41850,355,726,0.38259,0.45440
1987,Primary Level,West,Regular Part-Time Employment,0.03031,32,726,0.01783,0.04279
1987,Primary Level,West,Not Employed,0.49693,339,726,0.46054,0.53333
1987,Lower Secondary Level,West,Full-Time Employment,0.23399,909,2836,0.21840,0.24957
1987,Lower Secondary Level,West,Regular Part-Time Employment,0.07418,193,2836,0.06453,0.08383
1987,Lower Secondary Level,West,Vocational Training,0.07813,270,2836,0.06826,0.08801
1987,Lower Secondary Level,West,"Marginal, Irregular Part-Time Employment",0.02247,58,2836,0.01702,0.02793
1987,Lower Secondary Level,West,Not Employed,0.59123,1406,2836,0.57313,0.60932
1987,Upper Secondary Level,West,Full-Time Employment,0.48163,2633,4968,0.46774,0.49553
1987,Upper Secondary Level,West,Regular Part-Time Employment,0.06641,341,4968,0.05948,0.07333
1987,Upper Secondary Level,West,Vocational Training,0.01992,119,4968,0.01603,0.02380
1987,Upper Secondary Level,West,"Marginal, Irregular Part-Time Employment",0.01796,95,4968,0.01427,0.02166
1987,Upper Secondary Level,West,Not Employed,0.41408,1780,4968,0.40038,0.42778
