year,quintil_oecd,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Full-Time Employment,0.20880,711,2485,0.19282,0.22478
1984,1st Quintile,Regular Part-Time Employment,0.02490,68,2485,0.01877,0.03103
1984,1st Quintile,Vocational Training,0.03608,95,2485,0.02875,0.04342
1984,1st Quintile,"Marginal, Irregular Part-Time Employment",0.03008,73,2485,0.02337,0.03680
1984,1st Quintile,Not Employed,0.70013,1538,2485,0.68211,0.71815
1984,2nd Quintile,Full-Time Employment,0.33912,972,2398,0.32017,0.35808
1984,2nd Quintile,Regular Part-Time Employment,0.03907,93,2398,0.03132,0.04683
1984,2nd Quintile,Vocational Training,0.04116,110,2398,0.03320,0.04911
1984,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.03627,81,2398,0.02878,0.04375
1984,2nd Quintile,Not Employed,0.54438,1142,2398,0.52444,0.56431
1984,3rd Quintile,Full-Time Employment,0.40401,1106,2355,0.38418,0.42383
1984,3rd Quintile,Regular Part-Time Employment,0.06479,160,2355,0.05485,0.07474
1984,3rd Quintile,Vocational Training,0.04464,107,2355,0.03630,0.05299
1984,3rd Quintile,"Marginal, Irregular Part-Time Employment",0.02824,61,2355,0.02155,0.03493
1984,3rd Quintile,Not Employed,0.45832,921,2355,0.43819,0.47844
1984,4th Quintile,Full-Time Employment,0.48307,1368,2485,0.46342,0.50272
1984,4th Quintile,Regular Part-Time Employment,0.07236,169,2485,0.06217,0.08255
1984,4th Quintile,Vocational Training,0.03111,84,2485,0.02428,0.03793
1984,4th Quintile,"Marginal, Irregular Part-Time Employment",0.02444,57,2485,0.01836,0.03051
1984,4th Quintile,Not Employed,0.38903,807,2485,0.36985,0.40820
1984,5th Quintile,Full-Time Employment,0.58467,1515,2418,0.56502,0.60431
1984,5th Quintile,Regular Part-Time Employment,0.07075,171,2418,0.06052,0.08097
1984,5th Quintile,Vocational Training,0.01629,42,2418,0.01125,0.02134
1984,5th Quintile,"Marginal, Irregular Part-Time Employment",0.03015,69,2418,0.02333,0.03697
1984,5th Quintile,Not Employed,0.29814,621,2418,0.27991,0.31638
1985,1st Quintile,Full-Time Employment,0.21975,685,2257,0.20267,0.23684
1985,1st Quintile,Regular Part-Time Employment,0.04794,109,2257,0.03912,0.05675
1985,1st Quintile,Vocational Training,0.03310,70,2257,0.02572,0.04048
1985,1st Quintile,"Marginal, Irregular Part-Time Employment",0.03041,55,2257,0.02333,0.03750
1985,1st Quintile,Not Employed,0.66880,1338,2257,0.64938,0.68822
1985,2nd Quintile,Full-Time Employment,0.32453,856,2159,0.30478,0.34429
1985,2nd Quintile,Regular Part-Time Employment,0.06074,136,2159,0.05066,0.07082
1985,2nd Quintile,Vocational Training,0.02574,60,2159,0.01906,0.03242
1985,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.02281,46,2159,0.01651,0.02910
1985,2nd Quintile,Not Employed,0.56618,1061,2159,0.54527,0.58709
1985,3rd Quintile,Full-Time Employment,0.41912,1078,2207,0.39853,0.43971
1985,3rd Quintile,Regular Part-Time Employment,0.06437,148,2207,0.05413,0.07461
1985,3rd Quintile,Vocational Training,0.03060,67,2207,0.02341,0.03778
1985,3rd Quintile,"Marginal, Irregular Part-Time Employment",0.02035,50,2207,0.01446,0.02624
1985,3rd Quintile,Not Employed,0.46556,864,2207,0.44475,0.48638
1985,4th Quintile,Full-Time Employment,0.51052,1251,2213,0.48969,0.53136
1985,4th Quintile,Regular Part-Time Employment,0.07491,165,2213,0.06394,0.08588
1985,4th Quintile,Vocational Training,0.02483,59,2213,0.01835,0.03132
1985,4th Quintile,"Marginal, Irregular Part-Time Employment",0.02102,45,2213,0.01504,0.02700
1985,4th Quintile,Not Employed,0.36871,693,2213,0.34861,0.38882
1985,5th Quintile,Full-Time Employment,0.57893,1347,2154,0.55808,0.59979
1985,5th Quintile,Regular Part-Time Employment,0.09048,195,2154,0.07836,0.10260
1985,5th Quintile,"Marginal, Irregular Part-Time Employment",0.01572,36,2154,0.01047,0.02097
1985,5th Quintile,Not Employed,0.30367,576,2154,0.28425,0.32310
1986,1st Quintile,Full-Time Employment,0.19619,575,2074,0.17909,0.21328
1986,1st Quintile,Regular Part-Time Employment,0.03169,65,2074,0.02415,0.03923
1986,1st Quintile,Vocational Training,0.03460,77,2074,0.02673,0.04247
1986,1st Quintile,"Marginal, Irregular Part-Time Employment",0.03305,74,2074,0.02535,0.04074
1986,1st Quintile,Not Employed,0.70447,1283,2074,0.68483,0.72412
1986,2nd Quintile,Full-Time Employment,0.33208,836,2092,0.31190,0.35227
1986,2nd Quintile,Regular Part-Time Employment,0.04974,116,2092,0.04042,0.05906
1986,2nd Quintile,Vocational Training,0.03724,85,2092,0.02913,0.04536
1986,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.02286,45,2092,0.01646,0.02927
1986,2nd Quintile,Not Employed,0.55807,1010,2092,0.53678,0.57936
1986,3rd Quintile,Full-Time Employment,0.42731,1022,2098,0.40614,0.44849
1986,3rd Quintile,Regular Part-Time Employment,0.06741,150,2098,0.05668,0.07815
1986,3rd Quintile,Vocational Training,0.04076,89,2098,0.03230,0.04923
1986,3rd Quintile,"Marginal, Irregular Part-Time Employment",0.02923,56,2098,0.02202,0.03644
1986,3rd Quintile,Not Employed,0.43528,781,2098,0.41406,0.45650
1986,4th Quintile,Full-Time Employment,0.52046,1274,2218,0.49967,0.54126
1986,4th Quintile,Regular Part-Time Employment,0.07059,153,2218,0.05993,0.08125
1986,4th Quintile,Vocational Training,0.02476,63,2218,0.01829,0.03122
1986,4th Quintile,"Marginal, Irregular Part-Time Employment",0.01934,42,2218,0.01361,0.02507
1986,4th Quintile,Not Employed,0.36486,686,2218,0.34482,0.38489
1986,5th Quintile,Full-Time Employment,0.58364,1289,2095,0.56253,0.60476
1986,5th Quintile,Regular Part-Time Employment,0.07696,157,2095,0.06555,0.08838
1986,5th Quintile,Vocational Training,0.02187,50,2095,0.01560,0.02813
1986,5th Quintile,"Marginal, Irregular Part-Time Employment",0.02266,49,2095,0.01629,0.02904
1986,5th Quintile,Not Employed,0.29486,550,2095,0.27533,0.31439
1987,1st Quintile,Full-Time Employment,0.18718,535,2035,0.17023,0.20413
1987,1st Quintile,Regular Part-Time Employment,0.03935,86,2035,0.03090,0.04780
