year,bula_h,sex,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,Full-Time Employment,0.64127,125,178,0.57061,0.71193
1984,Schleswig-Holstein,male,Not Employed,0.29643,53,178,0.22915,0.36371
1984,Schleswig-Holstein,female,Full-Time Employment,0.21272,44,182,0.15310,0.27234
1984,Schleswig-Holstein,female,Regular Part-Time Employment,0.13977,31,182,0.08926,0.19029
1984,Schleswig-Holstein,female,Not Employed,0.57490,107,182,0.50288,0.64692
1984,Hamburg,male,Full-Time Employment,0.51871,93,141,0.43594,0.60147
1984,Hamburg,male,Not Employed,0.42934,48,141,0.34734,0.51133
1984,Hamburg,female,Full-Time Employment,0.25932,50,134,0.18483,0.33380
1984,Hamburg,female,Not Employed,0.61200,84,134,0.52918,0.69482
1984,Lower Saxony,male,Full-Time Employment,0.61862,390,564,0.57850,0.65874
1984,Lower Saxony,male,Not Employed,0.32034,174,564,0.28180,0.35888
1984,Lower Saxony,female,Full-Time Employment,0.16287,118,605,0.13342,0.19232
1984,Lower Saxony,female,Regular Part-Time Employment,0.10049,67,605,0.07651,0.12447
1984,Lower Saxony,female,"Marginal, Irregular Part-Time Employment",0.04563,31,605,0.02899,0.06227
1984,Lower Saxony,female,Not Employed,0.64963,389,605,0.61158,0.68767
1984,Bremen,female,Not Employed,0.79946,48,48,0.68498,0.91393
1984,North Rhine-Westphalia,male,Full-Time Employment,0.64296,1103,1574,0.61928,0.66664
1984,North Rhine-Westphalia,male,Vocational Training,0.03672,66,1574,0.02743,0.04602
1984,North Rhine-Westphalia,male,Not Employed,0.29818,405,1574,0.27557,0.32079
1984,North Rhine-Westphalia,female,Full-Time Employment,0.19584,381,1651,0.17669,0.21498
1984,North Rhine-Westphalia,female,Regular Part-Time Employment,0.08458,135,1651,0.07115,0.09800
1984,North Rhine-Westphalia,female,Vocational Training,0.02204,41,1651,0.01496,0.02913
1984,North Rhine-Westphalia,female,"Marginal, Irregular Part-Time Employment",0.04044,66,1651,0.03093,0.04994
1984,North Rhine-Westphalia,female,Not Employed,0.65711,1028,1651,0.63420,0.68001
1984,Hesse,male,Full-Time Employment,0.61442,430,586,0.57498,0.65386
1984,Hesse,male,Not Employed,0.31912,156,586,0.28135,0.35690
1984,Hesse,female,Full-Time Employment,0.20352,162,605,0.17141,0.23563
1984,Hesse,female,Regular Part-Time Employment,0.12104,69,605,0.09503,0.14705
1984,Hesse,female,"Marginal, Irregular Part-Time Employment",0.05593,32,605,0.03761,0.07426
1984,Hesse,female,Not Employed,0.59791,342,605,0.55881,0.63702
1984,"Rhineland-Palatinate, Saarland",male,Full-Time Employment,0.59802,267,396,0.54967,0.64638
1984,"Rhineland-Palatinate, Saarland",male,Not Employed,0.36110,129,396,0.31373,0.40847
1984,"Rhineland-Palatinate, Saarland",female,Full-Time Employment,0.19068,99,368,0.15049,0.23087
1984,"Rhineland-Palatinate, Saarland",female,Not Employed,0.65371,269,368,0.60503,0.70239
1984,Baden-Wuerttemberg,male,Full-Time Employment,0.67897,831,1105,0.65143,0.70651
1984,Baden-Wuerttemberg,male,Vocational Training,0.04293,54,1105,0.03097,0.05488
1984,Baden-Wuerttemberg,male,Not Employed,0.26597,220,1105,0.23990,0.29203
1984,Baden-Wuerttemberg,female,Full-Time Employment,0.24121,337,1110,0.21603,0.26639
1984,Baden-Wuerttemberg,female,Regular Part-Time Employment,0.11411,130,1110,0.09540,0.13282
1984,Baden-Wuerttemberg,female,"Marginal, Irregular Part-Time Employment",0.04611,47,1110,0.03376,0.05845
1984,Baden-Wuerttemberg,female,Not Employed,0.57495,596,1110,0.54586,0.60405
1984,Bavaria,male,Full-Time Employment,0.65172,681,969,0.62171,0.68174
1984,Bavaria,male,Vocational Training,0.04405,47,969,0.03112,0.05698
1984,Bavaria,male,Not Employed,0.27881,241,969,0.25056,0.30705
1984,Bavaria,female,Full-Time Employment,0.23377,310,1100,0.20874,0.25879
1984,Bavaria,female,Regular Part-Time Employment,0.09521,113,1100,0.07786,0.11257
1984,Bavaria,female,Vocational Training,0.03188,36,1100,0.02149,0.04226
1984,Bavaria,female,"Marginal, Irregular Part-Time Employment",0.04952,56,1100,0.03669,0.06235
1984,Bavaria,female,Not Employed,0.58962,585,1100,0.56054,0.61871
1984,Berlin,male,Full-Time Employment,0.66626,137,184,0.59794,0.73458
1984,Berlin,male,Not Employed,0.27120,47,184,0.20679,0.33561
1984,Berlin,female,Full-Time Employment,0.29944,78,175,0.23139,0.36750
1984,Berlin,female,Not Employed,0.55378,97,175,0.47992,0.62764
1985,Schleswig-Holstein,male,Full-Time Employment,0.63146,113,161,0.55671,0.70621
1985,Schleswig-Holstein,male,Not Employed,0.31499,48,161,0.24301,0.38697
1985,Schleswig-Holstein,female,Full-Time Employment,0.22303,46,147,0.15550,0.29055
1985,Schleswig-Holstein,female,Not Employed,0.60052,101,147,0.52107,0.67997
1985,Hamburg,male,Full-Time Employment,0.54595,87,129,0.45970,0.63221
1985,Hamburg,male,Not Employed,0.37153,42,129,0.28782,0.45524
1985,Hamburg,female,Full-Time Employment,0.24852,41,113,0.16849,0.32856
1985,Hamburg,female,Not Employed,0.57782,72,113,0.48634,0.66929
1985,Lower Saxony,male,Full-Time Employment,0.56130,327,514,0.51836,0.60424
1985,Lower Saxony,male,Not Employed,0.38528,187,514,0.34317,0.42739
1985,Lower Saxony,female,Full-Time Employment,0.20332,124,539,0.16931,0.23733
1985,Lower Saxony,female,Regular Part-Time Employment,0.13337,80,539,0.10465,0.16210
1985,Lower Saxony,female,Not Employed,0.62217,335,539,0.58120,0.66314
1985,Bremen,female,Not Employed,0.82404,46,46,0.71278,0.93530
1985,North Rhine-Westphalia,male,Full-Time Employment,0.63665,1002,1424,0.61166,0.66164
1985,North Rhine-Westphalia,male,Vocational Training,0.02807,45,1424,0.01949,0.03665
1985,North Rhine-Westphalia,male,Not Employed,0.30746,377,1424,0.28349,0.33144
1985,North Rhine-Westphalia,female,Full-Time Employment,0.21625,356,1467,0.19517,0.23732
1985,North Rhine-Westphalia,female,Regular Part-Time Employment,0.10110,163,1467,0.08567,0.11653
1985,North Rhine-Westphalia,female,"Marginal, Irregular Part-Time Employment",0.03088,47,1467,0.02203,0.03974
1985,North Rhine-Westphalia,female,Not Employed,0.63161,901,1467,0.60691,0.65630
1985,Hesse,male,Full-Time Employment,0.62185,402,542,0.58098,0.66271
1985,Hesse,male,Not Employed,0.32731,140,542,0.28777,0.36685
1985,Hesse,female,Full-Time Employment,0.21136,149,537,0.17679,0.24592
1985,Hesse,female,Regular Part-Time Employment,0.13158,67,537,0.10296,0.16019
1985,Hesse,female,Not Employed,0.60861,321,537,0.56729,0.64993
