year,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Full-Time Employment,0.41003,5676,12164,0.40129,0.41877
1984,Regular Part-Time Employment,0.05514,661,12164,0.05108,0.05920
1984,Vocational Training,0.03334,438,12164,0.03015,0.03653
1984,"Marginal, Irregular Part-Time Employment",0.02967,341,12164,0.02666,0.03269
1984,Not Employed,0.47182,5048,12164,0.46295,0.48069
1985,Full-Time Employment,0.41740,5217,11026,0.40819,0.42660
1985,Regular Part-Time Employment,0.06845,754,11026,0.06373,0.07316
1985,Vocational Training,0.02473,284,11026,0.02183,0.02763
1985,"Marginal, Irregular Part-Time Employment",0.02180,232,11026,0.01908,0.02453
1985,Not Employed,0.46763,4539,11026,0.45831,0.47694
1986,Full-Time Employment,0.41910,4997,10583,0.40970,0.42850
1986,Regular Part-Time Employment,0.06008,641,10583,0.05556,0.06461
1986,Vocational Training,0.03150,364,10583,0.02817,0.03483
1986,"Marginal, Irregular Part-Time Employment",0.02524,266,10583,0.02225,0.02823
1986,Not Employed,0.46408,4315,10583,0.45458,0.47358
1987,Full-Time Employment,0.42454,4929,10449,0.41506,0.43402
1987,Regular Part-Time Employment,0.06728,688,10449,0.06248,0.07208
1987,Vocational Training,0.03482,435,10449,0.03131,0.03834
1987,"Marginal, Irregular Part-Time Employment",0.02069,212,10449,0.01796,0.02342
1987,Not Employed,0.45267,4185,10449,0.44312,0.46221
1988,Full-Time Employment,0.42466,4647,9968,0.41495,0.43436
1988,Regular Part-Time Employment,0.06809,679,9968,0.06314,0.07303
1988,Vocational Training,0.03318,429,9968,0.02966,0.03669
1988,"Marginal, Irregular Part-Time Employment",0.02119,207,9968,0.01836,0.02402
1988,Not Employed,0.45289,4006,9968,0.44312,0.46266
1989,Full-Time Employment,0.43205,4614,9662,0.42218,0.44193
1989,Regular Part-Time Employment,0.07001,673,9662,0.06492,0.07510
1989,Vocational Training,0.03158,374,9662,0.02809,0.03507
1989,"Marginal, Irregular Part-Time Employment",0.02021,196,9662,0.01740,0.02302
1989,Not Employed,0.44615,3805,9662,0.43623,0.45606
1990,Full-Time Employment,0.47007,7384,13886,0.46177,0.47838
1990,Regular Part-Time Employment,0.07917,1130,13886,0.07468,0.08366
1990,Vocational Training,0.02985,473,13886,0.02702,0.03268
1990,"Marginal, Irregular Part-Time Employment",0.01551,188,13886,0.01346,0.01757
1990,Not Employed,0.40539,4711,13886,0.39723,0.41356
1991,Full-Time Employment,0.45674,6959,13586,0.44837,0.46512
1991,Regular Part-Time Employment,0.07376,982,13586,0.06937,0.07816
1991,Vocational Training,0.03124,511,13586,0.02831,0.03416
1991,"Marginal, Irregular Part-Time Employment",0.02066,244,13586,0.01827,0.02306
1991,Not Employed,0.41759,4890,13586,0.40930,0.42589
1992,Full-Time Employment,0.44057,6504,13316,0.43214,0.44900
1992,Regular Part-Time Employment,0.07338,943,13316,0.06895,0.07781
1992,Vocational Training,0.02919,486,13316,0.02633,0.03205
1992,"Marginal, Irregular Part-Time Employment",0.01542,184,13316,0.01333,0.01751
1992,Not Employed,0.44144,5199,13316,0.43301,0.44987
1993,Full-Time Employment,0.43401,6261,13101,0.42553,0.44250
1993,Regular Part-Time Employment,0.07282,918,13101,0.06837,0.07727
1993,Vocational Training,0.03150,512,13101,0.02851,0.03449
1993,"Marginal, Irregular Part-Time Employment",0.01755,195,13101,0.01530,0.01980
1993,Not Employed,0.44412,5215,13101,0.43561,0.45263
1994,Full-Time Employment,0.42253,5983,12873,0.41399,0.43106
1994,Regular Part-Time Employment,0.07046,883,12873,0.06604,0.07488
1994,Vocational Training,0.02711,454,12873,0.02431,0.02992
1994,"Marginal, Irregular Part-Time Employment",0.02009,236,12873,0.01766,0.02251
1994,Not Employed,0.45982,5317,12873,0.45121,0.46843
1995,Full-Time Employment,0.41638,6132,13283,0.40799,0.42476
1995,Regular Part-Time Employment,0.07322,976,13283,0.06879,0.07766
1995,Vocational Training,0.02638,454,13283,0.02365,0.02910
1995,"Marginal, Irregular Part-Time Employment",0.02325,291,13283,0.02069,0.02582
1995,Not Employed,0.46077,5430,13283,0.45229,0.46924
1996,Full-Time Employment,0.40859,5895,13047,0.40016,0.41703
1996,Regular Part-Time Employment,0.08118,1054,13047,0.07649,0.08587
1996,Vocational Training,0.02492,434,13047,0.02225,0.02760
1996,"Marginal, Irregular Part-Time Employment",0.02237,271,13047,0.01983,0.02491
1996,Not Employed,0.46293,5393,13047,0.45437,0.47149
1997,Full-Time Employment,0.40288,5723,12828,0.39439,0.41137
1997,Regular Part-Time Employment,0.07951,992,12828,0.07483,0.08419
1997,Vocational Training,0.02380,423,12828,0.02116,0.02644
1997,"Marginal, Irregular Part-Time Employment",0.02010,259,12828,0.01767,0.02253
1997,Not Employed,0.47371,5431,12828,0.46507,0.48235
1998,Full-Time Employment,0.40038,6223,14225,0.39232,0.40843
1998,Regular Part-Time Employment,0.08028,1110,14225,0.07581,0.08474
1998,Vocational Training,0.02591,478,14225,0.02329,0.02852
1998,"Marginal, Irregular Part-Time Employment",0.02016,305,14225,0.01785,0.02247
