year,migback,quintil_oecd,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,1st Quintile,Full-Time Employment,0.19128,310,1443,0.17098,0.21159
1984,No migration background,1st Quintile,Regular Part-Time Employment,0.02422,40,1443,0.01628,0.03215
1984,No migration background,1st Quintile,Vocational Training,0.03757,59,1443,0.02775,0.04738
1984,No migration background,1st Quintile,"Marginal, Irregular Part-Time Employment",0.03103,50,1443,0.02208,0.03999
1984,No migration background,1st Quintile,Not Employed,0.71590,984,1443,0.69262,0.73917
1984,No migration background,2nd Quintile,Full-Time Employment,0.31780,542,1600,0.29497,0.34062
1984,No migration background,2nd Quintile,Regular Part-Time Employment,0.04053,72,1600,0.03087,0.05020
1984,No migration background,2nd Quintile,Vocational Training,0.04329,76,1600,0.03332,0.05327
1984,No migration background,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.03928,71,1600,0.02976,0.04880
1984,No migration background,2nd Quintile,Not Employed,0.55910,839,1600,0.53476,0.58344
1984,No migration background,3rd Quintile,Full-Time Employment,0.38739,699,1728,0.36441,0.41037
1984,No migration background,3rd Quintile,Regular Part-Time Employment,0.06276,120,1728,0.05132,0.07420
1984,No migration background,3rd Quintile,Vocational Training,0.04645,84,1728,0.03652,0.05637
1984,No migration background,3rd Quintile,"Marginal, Irregular Part-Time Employment",0.02893,51,1728,0.02102,0.03683
1984,No migration background,3rd Quintile,Not Employed,0.47448,774,1728,0.45093,0.49803
1984,No migration background,4th Quintile,Full-Time Employment,0.47060,911,1864,0.44793,0.49327
1984,No migration background,4th Quintile,Regular Part-Time Employment,0.07189,146,1864,0.06016,0.08361
1984,No migration background,4th Quintile,Vocational Training,0.03145,62,1864,0.02353,0.03938
1984,No migration background,4th Quintile,"Marginal, Irregular Part-Time Employment",0.02470,50,1864,0.01765,0.03175
1984,No migration background,4th Quintile,Not Employed,0.40136,695,1864,0.37910,0.42362
1984,No migration background,5th Quintile,Full-Time Employment,0.58117,1209,2015,0.55962,0.60272
1984,No migration background,5th Quintile,Regular Part-Time Employment,0.06907,150,2015,0.05800,0.08015
1984,No migration background,5th Quintile,Vocational Training,0.01677,36,2015,0.01116,0.02238
1984,No migration background,5th Quintile,"Marginal, Irregular Part-Time Employment",0.03072,62,2015,0.02318,0.03826
1984,No migration background,5th Quintile,Not Employed,0.30227,558,2015,0.28221,0.32232
1984,Direct migration background,1st Quintile,Full-Time Employment,0.33217,399,937,0.30200,0.36235
1984,Direct migration background,1st Quintile,Not Employed,0.59411,538,937,0.56265,0.62557
1984,Direct migration background,2nd Quintile,Full-Time Employment,0.51346,425,709,0.47664,0.55028
1984,Direct migration background,2nd Quintile,Not Employed,0.42047,284,709,0.38411,0.45683
1984,Direct migration background,3rd Quintile,Full-Time Employment,0.55881,399,575,0.51819,0.59943
1984,Direct migration background,3rd Quintile,Regular Part-Time Employment,0.08213,38,575,0.05967,0.10459
1984,Direct migration background,3rd Quintile,Not Employed,0.30802,138,575,0.27025,0.34579
1984,Direct migration background,4th Quintile,Full-Time Employment,0.64188,443,544,0.60156,0.68221
1984,Direct migration background,4th Quintile,Not Employed,0.24490,101,544,0.20873,0.28108
1984,Direct migration background,5th Quintile,Full-Time Employment,0.64057,301,360,0.59094,0.69021
1984,Direct migration background,5th Quintile,Not Employed,0.24134,59,360,0.19707,0.28560
1985,No migration background,1st Quintile,Full-Time Employment,0.19864,300,1312,0.17704,0.22023
1985,No migration background,1st Quintile,Regular Part-Time Employment,0.04928,76,1312,0.03757,0.06100
1985,No migration background,1st Quintile,Vocational Training,0.03299,46,1312,0.02332,0.04266
1985,No migration background,1st Quintile,"Marginal, Irregular Part-Time Employment",0.03317,44,1312,0.02348,0.04286
1985,No migration background,1st Quintile,Not Employed,0.68592,846,1312,0.66080,0.71105
1985,No migration background,2nd Quintile,Full-Time Employment,0.30984,499,1473,0.28621,0.33346
1985,No migration background,2nd Quintile,Regular Part-Time Employment,0.06187,101,1473,0.04956,0.07418
1985,No migration background,2nd Quintile,Vocational Training,0.02577,41,1473,0.01767,0.03386
1985,No migration background,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.02478,41,1473,0.01684,0.03272
1985,No migration background,2nd Quintile,Not Employed,0.57775,791,1473,0.55252,0.60298
1985,No migration background,3rd Quintile,Full-Time Employment,0.40187,684,1622,0.37800,0.42573
1985,No migration background,3rd Quintile,Regular Part-Time Employment,0.06462,117,1622,0.05265,0.07659
1985,No migration background,3rd Quintile,Vocational Training,0.03222,55,1622,0.02362,0.04082
1985,No migration background,3rd Quintile,"Marginal, Irregular Part-Time Employment",0.02085,40,1622,0.01390,0.02781
1985,No migration background,3rd Quintile,Not Employed,0.48044,726,1622,0.45612,0.50476
1985,No migration background,4th Quintile,Full-Time Employment,0.50408,896,1705,0.48034,0.52782
1985,No migration background,4th Quintile,Regular Part-Time Employment,0.07434,140,1705,0.06188,0.08680
1985,No migration background,4th Quintile,Vocational Training,0.02559,47,1705,0.01809,0.03309
1985,No migration background,4th Quintile,"Marginal, Irregular Part-Time Employment",0.01975,37,1705,0.01314,0.02635
1985,No migration background,4th Quintile,Not Employed,0.37624,585,1705,0.35324,0.39925
1985,No migration background,5th Quintile,Full-Time Employment,0.57435,1097,1810,0.55156,0.59713
1985,No migration background,5th Quintile,Regular Part-Time Employment,0.09191,184,1810,0.07859,0.10522
1985,No migration background,5th Quintile,Not Employed,0.30695,529,1810,0.28570,0.32821
1985,Direct migration background,1st Quintile,Full-Time Employment,0.36200,380,880,0.33023,0.39377
1985,Direct migration background,1st Quintile,Regular Part-Time Employment,0.03718,32,880,0.02467,0.04969
1985,Direct migration background,1st Quintile,Not Employed,0.56117,468,880,0.52836,0.59397
1985,Direct migration background,2nd Quintile,Full-Time Employment,0.44604,348,629,0.40716,0.48492
1985,Direct migration background,2nd Quintile,Regular Part-Time Employment,0.05490,34,629,0.03709,0.07272
1985,Direct migration background,2nd Quintile,Not Employed,0.46800,247,629,0.42897,0.50702
1985,Direct migration background,3rd Quintile,Full-Time Employment,0.60908,383,508,0.56661,0.65156
1985,Direct migration background,3rd Quintile,Not Employed,0.30257,125,508,0.26259,0.34256
1985,Direct migration background,4th Quintile,Full-Time Employment,0.58451,345,438,0.53831,0.63072
