year,migback,sex,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,male,Full-Time Employment,0.62457,2672,4116,0.60977,0.63936
1984,No migration background,male,Regular Part-Time Employment,0.00787,33,4116,0.00517,0.01057
1984,No migration background,male,Vocational Training,0.04120,182,4116,0.03513,0.04727
1984,No migration background,male,"Marginal, Irregular Part-Time Employment",0.01263,51,4116,0.00922,0.01604
1984,No migration background,male,Not Employed,0.31374,1178,4116,0.29956,0.32791
1984,No migration background,female,Full-Time Employment,0.20295,1002,4553,0.19127,0.21463
1984,No migration background,female,Regular Part-Time Employment,0.09586,495,4553,0.08731,0.10442
1984,No migration background,female,Vocational Training,0.02839,135,4553,0.02356,0.03321
1984,No migration background,female,"Marginal, Irregular Part-Time Employment",0.04641,233,4553,0.04030,0.05252
1984,No migration background,female,Not Employed,0.62639,2688,4553,0.61233,0.64044
1984,Direct migration background,male,Full-Time Employment,0.73367,1394,1759,0.71301,0.75434
1984,Direct migration background,male,Vocational Training,0.02717,65,1759,0.01957,0.03477
1984,Direct migration background,male,Not Employed,0.22624,300,1759,0.20668,0.24580
1984,Direct migration background,female,Full-Time Employment,0.29077,574,1592,0.26846,0.31309
1984,Direct migration background,female,Regular Part-Time Employment,0.10653,119,1592,0.09137,0.12169
1984,Direct migration background,female,Vocational Training,0.01366,32,1592,0.00796,0.01936
1984,Direct migration background,female,"Marginal, Irregular Part-Time Employment",0.03587,44,1592,0.02673,0.04501
1984,Direct migration background,female,Not Employed,0.55316,823,1592,0.52873,0.57759
1984,Indirect migration background,female,Not Employed,0.53600,34,34,0.36585,0.70615
1985,No migration background,male,Full-Time Employment,0.61763,2475,3812,0.60220,0.63306
1985,No migration background,male,Regular Part-Time Employment,0.01207,45,3812,0.00860,0.01553
1985,No migration background,male,Vocational Training,0.02910,117,3812,0.02376,0.03444
1985,No migration background,male,"Marginal, Irregular Part-Time Employment",0.01203,46,3812,0.00856,0.01549
1985,No migration background,male,Not Employed,0.32917,1129,3812,0.31425,0.34409
1985,No migration background,female,Full-Time Employment,0.22488,1001,4167,0.21220,0.23756
1985,No migration background,female,Regular Part-Time Employment,0.11973,573,4167,0.10987,0.12959
1985,No migration background,female,Vocational Training,0.02172,94,4167,0.01729,0.02615
1985,No migration background,female,"Marginal, Irregular Part-Time Employment",0.03117,146,4167,0.02590,0.03645
1985,No migration background,female,Not Employed,0.60250,2353,4167,0.58763,0.61736
1985,Direct migration background,male,Full-Time Employment,0.71158,1199,1517,0.68877,0.73438
1985,Direct migration background,male,Vocational Training,0.02559,42,1517,0.01764,0.03354
1985,Direct migration background,male,Not Employed,0.24768,276,1517,0.22595,0.26941
1985,Direct migration background,female,Full-Time Employment,0.29941,503,1326,0.27475,0.32407
1985,Direct migration background,female,Regular Part-Time Employment,0.11158,118,1326,0.09463,0.12853
1985,Direct migration background,female,Not Employed,0.55295,705,1326,0.52618,0.57972
1985,Indirect migration background,female,Not Employed,0.59811,48,48,0.45794,0.73828
1986,No migration background,male,Full-Time Employment,0.61586,2343,3647,0.60007,0.63165
1986,No migration background,male,Regular Part-Time Employment,0.01230,50,3647,0.00873,0.01588
1986,No migration background,male,Vocational Training,0.03762,143,3647,0.03145,0.04380
1986,No migration background,male,"Marginal, Irregular Part-Time Employment",0.01003,36,3647,0.00679,0.01326
1986,No migration background,male,Not Employed,0.32419,1075,3647,0.30899,0.33938
1986,No migration background,female,Full-Time Employment,0.23046,990,3958,0.21733,0.24358
1986,No migration background,female,Regular Part-Time Employment,0.10196,461,3958,0.09253,0.11139
1986,No migration background,female,Vocational Training,0.02752,119,3958,0.02242,0.03261
1986,No migration background,female,"Marginal, Irregular Part-Time Employment",0.03974,181,3958,0.03365,0.04583
1986,No migration background,female,Not Employed,0.60032,2207,3958,0.58506,0.61559
1986,Direct migration background,male,Full-Time Employment,0.69081,1160,1498,0.66740,0.71422
1986,Direct migration background,male,Vocational Training,0.02856,49,1498,0.02012,0.03699
1986,Direct migration background,male,Not Employed,0.26120,289,1498,0.23895,0.28345
1986,Direct migration background,female,Full-Time Employment,0.28823,456,1285,0.26345,0.31300
1986,Direct migration background,female,Regular Part-Time Employment,0.09582,105,1285,0.07972,0.11191
1986,Direct migration background,female,"Marginal, Irregular Part-Time Employment",0.04038,44,1285,0.02962,0.05115
1986,Direct migration background,female,Not Employed,0.55920,680,1285,0.53205,0.58636
1986,Indirect migration background,female,Not Employed,0.48398,42,42,0.33101,0.63695
1987,No migration background,male,Full-Time Employment,0.62134,2308,3592,0.60547,0.63720
1987,No migration background,male,Regular Part-Time Employment,0.01000,36,3592,0.00675,0.01326
1987,No migration background,male,Vocational Training,0.04101,180,3592,0.03452,0.04749
1987,No migration background,male,"Marginal, Irregular Part-Time Employment",0.01308,43,3592,0.00936,0.01680
1987,No migration background,male,Not Employed,0.31457,1025,3592,0.29939,0.32976
1987,No migration background,female,Full-Time Employment,0.23482,975,3872,0.22146,0.24817
1987,No migration background,female,Regular Part-Time Employment,0.11916,516,3872,0.10896,0.12937
1987,No migration background,female,Vocational Training,0.03120,144,3872,0.02572,0.03667
1987,No migration background,female,"Marginal, Irregular Part-Time Employment",0.02818,124,3872,0.02297,0.03340
1987,No migration background,female,Not Employed,0.58664,2113,3872,0.57113,0.60215
1987,Direct migration background,male,Full-Time Employment,0.70735,1140,1488,0.68423,0.73048
1987,Direct migration background,male,Vocational Training,0.02303,49,1488,0.01541,0.03066
1987,Direct migration background,male,Not Employed,0.25349,299,1488,0.23138,0.27560
