year,pgisced97,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Full-Time Employment,0.41252,31,31,0.23636,0.58868
1984,Pre-primary Level,Not Employed,0.98296,184,184,0.96421,1.00171
1984,Primary Level,Full-Time Employment,0.42850,527,945,0.39693,0.46007
1984,Primary Level,Not Employed,0.49875,418,945,0.46685,0.53064
1984,Lower Secondary Level,Full-Time Employment,0.20721,1048,3448,0.19368,0.22074
1984,Lower Secondary Level,Regular Part-Time Employment,0.05304,180,3448,0.04556,0.06052
1984,Lower Secondary Level,Vocational Training,0.08296,297,3448,0.07375,0.09217
1984,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.03225,106,3448,0.02635,0.03814
1984,Lower Secondary Level,Not Employed,0.62455,1817,3448,0.60838,0.64071
1984,Upper Secondary Level,Full-Time Employment,0.47669,2963,5706,0.46373,0.48965
1984,Upper Secondary Level,Regular Part-Time Employment,0.05661,332,5706,0.05061,0.06260
1984,Upper Secondary Level,Vocational Training,0.01605,121,5706,0.01279,0.01931
1984,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02949,164,5706,0.02510,0.03388
1984,Upper Secondary Level,Not Employed,0.42117,2126,5706,0.40835,0.43398
1984,Post-secondary Non-tertiary Level,Full-Time Employment,0.54013,186,285,0.48217,0.59810
1984,Post-secondary Non-tertiary Level,Not Employed,0.37972,99,285,0.32327,0.43616
1984,First Stage of Tertiary Education,Full-Time Employment,0.55442,386,634,0.51570,0.59314
1984,First Stage of Tertiary Education,Regular Part-Time Employment,0.05969,43,634,0.04124,0.07815
1984,First Stage of Tertiary Education,Not Employed,0.35261,205,634,0.31539,0.38984
1984,Second Stage of Tertiary Education,Full-Time Employment,0.64693,534,762,0.61297,0.68089
1984,Second Stage of Tertiary Education,Regular Part-Time Employment,0.07432,58,762,0.05569,0.09296
1984,Second Stage of Tertiary Education,Not Employed,0.24471,170,762,0.21417,0.27526
1985,No answer / don't know,Full-Time Employment,0.35951,49,101,0.26546,0.45357
1985,No answer / don't know,Not Employed,0.46449,52,101,0.36673,0.56224
1985,Pre-primary Level,Not Employed,0.96626,181,181,0.93988,0.99264
1985,Primary Level,Full-Time Employment,0.37980,416,789,0.34591,0.41369
1985,Primary Level,Not Employed,0.53850,373,789,0.50369,0.57331
1985,Lower Secondary Level,Full-Time Employment,0.23564,1019,3061,0.22061,0.25068
1985,Lower Secondary Level,Regular Part-Time Employment,0.06821,206,3061,0.05927,0.07714
1985,Lower Secondary Level,Vocational Training,0.05901,183,3061,0.05066,0.06736
1985,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.02370,73,3061,0.01831,0.02909
1985,Lower Secondary Level,Not Employed,0.61344,1580,3061,0.59619,0.63070
1985,Upper Secondary Level,Full-Time Employment,0.47707,2703,5181,0.46346,0.49067
1985,Upper Secondary Level,Regular Part-Time Employment,0.07227,392,5181,0.06522,0.07933
1985,Upper Secondary Level,Vocational Training,0.01154,74,5181,0.00863,0.01445
1985,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02016,103,5181,0.01633,0.02398
1985,Upper Secondary Level,Not Employed,0.41896,1909,5181,0.40552,0.43240
1985,Post-secondary Non-tertiary Level,Full-Time Employment,0.51096,158,246,0.44837,0.57356
1985,Post-secondary Non-tertiary Level,Not Employed,0.39093,88,246,0.32983,0.45204
1985,First Stage of Tertiary Education,Full-Time Employment,0.54426,354,600,0.50438,0.58414
1985,First Stage of Tertiary Education,Regular Part-Time Employment,0.07767,54,600,0.05623,0.09910
1985,First Stage of Tertiary Education,Not Employed,0.34821,192,600,0.31006,0.38636
1985,Second Stage of Tertiary Education,Full-Time Employment,0.65981,518,732,0.62547,0.69416
1985,Second Stage of Tertiary Education,Regular Part-Time Employment,0.06356,50,732,0.04588,0.08125
1985,Second Stage of Tertiary Education,Not Employed,0.24740,164,732,0.21612,0.27868
1986,No answer / don't know,Full-Time Employment,0.25396,46,87,0.16196,0.34595
1986,No answer / don't know,Not Employed,0.40685,41,87,0.30302,0.51068
1986,Pre-primary Level,Not Employed,0.96678,183,183,0.94075,0.99282
1986,Primary Level,Full-Time Employment,0.41586,384,733,0.38015,0.45156
1986,Primary Level,Not Employed,0.50138,349,733,0.46515,0.53760
1986,Lower Secondary Level,Full-Time Employment,0.23280,958,2907,0.21743,0.24817
1986,Lower Secondary Level,Regular Part-Time Employment,0.06110,178,2907,0.05239,0.06981
1986,Lower Secondary Level,Vocational Training,0.07156,229,2907,0.06219,0.08094
1986,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.02602,72,2907,0.02023,0.03181
1986,Lower Secondary Level,Not Employed,0.60851,1470,2907,0.59077,0.62626
1986,Upper Secondary Level,Full-Time Employment,0.47850,2629,4993,0.46465,0.49236
1986,Upper Secondary Level,Regular Part-Time Employment,0.05878,307,4993,0.05225,0.06530
1986,Upper Secondary Level,Vocational Training,0.01705,96,4993,0.01346,0.02064
1986,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02439,126,4993,0.02011,0.02867
1986,Upper Secondary Level,Not Employed,0.42128,1835,4993,0.40759,0.43498
1986,Post-secondary Non-tertiary Level,Full-Time Employment,0.53349,162,248,0.47128,0.59571
1986,Post-secondary Non-tertiary Level,Not Employed,0.37361,86,248,0.31328,0.43394
1986,First Stage of Tertiary Education,Full-Time Employment,0.54031,333,561,0.49904,0.58159
1986,First Stage of Tertiary Education,Regular Part-Time Employment,0.06181,41,561,0.04186,0.08175
1986,First Stage of Tertiary Education,Not Employed,0.36892,187,561,0.32895,0.40888
1986,Second Stage of Tertiary Education,Full-Time Employment,0.63080,484,724,0.59562,0.66598
1986,Second Stage of Tertiary Education,Regular Part-Time Employment,0.09293,76,724,0.07177,0.11410
1986,Second Stage of Tertiary Education,Not Employed,0.24931,164,724,0.21778,0.28085
1987,No answer / don't know,Full-Time Employment,0.21750,46,89,0.13130,0.30370
1987,No answer / don't know,Not Employed,0.38267,43,89,0.28112,0.48422
1987,Pre-primary Level,Not Employed,0.93468,182,182,0.89868,0.97067
1987,Primary Level,Full-Time Employment,0.41850,355,726,0.38259,0.45440
1987,Primary Level,Regular Part-Time Employment,0.03031,32,726,0.01783,0.04279
1987,Primary Level,Not Employed,0.49693,339,726,0.46054,0.53333
1987,Lower Secondary Level,Full-Time Employment,0.23399,909,2836,0.21840,0.24957
1987,Lower Secondary Level,Regular Part-Time Employment,0.07418,193,2836,0.06453,0.08383
1987,Lower Secondary Level,Vocational Training,0.07813,270,2836,0.06826,0.08801
1987,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.02247,58,2836,0.01702,0.02793
1987,Lower Secondary Level,Not Employed,0.59123,1406,2836,0.57313,0.60932
1987,Upper Secondary Level,Full-Time Employment,0.48163,2633,4968,0.46774,0.49553
1987,Upper Secondary Level,Regular Part-Time Employment,0.06641,341,4968,0.05948,0.07333
1987,Upper Secondary Level,Vocational Training,0.01992,119,4968,0.01603,0.02380
1987,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.01796,95,4968,0.01427,0.02166
1987,Upper Secondary Level,Not Employed,0.41408,1780,4968,0.40038,0.42778
1987,Post-secondary Non-tertiary Level,Full-Time Employment,0.49857,158,244,0.43570,0.56144
1987,Post-secondary Non-tertiary Level,Not Employed,0.36873,86,244,0.30807,0.42939
1987,First Stage of Tertiary Education,Full-Time Employment,0.53240,317,553,0.49078,0.57402
1987,First Stage of Tertiary Education,Regular Part-Time Employment,0.07369,48,553,0.05190,0.09549
1987,First Stage of Tertiary Education,Not Employed,0.36904,188,553,0.32878,0.40929
1987,Second Stage of Tertiary Education,Full-Time Employment,0.65184,511,721,0.61704,0.68664
1987,Second Stage of Tertiary Education,Regular Part-Time Employment,0.06134,49,721,0.04381,0.07887
1987,Second Stage of Tertiary Education,Not Employed,0.26009,161,721,0.22805,0.29214
1988,No answer / don't know,Full-Time Employment,0.30022,54,107,0.21297,0.38748
1988,No answer / don't know,Not Employed,0.35131,53,107,0.26043,0.44219
1988,Pre-primary Level,Not Employed,0.96163,156,156,0.93139,0.99187
1988,Primary Level,Full-Time Employment,0.37941,312,674,0.34274,0.41607
1988,Primary Level,Regular Part-Time Employment,0.03748,35,674,0.02313,0.05183
1988,Primary Level,Not Employed,0.54380,327,674,0.50617,0.58143
1988,Lower Secondary Level,Full-Time Employment,0.23145,870,2717,0.21559,0.24731
1988,Lower Secondary Level,Regular Part-Time Employment,0.07517,193,2717,0.06525,0.08508
1988,Lower Secondary Level,Vocational Training,0.07931,271,2717,0.06915,0.08948
1988,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.02212,61,2717,0.01659,0.02765
1988,Lower Secondary Level,Not Employed,0.59195,1322,2717,0.57346,0.61043
1988,Upper Secondary Level,Full-Time Employment,0.47427,2460,4743,0.46005,0.48848
1988,Upper Secondary Level,Regular Part-Time Employment,0.07000,341,4743,0.06274,0.07726
1988,Upper Secondary Level,Vocational Training,0.01817,112,4743,0.01437,0.02197
1988,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.01793,85,4743,0.01415,0.02171
1988,Upper Secondary Level,Not Employed,0.41963,1745,4743,0.40559,0.43368
1988,Post-secondary Non-tertiary Level,Full-Time Employment,0.51033,149,236,0.44642,0.57425
1988,Post-secondary Non-tertiary Level,Not Employed,0.36742,87,236,0.30578,0.42906
1988,First Stage of Tertiary Education,Full-Time Employment,0.55942,315,524,0.51687,0.60197
1988,First Stage of Tertiary Education,Regular Part-Time Employment,0.06243,40,524,0.04170,0.08317
1988,First Stage of Tertiary Education,Not Employed,0.35267,169,524,0.31172,0.39362
1988,Second Stage of Tertiary Education,Full-Time Employment,0.67270,487,682,0.63746,0.70794
1988,Second Stage of Tertiary Education,Regular Part-Time Employment,0.06156,48,682,0.04351,0.07961
1988,Second Stage of Tertiary Education,Not Employed,0.23936,147,682,0.20731,0.27141
1989,No answer / don't know,Full-Time Employment,0.27420,56,110,0.19045,0.35795
1989,No answer / don't know,Not Employed,0.44527,54,110,0.35197,0.53857
1989,Pre-primary Level,Not Employed,0.94952,163,163,0.91581,0.98324
1989,Primary Level,Full-Time Employment,0.39353,291,634,0.35547,0.43159
1989,Primary Level,Regular Part-Time Employment,0.03568,31,634,0.02123,0.05013
1989,Primary Level,Not Employed,0.51499,312,634,0.47606,0.55392
1989,Lower Secondary Level,Full-Time Employment,0.23397,863,2570,0.21760,0.25034
1989,Lower Secondary Level,Regular Part-Time Employment,0.07628,184,2570,0.06602,0.08655
1989,Lower Secondary Level,Vocational Training,0.08175,249,2570,0.07115,0.09234
1989,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.02001,52,2570,0.01459,0.02542
1989,Lower Secondary Level,Not Employed,0.58799,1222,2570,0.56896,0.60703
1989,Upper Secondary Level,Full-Time Employment,0.48802,2457,4622,0.47361,0.50243
1989,Upper Secondary Level,Regular Part-Time Employment,0.07191,341,4622,0.06446,0.07936
1989,Upper Secondary Level,Vocational Training,0.01396,84,4622,0.01058,0.01734
1989,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.01873,90,4622,0.01482,0.02263
1989,Upper Secondary Level,Not Employed,0.40739,1650,4622,0.39322,0.42156
1989,Post-secondary Non-tertiary Level,Full-Time Employment,0.51817,160,261,0.45743,0.57890
1989,Post-secondary Non-tertiary Level,Not Employed,0.38207,101,261,0.32300,0.44113
1989,First Stage of Tertiary Education,Full-Time Employment,0.55925,304,502,0.51578,0.60273
1989,First Stage of Tertiary Education,Regular Part-Time Employment,0.06827,39,502,0.04618,0.09035
1989,First Stage of Tertiary Education,Not Employed,0.35131,159,502,0.30951,0.39312
1989,Second Stage of Tertiary Education,Full-Time Employment,0.65611,481,675,0.62025,0.69197
1989,Second Stage of Tertiary Education,Regular Part-Time Employment,0.06454,50,675,0.04599,0.08309
1989,Second Stage of Tertiary Education,Not Employed,0.24467,144,675,0.21222,0.27713
1990,No answer / don't know,Full-Time Employment,0.39314,70,132,0.30949,0.47678
1990,No answer / don't know,Not Employed,0.37327,62,132,0.29044,0.45610
1990,Pre-primary Level,Not Employed,0.94232,186,186,0.90873,0.97592
1990,Primary Level,Full-Time Employment,0.42953,292,626,0.39072,0.46834
1990,Primary Level,Regular Part-Time Employment,0.03754,36,626,0.02264,0.05244
1990,Primary Level,Not Employed,0.49117,298,626,0.45197,0.53036
