"year","hhtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2016","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","1.07","1","120","1.02","1.12"
"2016","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1.06","1","276","1.03","1.09"
"2016","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"2016","1-Pers.- Haushalt","Westdeutschland","1","1","74","1","1"
"2016","Alleinerziehende","Ostdeutschland","1.09","1","36","1.01","1.17"
"2016","Alleinerziehende","Westdeutschland","1.02","1","128","0.97","1.07"
"2016","Paar mit Kind(ern)","Ostdeutschland","1","1","146","1","1"
"2016","Paar mit Kind(ern)","Westdeutschland","1.15","1","519","1.11","1.19"
"2016","Sonstige","Ostdeutschland","1","1","54","1","1"
"2016","Sonstige","Westdeutschland","1.04","1","175","1","1.08"
"2017","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","1.08","1","140","1.04","1.12"
"2017","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1.06","1","300","1.03","1.09"
"2017","1-Pers.- Haushalt","Ostdeutschland","1","1","32","1","1"
"2017","1-Pers.- Haushalt","Westdeutschland","1.01","1","81","0.99","1.03"
"2017","Alleinerziehende","Ostdeutschland","1.28","1","36","1.12","1.44"
"2017","Alleinerziehende","Westdeutschland","1.03","1","173","0.98","1.08"
"2017","Paar mit Kind(ern)","Ostdeutschland","1.28","1","221","1.2","1.36"
"2017","Paar mit Kind(ern)","Westdeutschland","1.06","1","888","1.03","1.09"
"2017","Sonstige","Ostdeutschland","1.18","1","64","1.11","1.25"
"2017","Sonstige","Westdeutschland","1.03","1","294","0.99","1.07"
"2018","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","1.13","1","141","1.08","1.18"
"2018","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1.06","1","344","1.03","1.09"
"2018","1-Pers.- Haushalt","Ostdeutschland","1","1","35","1","1"
"2018","1-Pers.- Haushalt","Westdeutschland","1","1","103","1","1"
"2018","Alleinerziehende","Ostdeutschland","1.45","1","57","1.32","1.58"
"2018","Alleinerziehende","Westdeutschland","1.05","1","197","1","1.1"
"2018","Paar mit Kind(ern)","Ostdeutschland","1.27","1","233","1.2","1.34"
"2018","Paar mit Kind(ern)","Westdeutschland","1.07","1","1141","1.05","1.09"
"2018","Sonstige","Ostdeutschland","1","1","83","1","1"
"2018","Sonstige","Westdeutschland","1.05","1","410","1.01","1.09"
"2019","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","1.1","1","175","1.05","1.15"
"2019","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1.08","1","374","1.06","1.1"
"2019","1-Pers.- Haushalt","Ostdeutschland","","","","",""
"2019","1-Pers.- Haushalt","Westdeutschland","1","1","103","1","1"
"2019","Alleinerziehende","Ostdeutschland","1.2","1","66","1.08","1.32"
"2019","Alleinerziehende","Westdeutschland","1.08","1","185","1.04","1.12"
"2019","Paar mit Kind(ern)","Ostdeutschland","1.26","1","185","1.17","1.35"
"2019","Paar mit Kind(ern)","Westdeutschland","1.08","1","1020","1.05","1.11"
"2019","Sonstige","Ostdeutschland","1.76","1","66","1.53","1.99"
"2019","Sonstige","Westdeutschland","1.03","1","313","0.99","1.07"
"2020","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","1.08","1","163","1.04","1.12"
"2020","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1.08","1","350","1.05","1.11"
"2020","1-Pers.- Haushalt","Ostdeutschland","1","1","52","1","1"
"2020","1-Pers.- Haushalt","Westdeutschland","1","1","108","1","1"
"2020","Alleinerziehende","Ostdeutschland","1.01","1","66","0.92","1.1"
"2020","Alleinerziehende","Westdeutschland","1.07","1","185","1.02","1.12"
"2020","Paar mit Kind(ern)","Ostdeutschland","1.04","1","218","0.99","1.09"
"2020","Paar mit Kind(ern)","Westdeutschland","1.08","1","967","1.05","1.11"
"2020","Sonstige","Ostdeutschland","2.17","1.5","62","1.92","2.42"
"2020","Sonstige","Westdeutschland","1.03","1","331","0.99","1.07"
