"year","quintil","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2016","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.1","1","122","1.05","1.15"
"2016","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.16","1","162","1.12","1.2"
"2016","2","Laendlicher Raum","1.14","1","116","1.1","1.18"
"2016","2","Staedtischer Raum","1.02","1","199","1","1.04"
"2016","3","Laendlicher Raum","1.06","1","152","1.03","1.09"
"2016","3","Staedtischer Raum","1.03","1","170","1","1.06"
"2016","4","Laendlicher Raum","1.05","1","206","0.97","1.13"
"2016","4","Staedtischer Raum","1.03","1","214","1.01","1.05"
"2016","5 Einkommensstärkstes Quintil","Laendlicher Raum","1","1","82","0.95","1.05"
"2016","5 Einkommensstärkstes Quintil","Staedtischer Raum","1.1","1","134","1.05","1.15"
"2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.03","1","236","0.98","1.08"
"2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.04","1","515","1.01","1.07"
"2017","2","Laendlicher Raum","1.06","1","120","1","1.12"
"2017","2","Staedtischer Raum","1.01","1","206","1","1.02"
"2017","3","Laendlicher Raum","1.22","1","180","1.11","1.33"
"2017","3","Staedtischer Raum","1.08","1","224","1.05","1.11"
"2017","4","Laendlicher Raum","1.03","1","196","0.99","1.07"
"2017","4","Staedtischer Raum","1.08","1","241","1.04","1.12"
"2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","1.04","1","145","0.99","1.09"
"2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","1.01","1","166","0.99","1.03"
"2018","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.04","1","301","1.01","1.07"
"2018","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.04","1","728","1.01","1.07"
"2018","2","Laendlicher Raum","1.03","1","203","0.99","1.07"
"2018","2","Staedtischer Raum","1.06","1","291","1.03","1.09"
"2018","3","Laendlicher Raum","1.26","1","153","1.16","1.36"
"2018","3","Staedtischer Raum","1.08","1","299","1.04","1.12"
"2018","4","Laendlicher Raum","1.05","1","187","0.98","1.12"
"2018","4","Staedtischer Raum","1.03","1","263","1","1.06"
"2018","5 Einkommensstärkstes Quintil","Laendlicher Raum","1.04","1","114","0.93","1.15"
"2018","5 Einkommensstärkstes Quintil","Staedtischer Raum","1.05","1","205","1.02","1.08"
"2019","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.36","1","219","1.27","1.45"
"2019","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.07","1","515","1.03","1.11"
"2019","2","Laendlicher Raum","1.04","1","128","0.99","1.09"
"2019","2","Staedtischer Raum","1.07","1","296","1.03","1.11"
"2019","3","Laendlicher Raum","1.08","1","155","1.03","1.13"
"2019","3","Staedtischer Raum","1.12","1","233","1.09","1.15"
"2019","4","Laendlicher Raum","1.1","1","191","1.03","1.17"
"2019","4","Staedtischer Raum","1.01","1","276","0.99","1.03"
"2019","5 Einkommensstärkstes Quintil","Laendlicher Raum","1.06","1","134","0.93","1.19"
"2019","5 Einkommensstärkstes Quintil","Staedtischer Raum","1.05","1","321","1.02","1.08"
"2020","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.15","1","243","1.1","1.2"
"2020","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.05","1","433","1.01","1.09"
"2020","2","Laendlicher Raum","1.4","1","148","1.29","1.51"
"2020","2","Staedtischer Raum","1.06","1","307","1.03","1.09"
"2020","3","Laendlicher Raum","1.05","1","165","1","1.1"
"2020","3","Staedtischer Raum","1.11","1","249","1.06","1.16"
"2020","4","Laendlicher Raum","1.14","1","185","1.09","1.19"
"2020","4","Staedtischer Raum","1.05","1","317","1.02","1.08"
"2020","5 Einkommensstärkstes Quintil","Laendlicher Raum","1.02","1","150","0.86","1.18"
"2020","5 Einkommensstärkstes Quintil","Staedtischer Raum","1.02","1","305","1","1.04"
