"year","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2016","1 Einkommensschwächstes Quintil","1.14","1","284","1.11","1.17"
"2016","2","1.06","1","315","1.04","1.08"
"2016","3","1.04","1","322","1.02","1.06"
"2016","4","1.04","1","420","1","1.08"
"2016","5 Einkommensstärkstes Quintil","1.07","1","216","1.03","1.11"
"2017","1 Einkommensschwächstes Quintil","1.04","1","751","1.01","1.07"
"2017","2","1.03","1","326","1.01","1.05"
"2017","3","1.13","1","404","1.08","1.18"
"2017","4","1.06","1","437","1.03","1.09"
"2017","5 Einkommensstärkstes Quintil","1.02","1","311","1","1.04"
"2018","1 Einkommensschwächstes Quintil","1.04","1","1029","1.02","1.06"
"2018","2","1.05","1","494","1.03","1.07"
"2018","3","1.14","1","452","1.1","1.18"
"2018","4","1.04","1","450","1.01","1.07"
"2018","5 Einkommensstärkstes Quintil","1.05","1","319","1.01","1.09"
"2019","1 Einkommensschwächstes Quintil","1.14","1","734","1.1","1.18"
"2019","2","1.17","1","438","1.12","1.22"
"2019","3","1.1","1","393","1.07","1.13"
"2019","4","1.04","1","482","1.01","1.07"
"2019","5 Einkommensstärkstes Quintil","1.07","1","468","1.02","1.12"
"2020","1 Einkommensschwächstes Quintil","1.08","1","676","1.05","1.11"
"2020","2","1.18","1","455","1.14","1.22"
"2020","3","1.09","1","414","1.06","1.12"
"2020","4","1.08","1","502","1.06","1.1"
"2020","5 Einkommensstärkstes Quintil","1.02","1","455","0.97","1.07"
