year,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1985,Staedtischer Raum,,,,,,,,,,,,
1985,Laendlicher Raum,,,,,,,,,,,,
1986,Staedtischer Raum,,,,,,,,,,,,
1986,Laendlicher Raum,,,,,,,,,,,,
1987,Staedtischer Raum,,,,,,,,,,,,
1987,Laendlicher Raum,,,,,,,,,,,,
1988,Staedtischer Raum,,,,,,,,,,,,
1988,Laendlicher Raum,,,,,,,,,,,,
1989,Staedtischer Raum,,,,,,,,,,,,
1989,Laendlicher Raum,,,,,,,,,,,,
1990,Staedtischer Raum,,,,,,,,,,,,
1990,Laendlicher Raum,,,,,,,,,,,,
1991,Staedtischer Raum,,,,,,,,,,,,
1991,Laendlicher Raum,,,,,,,,,,,,
1992,Staedtischer Raum,,,,,,,,,,,,
1992,Laendlicher Raum,,,,,,,,,,,,
1993,Staedtischer Raum,,,,,,,,,,,,
1993,Laendlicher Raum,,,,,,,,,,,,
1994,Staedtischer Raum,,,,,,,,,,,,
1994,Laendlicher Raum,,,,,,,,,,,,
1995,Staedtischer Raum,,,,,,,,,,,,
1995,Laendlicher Raum,,,,,,,,,,,,
1996,Staedtischer Raum,,,,,,,,,,,,
1996,Laendlicher Raum,,,,,,,,,,,,
1997,Staedtischer Raum,,,,,,,,,,,,
1997,Laendlicher Raum,,,,,,,,,,,,
1998,Staedtischer Raum,,,,,,,,,,,,
1998,Laendlicher Raum,,,,,,,,,,,,
1999,Staedtischer Raum,,,,,,,,,,,,
1999,Laendlicher Raum,,,,,,,,,,,,
2000,Staedtischer Raum,,,,,,,,,,,,
2000,Laendlicher Raum,,,,,,,,,,,,
2001,Staedtischer Raum,,,,,,,,,,,,
2001,Laendlicher Raum,,,,,,,,,,,,
2002,Staedtischer Raum,,,,,,,,,,,,
2002,Laendlicher Raum,,,,,,,,,,,,
2003,Staedtischer Raum,,,,,,,,,,,,
2003,Laendlicher Raum,,,,,,,,,,,,
2004,Staedtischer Raum,,,,,,,,,,,,
2004,Laendlicher Raum,,,,,,,,,,,,
2005,Staedtischer Raum,,,,,,,,,,,,
2005,Laendlicher Raum,,,,,,,,,,,,
2006,Staedtischer Raum,,,,,,,,,,,,
2006,Laendlicher Raum,,,,,,,,,,,,
2007,Staedtischer Raum,,,,,,,,,,,,
2007,Laendlicher Raum,,,,,,,,,,,,
2008,Staedtischer Raum,,,,,,,,,,,,
2008,Laendlicher Raum,,,,,,,,,,,,
2009,Staedtischer Raum,,,,,,,,,,,,
2009,Laendlicher Raum,,,,,,,,,,,,
2010,Staedtischer Raum,,,,,,,,,,,,
2010,Laendlicher Raum,,,,,,,,,,,,
2011,Staedtischer Raum,,,,,,,,,,,,
2011,Laendlicher Raum,,,,,,,,,,,,
2012,Staedtischer Raum,,,,,,,,,,,,
2012,Laendlicher Raum,,,,,,,,,,,,
2013,Staedtischer Raum,,,,,,,,,,,,
2013,Laendlicher Raum,,,,,,,,,,,,
2014,Staedtischer Raum,,,,,,,,,,,,
2014,Laendlicher Raum,,,,,,,,,,,,
2015,Staedtischer Raum,,,,,,,,,,,,
2015,Laendlicher Raum,,,,,,,,,,,,
2016,Staedtischer Raum,1.0446895303128458,1.0339328898588231,1.0554461707668685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,333.0
2016,Laendlicher Raum,1.0540330937776716,1.0401176930242868,1.0679484945310564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,243.0
2017,Staedtischer Raum,1.039190369284056,1.030246848502484,1.048133890065628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,432.0
2017,Laendlicher Raum,1.0476518066722242,1.0331877773320537,1.0621158360123948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,296.0
2018,Staedtischer Raum,1.0421516471616297,1.0340071836822422,1.0502961106410171,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,559.0
2018,Laendlicher Raum,1.0581842892076898,1.0430219432430363,1.0733466351723433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,303.0
2019,Staedtischer Raum,1.0451603724066558,1.0362942213383417,1.05402652347497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,535.0
2019,Laendlicher Raum,1.0784932197962915,1.0606442630224777,1.0963421765701054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,277.0
2020,Staedtischer Raum,1.0394556345537047,1.0314460416550726,1.0474652274523368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,534.0
2020,Laendlicher Raum,1.081957467879419,1.0631449320296227,1.1007700037292154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,292.0
2021,Staedtischer Raum,1.0558522529975853,1.045389929480476,1.0663145765146946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,440.0
2021,Laendlicher Raum,1.0580707525966353,1.0425124388033347,1.073629066389936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,240.0
