"year","hhtyp","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2016","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","1.05","1","38","1","1","1","1","2","0.98","1.12","1","2","1","1"
"2016","(Ehe-)Paar ohne Kind(er)","2","1.05","1","58","1","1","1","1","2","0.97","1.13","1","2","1","1"
"2016","(Ehe-)Paar ohne Kind(er)","3","1.1","1","104","1","1","1","1","2","1.04","1.16","1","2","1","1"
"2016","(Ehe-)Paar ohne Kind(er)","4","1.04","1","132","1","1","1","1","2","1","1.08","1","2","1","1"
"2016","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","1.05","1","64","1","1","1","1","2","0.99","1.11","1","2","1","1"
"2016","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2016","1-Pers.- Haushalt","2","","","","","","","","","","","","","",""
"2016","1-Pers.- Haushalt","3","1","1","30","1","1","1","1","1","1","1","1","1","1","1"
"2016","1-Pers.- Haushalt","4","","","","","","","","","","","","","",""
"2016","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2016","Alleinerziehende","1 Einkommensschwächstes Quintil","1.03","1","40","1","1","1","1","2","0.92","1.14","1","2","1","1"
"2016","Alleinerziehende","2","1","1","48","1","1","1","1","1","1","1","1","1","1","1"
"2016","Alleinerziehende","3","1","1","30","1","1","1","1","1","1","1","1","1","1","1"
"2016","Alleinerziehende","4","1.11","1","35","1","1","1","2","2","0.97","1.25","1","2","1","1"
"2016","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2016","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","1.39","1","114","1","1","2","2","2","1.34","1.44","1","2","1","1"
"2016","Paar mit Kind(ern)","2","1.16","1","138","1","1","1","2","2","1.13","1.19","1","2","1","1"
"2016","Paar mit Kind(ern)","3","1","1","126","1","1","1","1","1","1","1","1","1","1","1"
"2016","Paar mit Kind(ern)","4","1.05","1","196","1","1","1","1","2","0.97","1.13","1","3","1","1"
"2016","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","1.19","1","91","1","1","1","2","2","1.12","1.26","1","2","1","1"
"2016","Sonstige","1 Einkommensschwächstes Quintil","1.1","1","84","1","1","1","2","2","1.04","1.16","1","2","1","1"
"2016","Sonstige","2","1","1","49","1","1","1","1","1","1","1","1","1","1","1"
"2016","Sonstige","3","1","1","32","1","1","1","1","1","1","1","1","1","1","1"
"2016","Sonstige","4","1.01","1","34","1","1","1","1","2","0.88","1.14","1","2","1","1"
"2016","Sonstige","5 Einkommensstärkstes Quintil","1","1","30","1","1","1","1","1","1","1","1","1","1","1"
"2017","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","1.06","1","38","1","1","1","1","2","0.99","1.13","1","2","1","1"
"2017","(Ehe-)Paar ohne Kind(er)","2","1.04","1","46","1","1","1","1","2","0.96","1.12","1","2","1","1"
"2017","(Ehe-)Paar ohne Kind(er)","3","1.1","1","128","1","1","1","1","2","1.06","1.14","1","2","1","1"
"2017","(Ehe-)Paar ohne Kind(er)","4","1.07","1","124","1","1","1","1","2","1.03","1.11","1","2","1","1"
"2017","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","1.02","1","104","1","1","1","1","2","0.98","1.06","1","2","1","1"
"2017","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2017","1-Pers.- Haushalt","2","","","","","","","","","","","","","",""
"2017","1-Pers.- Haushalt","3","1.03","1","33","1","1","1","1","2","0.97","1.09","1","2","1","1"
"2017","1-Pers.- Haushalt","4","1","1","30","1","1","1","1","1","1","1","1","1","1","1"
"2017","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2017","Alleinerziehende","1 Einkommensschwächstes Quintil","1","1","53","1","1","1","1","1","0.94","1.06","1","2","1","1"
"2017","Alleinerziehende","2","1.05","1","32","1","1","1","1","2","0.92","1.18","1","2","1","1"
"2017","Alleinerziehende","3","1.02","1","52","1","1","1","1","2","0.92","1.12","1","2","1","1"
"2017","Alleinerziehende","4","1.07","1","45","1","1","1","1","2","0.95","1.19","1","2","1","1"
"2017","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2017","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","1.01","1","507","1","1","1","1","2","0.97","1.05","1","3","1","1"
"2017","Paar mit Kind(ern)","2","1.03","1","151","1","1","1","1","2","1","1.06","1","2","1","1"
"2017","Paar mit Kind(ern)","3","1.33","1","156","1","1","1","2","4","1.2","1.46","1","4","1","1"
"2017","Paar mit Kind(ern)","4","1.05","1","169","1","1","1","1","2","1.02","1.08","1","2","1","1"
"2017","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","1","1","126","1","1","1","1","1","0.97","1.03","1","2","1","1"
"2017","Sonstige","1 Einkommensschwächstes Quintil","1.12","1","140","1","1","1","1","3","1.05","1.19","1","3","1","1"
"2017","Sonstige","2","1","1","80","1","1","1","1","1","0.96","1.04","1","2","1","1"
"2017","Sonstige","3","1","1","35","1","1","1","1","1","1","1","1","1","1","1"
"2017","Sonstige","4","1.11","1","69","1","1","1","2","2","1.01","1.21","1","2","1","1"
"2017","Sonstige","5 Einkommensstärkstes Quintil","1","1","34","1","1","1","1","1","1","1","1","1","1","1"
"2018","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","1.12","1","42","1","1","1","2","2","1.03","1.21","1","2","1","1"
"2018","(Ehe-)Paar ohne Kind(er)","2","1.05","1","66","1","1","1","1","2","0.98","1.12","1","2","1","1"
"2018","(Ehe-)Paar ohne Kind(er)","3","1.14","1","115","1","1","1","2","2","1.08","1.2","1","2","1","1"
"2018","(Ehe-)Paar ohne Kind(er)","4","1.04","1","142","1","1","1","1","2","1","1.08","1","2","1","1"
"2018","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","1.06","1","120","1","1","1","1","2","1.02","1.1","1","2","1","1"
"2018","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2018","1-Pers.- Haushalt","2","","","","","","","","","","","","","",""
"2018","1-Pers.- Haushalt","3","","","","","","","","","","","","","",""
"2018","1-Pers.- Haushalt","4","1","1","37","1","1","1","1","1","1","1","1","1","1","1"
"2018","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","1","1","30","1","1","1","1","1","1","1","1","1","1","1"
"2018","Alleinerziehende","1 Einkommensschwächstes Quintil","1.01","1","67","1","1","1","1","1","0.95","1.07","1","2","1","1"
"2018","Alleinerziehende","2","1.04","1","56","1","1","1","1","2","0.96","1.12","1","2","1","1"
"2018","Alleinerziehende","3","1.18","1","71","1","1","1","2","2","1.07","1.29","1","2","1","1"
"2018","Alleinerziehende","4","1.22","1","35","1","1","1","2","2","1.07","1.37","1","2","1","1"
"2018","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2018","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","1.01","1","668","1","1","1","1","2","0.98","1.04","1","4","1","1"
"2018","Paar mit Kind(ern)","2","1.13","1","240","1","1","1","2","2","1.1","1.16","1","2","1","1"
"2018","Paar mit Kind(ern)","3","1.21","1","181","1","1","1","2","4","1.13","1.29","1","4","1","1"
"2018","Paar mit Kind(ern)","4","1.03","1","171","1","1","1","1","2","0.97","1.09","1","3","1","1"
"2018","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","1.08","1","114","1","1","1","1","2","0.98","1.18","1","3","1","1"
"2018","Sonstige","1 Einkommensschwächstes Quintil","1.1","1","236","1","1","1","1","3","1.05","1.15","1","3","1","1"
"2018","Sonstige","2","1.05","1","105","1","1","1","1","2","0.99","1.11","1","2","1","1"
"2018","Sonstige","3","1","1","57","1","1","1","1","1","1","1","1","1","1","1"
"2018","Sonstige","4","1.03","1","65","1","1","1","1","2","0.94","1.12","1","2","1","1"
"2018","Sonstige","5 Einkommensstärkstes Quintil","1","1","30","1","1","1","1","1","1","1","1","1","1","1"
"2019","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","1.07","1","41","1","1","1","1","2","1","1.14","1","2","1","1"
"2019","(Ehe-)Paar ohne Kind(er)","2","1.04","1","64","1","1","1","1","2","0.98","1.1","1","2","1","1"
"2019","(Ehe-)Paar ohne Kind(er)","3","1.2","1","102","1","1","1","2","2","1.13","1.27","1","2","1","1"
"2019","(Ehe-)Paar ohne Kind(er)","4","1.06","1","168","1","1","1","1","2","1.03","1.09","1","2","1","1"
"2019","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","1.05","1","174","1","1","1","1","2","1","1.1","1","3","1","1"
"2019","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"2019","1-Pers.- Haushalt","2","","","","","","","","","","","","","",""
"2019","1-Pers.- Haushalt","3","","","","","","","","","","","","","",""
"2019","1-Pers.- Haushalt","4","1","1","48","1","1","1","1","1","1","1","1","1","1","1"
"2019","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"2019","Alleinerziehende","1 Einkommensschwächstes Quintil","1.13","1","77","1","1","1","2","2","1.07","1.19","1","2","1","1"
"2019","Alleinerziehende","2","1.05","1","58","1","1","1","1","2","0.93","1.17","1","2","1","1"
"2019","Alleinerziehende","3","1.01","1","48","1","1","1","1","1","0.93","1.09","1","2","1","1"
"2019","Alleinerziehende","4","1.14","1","36","1","1","1","2","2","1.01","1.27","1","2","1","1"
"2019","Alleinerziehende","5 Einkommensstärkstes Quintil","1.15","1","35","1","1","1","2","2","1.01","1.29","1","2","1","1"
"2019","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","1.18","1","464","1","1","1","1","4","1.12","1.24","1","4","1","1"
"2019","Paar mit Kind(ern)","2","1.13","1","248","1","1","1","2","2","1.09","1.17","1","2","1","1"
"2019","Paar mit Kind(ern)","3","1.02","1","153","1","1","1","1","2","0.99","1.05","1","2","1","1"
"2019","Paar mit Kind(ern)","4","1.01","1","163","1","1","1","1","1","0.94","1.08","1","3","1","1"
"2019","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","1.19","1","177","1","1","1","2","2","1.09","1.29","1","4","1","1"
"2019","Sonstige","1 Einkommensschwächstes Quintil","1.19","1","134","1","1","1","2","3","1.12","1.26","1","3","1","1"
"2019","Sonstige","2","1.86","1","51","1","1","4","4","4","1.57","2.15","1","4","1","1"
"2019","Sonstige","3","1.09","1","71","1","1","1","1","2","1","1.18","1","2","1","1"
"2019","Sonstige","4","1","1","67","1","1","1","1","1","1","1","1","1","1","1"
"2019","Sonstige","5 Einkommensstärkstes Quintil","1","1","56","1","1","1","1","1","0.94","1.06","1","2","1","1"
"2020","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","1.16","1","38","1","1","1","2","2","1.06","1.26","1","2","1","1"
"2020","(Ehe-)Paar ohne Kind(er)","2","1.13","1","50","1","1","1","2","2","1.02","1.24","1","2","1","1"
