year,quintil_oecd_hh,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2008,2nd Quintile,,,,,,,,,,,,
2008,3rd Quintile,,,,,,,,,,,,
2008,4th Quintile,,,,,,,,,,,,
2008,5th Quintile,,,,,,,,,,,,
2009,1st Quintile,,,,,,,,,,,,
2009,2nd Quintile,,,,,,,,,,,,
2009,3rd Quintile,,,,,,,,,,,,
2009,4th Quintile,,,,,,,,,,,,
2009,5th Quintile,,,,,,,,,,,,
2010,1st Quintile,,,,,,,,,,,,
2010,2nd Quintile,,,,,,,,,,,,
2010,3rd Quintile,,,,,,,,,,,,
2010,4th Quintile,,,,,,,,,,,,
2010,5th Quintile,,,,,,,,,,,,
2011,1st Quintile,,,,,,,,,,,,
2011,2nd Quintile,,,,,,,,,,,,
2011,3rd Quintile,,,,,,,,,,,,
2011,4th Quintile,,,,,,,,,,,,
2011,5th Quintile,,,,,,,,,,,,
2012,1st Quintile,,,,,,,,,,,,
2012,2nd Quintile,,,,,,,,,,,,
2012,3rd Quintile,,,,,,,,,,,,
2012,4th Quintile,,,,,,,,,,,,
2012,5th Quintile,,,,,,,,,,,,
2013,1st Quintile,,,,,,,,,,,,
2013,2nd Quintile,,,,,,,,,,,,
2013,3rd Quintile,,,,,,,,,,,,
2013,4th Quintile,,,,,,,,,,,,
2013,5th Quintile,,,,,,,,,,,,
2014,1st Quintile,,,,,,,,,,,,
2014,2nd Quintile,,,,,,,,,,,,
2014,3rd Quintile,,,,,,,,,,,,
2014,4th Quintile,,,,,,,,,,,,
2014,5th Quintile,,,,,,,,,,,,
2015,1st Quintile,,,,,,,,,,,,
2015,2nd Quintile,,,,,,,,,,,,
2015,3rd Quintile,,,,,,,,,,,,
2015,4th Quintile,,,,,,,,,,,,
2015,5th Quintile,,,,,,,,,,,,
2016,1st Quintile,117,1.0805102631503727,0.9537385528605449,1.1550065741547475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016,2nd Quintile,163,1.0444095977639893,0.9889407428938186,1.0803061255379507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016,3rd Quintile,141,1.0466514310700494,0.9928473994301992,1.08054772720492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016,4th Quintile,83,1.027267252257922,0.992537377639858,1.0528670576893657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016,5th Quintile,72,1.0489765931390482,0.9768104332857044,1.0979531862780965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,1st Quintile,234,1.049702307771337,0.9985554107996573,1.0843640100556613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,2nd Quintile,172,1.0322795027060843,0.9993707861536321,1.0551884131879439,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,3rd Quintile,135,1.0585644218408996,0.9828725638198073,1.1058486569080792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,4th Quintile,109,1.0488757119892929,0.9925352928492837,1.0878130155129186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,5th Quintile,76,1.0085261901214286,0.9905517425281549,1.0170523802428573,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,1st Quintile,323,1.0311583700115736,0.9952724472342342,1.048654688459771,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,2nd Quintile,203,1.0766647560502063,1.0270660925789337,1.1168414495129944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,3rd Quintile,134,1.025055677627867,0.995427832116798,1.0444575612861295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,4th Quintile,117,1.0731600153041598,1.0041696801154631,1.1265379244191693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,5th Quintile,78,1.0108311647515724,0.9871815044815129,1.0216623295031448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,1st Quintile,263,1.0618044384909202,1.0108846688863353,1.1006114951594876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,2nd Quintile,191,1.0585605103682951,1.0130046977406657,1.0936299942225938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,3rd Quintile,150,1.0719037867709957,0.998629014656357,1.1197004714529553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,4th Quintile,132,1.0732950096477625,1.0082238621391013,1.1232655451718727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,5th Quintile,95,1.022628223269575,0.9932039555919976,1.0452564465391498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,1st Quintile,299,1.0495008580539997,1.0095426112799089,1.083174826984944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,2nd Quintile,174,1.0468240265527742,1.0066015419702856,1.0737794559178786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,3rd Quintile,147,1.0703792843454971,1.0176141836865986,1.121212105845565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,4th Quintile,117,1.037792106437696,0.9826308134453703,1.0709864130881672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,5th Quintile,89,1.0648843155494538,0.9571466389635077,1.1293547753021926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021,1st Quintile,268,1.095769742059295,1.0219769362085895,1.1500545070379697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021,2nd Quintile,151,1.0650673276765872,1.0003812756698223,1.102770591663682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021,3rd Quintile,112,1.0299279628741929,0.9970657559969665,1.0550485401974337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021,4th Quintile,77,1.0561420142668647,0.9651918218036899,1.1122840285337294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021,5th Quintile,71,1.0100615329196525,0.981580122944923,1.020123065839305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
