year,bula_h,hhtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Single-person household,No,0.55863,31,31,0.38095,0.73632
1984,Schleswig-Holstein,Couple with children,Yes,0.81229,61,61,0.71348,0.91109
1984,Hamburg,Single-person household,No,0.78476,41,41,0.65740,0.91213
1984,Hamburg,Couple without children,No,0.87824,40,40,0.77561,0.98087
1984,Hamburg,Couple with children,No,0.57790,36,36,0.41428,0.74153
1984,Lower Saxony,Single-person household,Yes,0.42580,45,114,0.33463,0.51697
1984,Lower Saxony,Single-person household,No,0.55106,69,114,0.45935,0.64277
1984,Lower Saxony,Couple without children,Yes,0.59982,79,139,0.51807,0.68156
1984,Lower Saxony,Couple without children,No,0.38532,60,139,0.30412,0.46652
1984,Lower Saxony,Couple with children,Yes,0.80088,182,251,0.75137,0.85038
1984,Lower Saxony,Couple with children,No,0.18863,69,251,0.14013,0.23712
1984,North Rhine-Westphalia,Single-person household,Yes,0.31187,102,359,0.26388,0.35986
1984,North Rhine-Westphalia,Single-person household,No,0.66279,257,359,0.61382,0.71177
1984,North Rhine-Westphalia,Couple without children,Yes,0.48672,166,352,0.43443,0.53901
1984,North Rhine-Westphalia,Couple without children,No,0.50427,186,352,0.45197,0.55658
1984,North Rhine-Westphalia,Single parent,No,0.66412,60,60,0.54361,0.78464
1984,North Rhine-Westphalia,Couple with children,Yes,0.65412,410,715,0.61923,0.68901
1984,North Rhine-Westphalia,Couple with children,No,0.33710,305,715,0.30243,0.37178
1984,Hesse,Single-person household,Yes,0.37638,40,117,0.28821,0.46455
1984,Hesse,Single-person household,No,0.60132,77,117,0.51221,0.69042
1984,Hesse,Couple without children,Yes,0.58514,73,137,0.50233,0.66795
1984,Hesse,Couple without children,No,0.37261,64,137,0.29135,0.45387
1984,Hesse,Couple with children,Yes,0.65537,132,260,0.59749,0.71325
1984,Hesse,Couple with children,No,0.33178,128,260,0.27443,0.38912
1984,"Rhineland-Palatinate, Saarland",Single-person household,Yes,0.42808,31,74,0.31458,0.54159
1984,"Rhineland-Palatinate, Saarland",Single-person household,No,0.53104,43,74,0.41656,0.64552
1984,"Rhineland-Palatinate, Saarland",Couple without children,Yes,0.77424,76,76,0.67962,0.86886
1984,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.73964,108,160,0.67143,0.80785
1984,"Rhineland-Palatinate, Saarland",Couple with children,No,0.23079,52,160,0.16530,0.29628
1984,Baden-Wuerttemberg,Single-person household,Yes,0.35214,65,202,0.28611,0.41818
1984,Baden-Wuerttemberg,Single-person household,No,0.61476,137,202,0.54748,0.68203
1984,Baden-Wuerttemberg,Couple without children,Yes,0.59109,105,196,0.52209,0.66010
1984,Baden-Wuerttemberg,Couple without children,No,0.37417,91,196,0.30625,0.44209
1984,Baden-Wuerttemberg,Single parent,Yes,0.63359,34,34,0.46919,0.79798
1984,Baden-Wuerttemberg,Couple with children,Yes,0.69212,301,537,0.65304,0.73120
1984,Baden-Wuerttemberg,Couple with children,No,0.29762,236,537,0.25891,0.33633
