year,hhtyp,regtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Single-person household,Urban regions,Yes,0.31173,266,932,0.28198,0.34149
1985,Single-person household,Urban regions,No,0.65700,666,932,0.62650,0.68749
1985,Single-person household,Rural regions,Yes,0.48187,82,175,0.40763,0.55612
1985,Single-person household,Rural regions,No,0.49457,93,175,0.42028,0.56886
1985,Couple without children,Urban regions,Yes,0.49854,444,944,0.46663,0.53045
1985,Couple without children,Urban regions,No,0.47989,500,944,0.44800,0.51178
1985,Couple without children,Rural regions,Yes,0.72038,183,255,0.66518,0.77557
1985,Couple without children,Rural regions,No,0.26313,72,255,0.20898,0.31728
1985,Single parent,Urban regions,Yes,0.42318,87,226,0.35862,0.48774
1985,Single parent,Urban regions,No,0.55188,139,226,0.48690,0.61686
1985,Single parent,Rural regions,Yes,0.58961,36,36,0.42664,0.75258
1985,Couple with children,Urban regions,Yes,0.64907,1013,1840,0.62726,0.67089
1985,Couple with children,Urban regions,No,0.33540,827,1840,0.31382,0.35698
1985,Couple with children,Rural regions,Yes,0.82647,377,490,0.79290,0.86004
1985,Couple with children,Rural regions,No,0.16219,113,490,0.12952,0.19486
1985,Multi-generational household,Urban regions,Yes,0.77179,42,42,0.64333,0.90026
1985,Multi-generational household,Rural regions,Yes,0.83717,37,37,0.71657,0.95778
1985,Other Combinations,Urban regions,Yes,0.51829,46,97,0.41834,0.61825
1985,Other Combinations,Urban regions,No,0.46626,51,97,0.36647,0.56606
1986,Single-person household,Urban regions,Yes,0.30839,260,876,0.27779,0.33899
1986,Single-person household,Urban regions,No,0.65740,616,876,0.62595,0.68884
1986,Single-person household,Rural regions,Yes,0.52081,86,162,0.44365,0.59798
1986,Single-person household,Rural regions,No,0.43839,76,162,0.36175,0.51504
1986,Couple without children,Urban regions,Yes,0.50886,465,947,0.47700,0.54072
1986,Couple without children,Urban regions,No,0.46537,482,947,0.43358,0.49716
1986,Couple without children,Rural regions,Yes,0.71401,164,233,0.65586,0.77216
1986,Couple without children,Rural regions,No,0.27079,69,233,0.21361,0.32797
1986,Single parent,Urban regions,Yes,0.48815,95,216,0.42134,0.55497
1986,Single parent,Urban regions,No,0.48941,121,216,0.42259,0.55623
1986,Single parent,Rural regions,Yes,0.55383,33,33,0.38160,0.72607
1986,Couple with children,Urban regions,Yes,0.64024,948,1718,0.61754,0.66294
1986,Couple with children,Urban regions,No,0.34156,770,1718,0.31913,0.36400
1986,Couple with children,Rural regions,Yes,0.82777,364,471,0.79363,0.86190
1986,Couple with children,Rural regions,No,0.16289,107,471,0.12950,0.19627
1986,Multi-generational household,Urban regions,Yes,0.63026,38,71,0.51718,0.74335
1986,Multi-generational household,Urban regions,No,0.34190,33,71,0.23078,0.45302
1986,Multi-generational household,Rural regions,Yes,0.85930,36,36,0.74411,0.97450
1986,Other Combinations,Urban regions,Yes,0.53001,45,90,0.42631,0.63370
1986,Other Combinations,Urban regions,No,0.46801,45,90,0.36435,0.57168
1987,Single-person household,Urban regions,Yes,0.31421,266,883,0.28357,0.34484
1987,Single-person household,Urban regions,No,0.65849,617,883,0.62719,0.68979
1987,Single-person household,Rural regions,Yes,0.51755,87,163,0.44060,0.59450
1987,Single-person household,Rural regions,No,0.44588,76,163,0.36934,0.52242
1987,Couple without children,Urban regions,Yes,0.52101,471,929,0.48887,0.55315
1987,Couple without children,Urban regions,No,0.45616,458,929,0.42411,0.48821
1987,Couple without children,Rural regions,Yes,0.71244,166,240,0.65505,0.76982
1987,Couple without children,Rural regions,No,0.27249,74,240,0.21604,0.32894
1987,Single parent,Urban regions,Yes,0.51633,95,206,0.44792,0.58474
1987,Single parent,Urban regions,No,0.45597,111,206,0.38779,0.52415
1987,Single parent,Rural regions,Yes,0.58451,37,37,0.42353,0.74549
1987,Couple with children,Urban regions,Yes,0.63602,933,1688,0.61306,0.65898
1987,Couple with children,Urban regions,No,0.34826,755,1688,0.32553,0.37100
1987,Couple with children,Rural regions,Yes,0.82316,355,459,0.78822,0.85811
1987,Couple with children,Rural regions,No,0.16990,104,459,0.13550,0.20429
1987,Multi-generational household,Urban regions,Yes,0.62637,39,80,0.51969,0.73305
1987,Multi-generational household,Urban regions,No,0.34855,41,80,0.24347,0.45363
1987,Multi-generational household,Rural regions,Yes,0.82572,31,31,0.68997,0.96147
1987,Other Combinations,Urban regions,Yes,0.39984,36,91,0.29863,0.50104
