year,hhtyp,quintil_oecd_hh,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,1st Quintile,Yes,0.31222,91,318,0.26121,0.36323
1984,Single-person household,1st Quintile,No,0.64787,227,318,0.59529,0.70045
1984,Single-person household,2nd Quintile,Yes,0.33723,70,223,0.27504,0.39942
1984,Single-person household,2nd Quintile,No,0.61491,153,223,0.55089,0.67892
1984,Single-person household,3rd Quintile,Yes,0.32728,70,230,0.26651,0.38806
1984,Single-person household,3rd Quintile,No,0.65705,160,230,0.59557,0.71854
1984,Single-person household,4th Quintile,Yes,0.30461,67,235,0.24564,0.36358
1984,Single-person household,4th Quintile,No,0.68222,168,235,0.62256,0.74187
1984,Single-person household,5th Quintile,Yes,0.40611,89,223,0.34151,0.47071
1984,Single-person household,5th Quintile,No,0.55891,134,223,0.49360,0.62423
1984,Couple without children,1st Quintile,Yes,0.53946,81,162,0.46247,0.61645
1984,Couple without children,1st Quintile,No,0.44429,81,162,0.36754,0.52104
1984,Couple without children,2nd Quintile,Yes,0.50206,99,201,0.43276,0.57136
1984,Couple without children,2nd Quintile,No,0.47149,102,201,0.40230,0.54067
1984,Couple without children,3rd Quintile,Yes,0.48004,115,253,0.41836,0.54173
1984,Couple without children,3rd Quintile,No,0.49647,138,253,0.43474,0.55821
1984,Couple without children,4th Quintile,Yes,0.52949,144,293,0.47224,0.58674
1984,Couple without children,4th Quintile,No,0.45021,149,293,0.39314,0.50727
1984,Couple without children,5th Quintile,Yes,0.61470,243,411,0.56759,0.66181
1984,Couple without children,5th Quintile,No,0.36205,168,411,0.31553,0.40857
1984,Single parent,1st Quintile,Yes,0.28241,32,118,0.20084,0.36398
1984,Single parent,1st Quintile,No,0.68129,86,118,0.59685,0.76573
1984,Single parent,2nd Quintile,No,0.56508,45,45,0.41860,0.71157
1984,Couple with children,1st Quintile,Yes,0.55258,233,523,0.50992,0.59524
1984,Couple with children,1st Quintile,No,0.43289,290,523,0.39038,0.47539
1984,Couple with children,2nd Quintile,Yes,0.66430,338,614,0.62691,0.70168
1984,Couple with children,2nd Quintile,No,0.31920,276,614,0.28229,0.35610
1984,Couple with children,3rd Quintile,Yes,0.65946,337,571,0.62056,0.69837
1984,Couple with children,3rd Quintile,No,0.32654,234,571,0.28804,0.36504
1984,Couple with children,4th Quintile,Yes,0.71239,332,535,0.67400,0.75079
1984,Couple with children,4th Quintile,No,0.27587,203,535,0.23796,0.31378
1984,Couple with children,5th Quintile,Yes,0.80527,261,349,0.76367,0.84688
1984,Couple with children,5th Quintile,No,0.19135,88,349,0.15002,0.23268
1985,Single-person household,1st Quintile,Yes,0.32649,84,291,0.27252,0.38046
1985,Single-person household,1st Quintile,No,0.64021,207,291,0.58497,0.69545
1985,Single-person household,2nd Quintile,Yes,0.36072,67,193,0.29279,0.42865
1985,Single-person household,2nd Quintile,No,0.59105,126,193,0.52151,0.66060
1985,Single-person household,3rd Quintile,Yes,0.30724,55,203,0.24362,0.37086
1985,Single-person household,3rd Quintile,No,0.67821,148,203,0.61379,0.74263
1985,Single-person household,4th Quintile,Yes,0.33967,70,225,0.27765,0.40169
1985,Single-person household,4th Quintile,No,0.63537,155,225,0.57234,0.69841
1985,Single-person household,5th Quintile,Yes,0.39255,72,190,0.32293,0.46217
1985,Single-person household,5th Quintile,No,0.58300,118,190,0.51270,0.65329
1985,Couple without children,1st Quintile,Yes,0.52347,65,129,0.43695,0.61000
1985,Couple without children,1st Quintile,No,0.46553,64,129,0.37912,0.55195
1985,Couple without children,2nd Quintile,Yes,0.49730,92,194,0.42676,0.56784
1985,Couple without children,2nd Quintile,No,0.47523,102,194,0.40478,0.54569
1985,Couple without children,3rd Quintile,Yes,0.49526,101,219,0.42889,0.56163
1985,Couple without children,3rd Quintile,No,0.49644,118,219,0.43007,0.56281
1985,Couple without children,4th Quintile,Yes,0.56425,144,279,0.50596,0.62254
1985,Couple without children,4th Quintile,No,0.41808,135,279,0.36009,0.47606
1985,Couple without children,5th Quintile,Yes,0.61641,224,377,0.56726,0.66556
1985,Couple without children,5th Quintile,No,0.35443,153,377,0.30608,0.40278
1985,Single parent,1st Quintile,Yes,0.40360,38,103,0.30839,0.49881
1985,Single parent,1st Quintile,No,0.55170,65,103,0.45518,0.64821
1985,Single parent,2nd Quintile,No,0.66466,40,40,0.51649,0.81283
1985,Single parent,3rd Quintile,No,0.48805,31,31,0.30918,0.66692
1985,Couple with children,1st Quintile,Yes,0.58055,219,471,0.53594,0.62516
1985,Couple with children,1st Quintile,No,0.38818,252,471,0.34412,0.43224
1985,Couple with children,2nd Quintile,Yes,0.65036,312,547,0.61036,0.69036
1985,Couple with children,2nd Quintile,No,0.33716,235,547,0.29751,0.37682
1985,Couple with children,3rd Quintile,Yes,0.68449,313,531,0.64493,0.72406
1985,Couple with children,3rd Quintile,No,0.29552,218,531,0.25667,0.33436
1985,Couple with children,4th Quintile,Yes,0.75502,310,455,0.71546,0.79458
1985,Couple with children,4th Quintile,No,0.23728,145,455,0.19814,0.27641
1985,Couple with children,5th Quintile,Yes,0.78769,236,326,0.74323,0.83215
1985,Couple with children,5th Quintile,No,0.20937,90,326,0.16513,0.25360
1986,Single-person household,1st Quintile,Yes,0.32996,83,270,0.27377,0.38615
1986,Single-person household,1st Quintile,No,0.64008,187,270,0.58272,0.69744
1986,Single-person household,2nd Quintile,Yes,0.35188,60,179,0.28172,0.42204
1986,Single-person household,2nd Quintile,No,0.61097,119,179,0.53934,0.68259
1986,Single-person household,3rd Quintile,Yes,0.35572,67,199,0.28904,0.42241
1986,Single-person household,3rd Quintile,No,0.61956,132,199,0.55194,0.68719
1986,Single-person household,4th Quintile,Yes,0.31694,63,213,0.25431,0.37958
