year,hhtyp,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,West,Yes,0.33444,391,1247,0.30825,0.36064
1984,Single-person household,West,No,0.63334,856,1247,0.60659,0.66010
1984,Couple without children,West,Yes,0.54232,683,1321,0.51544,0.56919
1984,Couple without children,West,No,0.43540,638,1321,0.40865,0.46215
1984,Single parent,West,Yes,0.43447,127,320,0.38008,0.48887
1984,Single parent,West,No,0.54597,193,320,0.49133,0.60061
1984,Couple with children,West,Yes,0.68096,1501,2593,0.66301,0.69890
1984,Couple with children,West,No,0.30670,1092,2593,0.28894,0.32445
1984,Multi-generational household,West,Yes,0.78503,85,126,0.71301,0.85704
1984,Multi-generational household,West,No,0.20413,41,126,0.13347,0.27479
1984,Other Combinations,West,Yes,0.57267,68,133,0.48828,0.65706
1984,Other Combinations,West,No,0.42662,65,133,0.34224,0.51099
1985,Single-person household,West,Yes,0.34237,348,1107,0.31441,0.37034
1985,Single-person household,West,No,0.62774,759,1107,0.59925,0.65623
1985,Couple without children,West,Yes,0.55125,627,1199,0.52309,0.57942
1985,Couple without children,West,No,0.42839,572,1199,0.40036,0.45641
1985,Single parent,West,Yes,0.46466,123,286,0.40675,0.52256
1985,Single parent,West,No,0.51273,163,286,0.45470,0.57076
1985,Couple with children,West,Yes,0.69381,1390,2330,0.67509,0.71253
1985,Couple with children,West,No,0.29172,940,2330,0.27326,0.31018
1985,Multi-generational household,West,Yes,0.80361,79,113,0.73004,0.87719
1985,Multi-generational household,West,No,0.18153,34,113,0.11015,0.25292
1985,Other Combinations,West,Yes,0.57503,64,121,0.48658,0.66348
1985,Other Combinations,West,No,0.41307,57,121,0.32497,0.50117
1986,Single-person household,West,Yes,0.34713,346,1038,0.31816,0.37611
1986,Single-person household,West,No,0.61745,692,1038,0.58787,0.64703
1986,Couple without children,West,Yes,0.55320,629,1180,0.52482,0.58158
1986,Couple without children,West,No,0.42331,551,1180,0.39511,0.45152
1986,Single parent,West,Yes,0.50495,128,274,0.44564,0.56426
1986,Single parent,West,No,0.46477,146,274,0.40560,0.52393
1986,Couple with children,West,Yes,0.68785,1312,2189,0.66844,0.70727
1986,Couple with children,West,No,0.29620,877,2189,0.27707,0.31533
1986,Multi-generational household,West,Yes,0.73686,74,114,0.65567,0.81805
1986,Multi-generational household,West,No,0.24826,40,114,0.16861,0.32791
1986,Other Combinations,West,Yes,0.61216,68,117,0.52349,0.70083
1986,Other Combinations,West,No,0.38638,49,117,0.29777,0.47499
1987,Single-person household,West,Yes,0.34982,353,1046,0.32090,0.37874
1987,Single-person household,West,No,0.62125,693,1046,0.59184,0.65067
1987,Couple without children,West,Yes,0.56372,637,1169,0.53528,0.59216
1987,Couple without children,West,No,0.41518,532,1169,0.38692,0.44344
1987,Single parent,West,Yes,0.53499,132,268,0.47516,0.59481
1987,Single parent,West,No,0.42999,136,268,0.37060,0.48937
1987,Couple with children,West,Yes,0.68354,1288,2147,0.66386,0.70322
1987,Couple with children,West,No,0.30297,859,2147,0.28353,0.32242
1987,Multi-generational household,West,Yes,0.70935,70,119,0.62742,0.79128
1987,Multi-generational household,West,No,0.27601,49,119,0.19536,0.35667
1987,Other Combinations,West,Yes,0.48602,52,110,0.39219,0.57985
1987,Other Combinations,West,No,0.51127,58,110,0.41743,0.60511
1988,Single-person household,West,Yes,0.38828,384,1013,0.35826,0.41831
1988,Single-person household,West,No,0.58882,629,1013,0.55850,0.61913
1988,Couple without children,West,Yes,0.56286,617,1143,0.53409,0.59163
1988,Couple without children,West,No,0.41340,526,1143,0.38484,0.44196
1988,Single parent,West,Yes,0.56095,137,264,0.50097,0.62092
1988,Single parent,West,No,0.39609,127,264,0.33698,0.45520
1988,Couple with children,West,Yes,0.69581,1243,2051,0.67590,0.71573
1988,Couple with children,West,No,0.29324,808,2051,0.27353,0.31294
1988,Multi-generational household,West,Yes,0.71150,61,99,0.62180,0.80121
1988,Multi-generational household,West,No,0.24210,38,99,0.15729,0.32691
1988,Other Combinations,West,Yes,0.54436,48,95,0.44368,0.64504
1988,Other Combinations,West,No,0.45457,47,95,0.35391,0.55523
1989,Single-person household,West,Yes,0.37570,375,1011,0.34584,0.40557
1989,Single-person household,West,No,0.59627,636,1011,0.56601,0.62653
1989,Couple without children,West,Yes,0.56574,620,1134,0.53688,0.59460
1989,Couple without children,West,No,0.41320,514,1134,0.38453,0.44187
1989,Single parent,West,Yes,0.60616,140,249,0.54535,0.66697
1989,Single parent,West,No,0.36446,109,249,0.30456,0.42436
1989,Couple with children,West,Yes,0.70260,1193,1964,0.68237,0.72282
1989,Couple with children,West,No,0.28444,771,1964,0.26448,0.30440
1989,Multi-generational household,West,Yes,0.71966,63,104,0.63292,0.80641
1989,Multi-generational household,West,No,0.20086,41,104,0.12349,0.27824
1989,Other Combinations,West,Yes,0.62128,50,86,0.51816,0.72440
1989,Other Combinations,West,No,0.37571,36,86,0.27275,0.47867
1990,Single-person household,West,Yes,0.37764,369,973,0.34716,0.40812
1990,Single-person household,West,No,0.59319,604,973,0.56231,0.62407
1990,Single-person household,East,Yes,0.28988,94,94,0.19767,0.38210
1990,Couple without children,West,Yes,0.58252,659,1156,0.55408,0.61096
1990,Couple without children,West,No,0.39163,497,1156,0.36348,0.41978
1990,Couple without children,East,Yes,0.50167,241,241,0.43841,0.56493
1990,Single parent,West,Yes,0.62355,143,248,0.56312,0.68397
1990,Single parent,West,No,0.33182,105,248,0.27310,0.39055
1990,Single parent,East,Yes,0.25779,33,33,0.10623,0.40935
1990,Couple with children,West,Yes,0.69607,1159,1911,0.67544,0.71669
1990,Couple with children,West,No,0.28957,752,1911,0.26923,0.30992
1990,Couple with children,East,Yes,0.49951,565,565,0.45825,0.54078
1990,Multi-generational household,West,Yes,0.77509,67,111,0.69707,0.85312
1990,Multi-generational household,West,No,0.19888,44,111,0.12429,0.27348
1990,Multi-generational household,East,Yes,0.65591,41,41,0.50868,0.80314
1990,Other Combinations,West,Yes,0.58160,49,83,0.47483,0.68837
1990,Other Combinations,West,No,0.38397,34,83,0.27870,0.48924
1990,Other Combinations,East,Yes,0.60161,35,35,0.43705,0.76617
1991,Single-person household,West,Yes,0.35953,355,998,0.32974,0.38932
1991,Single-person household,West,No,0.63016,643,998,0.60019,0.66013
1991,Single-person household,East,Yes,0.27979,80,267,0.22584,0.33374
1991,Single-person household,East,No,0.65735,187,267,0.60032,0.71439
1991,Couple without children,West,Yes,0.60637,679,1203,0.57875,0.63399
1991,Couple without children,West,No,0.38843,524,1203,0.36088,0.41599
1991,Couple without children,East,Yes,0.52729,235,436,0.48037,0.57420
1991,Couple without children,East,No,0.45062,201,436,0.40387,0.49738
1991,Single parent,West,Yes,0.63157,155,269,0.57382,0.68933
1991,Single parent,West,No,0.36113,114,269,0.30362,0.41864
1991,Single parent,East,No,0.70068,78,78,0.59839,0.80297
1991,Couple with children,West,Yes,0.73749,1216,1949,0.71795,0.75703
1991,Couple with children,West,No,0.26070,733,1949,0.24120,0.28019
1991,Couple with children,East,Yes,0.49353,528,1022,0.46286,0.52420
1991,Couple with children,East,No,0.49117,494,1022,0.46051,0.52184
1991,Multi-generational household,West,Yes,0.88382,72,109,0.82338,0.94425
1991,Multi-generational household,West,No,0.11618,37,109,0.05575,0.17662
1991,Other Combinations,West,Yes,0.54956,50,94,0.44844,0.65068
1991,Other Combinations,West,No,0.45044,44,94,0.34932,0.55156
1991,Other Combinations,East,Yes,0.62496,36,36,0.46456,0.78535
1992,Single-person household,West,Yes,0.36713,360,984,0.33699,0.39726
1992,Single-person household,West,No,0.61068,624,984,0.58020,0.64116
1992,Single-person household,East,Yes,0.28976,86,270,0.23554,0.34397
1992,Single-person household,East,No,0.62053,184,270,0.56254,0.67852
1992,Couple without children,West,Yes,0.61130,689,1206,0.58378,0.63882
1992,Couple without children,West,No,0.37335,517,1206,0.34604,0.40066
1992,Couple without children,East,Yes,0.49512,231,439,0.44830,0.54195
1992,Couple without children,East,No,0.43757,208,439,0.39111,0.48403
1992,Single parent,West,Yes,0.60269,146,268,0.54400,0.66139
1992,Single parent,West,No,0.38211,122,268,0.32382,0.44039
1992,Single parent,East,Yes,0.29706,35,117,0.21390,0.38022
1992,Single parent,East,No,0.66805,82,117,0.58235,0.75375
1992,Couple with children,West,Yes,0.73645,1203,1927,0.71678,0.75613
1992,Couple with children,West,No,0.25795,724,1927,0.23841,0.27749
1992,Couple with children,East,Yes,0.48239,471,915,0.44999,0.51479
1992,Couple with children,East,No,0.45903,444,915,0.42673,0.49134
1992,Multi-generational household,West,Yes,0.88542,69,105,0.82420,0.94663
1992,Multi-generational household,West,No,0.11458,36,105,0.05337,0.17580
1992,Other Combinations,West,Yes,0.52062,52,101,0.42271,0.61854
1992,Other Combinations,West,No,0.46764,49,101,0.36984,0.56543
1992,Other Combinations,East,Yes,0.54568,35,35,0.37831,0.71304
1993,Single-person household,West,Yes,0.38251,399,1030,0.35282,0.41221
1993,Single-person household,West,No,0.58377,631,1030,0.55365,0.61389
1993,Single-person household,East,Yes,0.28460,86,266,0.23027,0.33893
1993,Single-person household,East,No,0.59463,180,266,0.53552,0.65374
1993,Couple without children,West,Yes,0.59250,692,1206,0.56476,0.62025
1993,Couple without children,West,No,0.36796,514,1206,0.34073,0.39519
1993,Couple without children,East,Yes,0.52104,238,455,0.47509,0.56700
1993,Couple without children,East,No,0.43166,217,455,0.38610,0.47722
1993,Single parent,West,Yes,0.57772,138,254,0.51686,0.63858
1993,Single parent,West,No,0.40797,116,254,0.34741,0.46853
1993,Single parent,East,Yes,0.32677,37,113,0.23990,0.41363
1993,Single parent,East,No,0.60515,76,113,0.51462,0.69568
1993,Couple with children,West,Yes,0.74618,1182,1875,0.72648,0.76589
1993,Couple with children,West,No,0.24003,693,1875,0.22069,0.25937
1993,Couple with children,East,Yes,0.49427,446,855,0.46074,0.52780
1993,Couple with children,East,No,0.44861,409,855,0.41525,0.48196
1993,Multi-generational household,West,Yes,0.84927,72,110,0.78210,0.91644
1993,Multi-generational household,West,No,0.15073,38,110,0.08356,0.21790
1993,Other Combinations,West,Yes,0.47387,54,103,0.37697,0.57077
1993,Other Combinations,West,No,0.47775,49,103,0.38081,0.57469
1994,Single-person household,West,Yes,0.40426,415,1004,0.37389,0.43464
1994,Single-person household,West,No,0.55682,589,1004,0.52607,0.58756
1994,Single-person household,East,Yes,0.29814,95,281,0.24456,0.35172
1994,Single-person household,East,No,0.58675,186,281,0.52907,0.64443
1994,Couple without children,West,Yes,0.60082,715,1233,0.57347,0.62816
1994,Couple without children,West,No,0.35367,518,1233,0.32698,0.38037
1994,Couple without children,East,Yes,0.50445,238,468,0.45910,0.54979
1994,Couple without children,East,No,0.43766,230,468,0.39267,0.48266
1994,Single parent,West,Yes,0.55735,134,250,0.49565,0.61904
1994,Single parent,West,No,0.42148,116,250,0.36014,0.48281
1994,Single parent,East,Yes,0.35475,35,103,0.26190,0.44760
1994,Single parent,East,No,0.59503,68,103,0.49976,0.69029
1994,Couple with children,West,Yes,0.73284,1141,1813,0.71247,0.75322
1994,Couple with children,West,No,0.24388,672,1813,0.22411,0.26365
1994,Couple with children,East,Yes,0.49257,429,815,0.45823,0.52692
1994,Couple with children,East,No,0.45279,386,815,0.41860,0.48699
