"pgoeffd","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"ja","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1253","0.259675656393508","0.247247252643523","0.272104060143492"
"ja","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","242","0.142963779040787","0.128605323309711","0.157322234771863"
"ja","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"ja","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1984","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3528","0.740324343606492","0.727895939856508","0.752752747356477"
"nein","1984","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1984","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","2041","0.857036220959213","0.842677765228137","0.871394676690289"
"nein","1984","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1984","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","60","0.793963797265847","0.697117547410115","0.89081004712158"
"nein","1984","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","1166","0.271933502347667","0.258522966538294","0.285344038157041"
"ja","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","196","0.133532131763569","0.118065549408192","0.148998714118945"
"ja","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","","","",""
"ja","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1985","kein Migrationshintergrund","Westdeutschland, alte Bundeslaender","3063","0.728066497652333","0.714655961842959","0.741477033461706"
"nein","1985","kein Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1985","direkter Migrationshintergrund","Westdeutschland, alte Bundeslaender","1662","0.866467868236431","0.851001285881055","0.881934450591808"
"nein","1985","direkter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1985","indirekter Migrationshintergrund","Westdeutschland, alte Bundeslaender","53","0.741182703462327","0.632161359256902","0.850204047667753"
"nein","1985","indirekter Migrationshintergrund","Ostdeutschland, neue Bundeslaender","","","",""
