"pgoeffd","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"ja","1984","Schleswig-Holstein","kein Migrationshintergrund","48","0.239039853016731","0.179633675495944","0.298446030537519"
"ja","1984","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"ja","1984","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"ja","1984","Hamburg","kein Migrationshintergrund","","","",""
"ja","1984","Hamburg","direkter Migrationshintergrund","","","",""
"ja","1984","Hamburg","indirekter Migrationshintergrund","","","",""
"ja","1984","Niedersachsen","kein Migrationshintergrund","154","0.283400754339121","0.24560087235265","0.321200636325591"
"ja","1984","Niedersachsen","direkter Migrationshintergrund","","","",""
"ja","1984","Niedersachsen","indirekter Migrationshintergrund","","","",""
"ja","1984","Bremen","kein Migrationshintergrund","","","",""
"ja","1984","Bremen","direkter Migrationshintergrund","","","",""
"ja","1984","Bremen","indirekter Migrationshintergrund","","","",""
"ja","1984","Nordrhein-Westfalen","kein Migrationshintergrund","329","0.269982673943343","0.245071011718983","0.294894336167704"
"ja","1984","Nordrhein-Westfalen","direkter Migrationshintergrund","57","0.12571483149408","0.0987804868454705","0.15264917614269"
"ja","1984","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"ja","1984","Hessen","kein Migrationshintergrund","128","0.290528440254505","0.24766655418222","0.333390326326789"
"ja","1984","Hessen","direkter Migrationshintergrund","38","0.115834937183158","0.0806055637894391","0.151064310576876"
"ja","1984","Hessen","indirekter Migrationshintergrund","","","",""
"ja","1984","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","89","0.252757519948609","0.206698164382902","0.298816875514316"
"ja","1984","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"ja","1984","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"ja","1984","Baden-Wuerttemberg","kein Migrationshintergrund","180","0.224391610146053","0.195170832699566","0.253612387592539"
"ja","1984","Baden-Wuerttemberg","direkter Migrationshintergrund","52","0.120371637112508","0.0951814860429928","0.145561788182023"
"ja","1984","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"ja","1984","Bayern","kein Migrationshintergrund","216","0.224965186865573","0.19822917906611","0.251701194665035"
"ja","1984","Bayern","direkter Migrationshintergrund","35","0.194600647040894","0.15095084003275","0.238250454049038"
"ja","1984","Bayern","indirekter Migrationshintergrund","","","",""
"ja","1984","Saarland","kein Migrationshintergrund","","","",""
"ja","1984","Saarland","direkter Migrationshintergrund","","","",""
"ja","1984","Saarland","indirekter Migrationshintergrund","","","",""
"ja","1984","Berlin","kein Migrationshintergrund","73","0.414288106064807","0.341718508943668","0.486857703185946"
"ja","1984","Berlin","direkter Migrationshintergrund","","","",""
"ja","1984","Berlin","indirekter Migrationshintergrund","","","",""
"ja","1984","Brandenburg","kein Migrationshintergrund","","","",""
"ja","1984","Brandenburg","direkter Migrationshintergrund","","","",""
"ja","1984","Brandenburg","indirekter Migrationshintergrund","","","",""
"ja","1984","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"ja","1984","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"ja","1984","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"ja","1984","Sachsen","kein Migrationshintergrund","","","",""
"ja","1984","Sachsen","direkter Migrationshintergrund","","","",""
"ja","1984","Sachsen","indirekter Migrationshintergrund","","","",""
"ja","1984","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"ja","1984","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"ja","1984","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"ja","1984","Thueringen","kein Migrationshintergrund","","","",""
"ja","1984","Thueringen","direkter Migrationshintergrund","","","",""
"ja","1984","Thueringen","indirekter Migrationshintergrund","","","",""
"nein","1984","Schleswig-Holstein","kein Migrationshintergrund","150","0.760960146983269","0.701553969462481","0.820366324504057"
"nein","1984","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"nein","1984","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"nein","1984","Hamburg","kein Migrationshintergrund","84","0.736719139359192","0.655154916899925","0.818283361818459"
"nein","1984","Hamburg","direkter Migrationshintergrund","44","0.646976210658319","0.531678080186379","0.762274341130259"
"nein","1984","Hamburg","indirekter Migrationshintergrund","","","",""
