year,age_gr,regtyp,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,At least once per week,0.24251,569,2461,0.22557,0.25945
1985,17-29 y.,Urban regions,At least once per month,0.31688,691,2461,0.29849,0.33527
1985,17-29 y.,Urban regions,Seldom,0.32396,798,2461,0.30547,0.34245
1985,17-29 y.,Urban regions,Never,0.10957,403,2461,0.09723,0.12191
1985,17-29 y.,Rural regions,At least once per week,0.29574,179,648,0.26057,0.33091
1985,17-29 y.,Rural regions,At least once per month,0.25278,160,648,0.21929,0.28627
1985,17-29 y.,Rural regions,Seldom,0.34280,216,648,0.30622,0.37937
1985,17-29 y.,Rural regions,Never,0.10309,93,648,0.07966,0.12652
1985,30-45 y.,Urban regions,At least once per week,0.05819,152,2730,0.04941,0.06697
1985,30-45 y.,Urban regions,At least once per month,0.13754,340,2730,0.12462,0.15047
1985,30-45 y.,Urban regions,Seldom,0.47253,1118,2730,0.45380,0.49127
1985,30-45 y.,Urban regions,Never,0.32363,1120,2730,0.30607,0.34118
1985,30-45 y.,Rural regions,At least once per week,0.05470,37,716,0.03803,0.07137
1985,30-45 y.,Rural regions,At least once per month,0.11679,80,716,0.09325,0.14033
1985,30-45 y.,Rural regions,Seldom,0.50626,349,716,0.46961,0.54291
1985,30-45 y.,Rural regions,Never,0.31103,250,716,0.27710,0.34496
1985,46-65 y.,Urban regions,At least once per week,0.02508,59,2570,0.01903,0.03113
1985,46-65 y.,Urban regions,At least once per month,0.05758,149,2570,0.04857,0.06659
1985,46-65 y.,Urban regions,Seldom,0.28312,701,2570,0.26570,0.30054
1985,46-65 y.,Urban regions,Never,0.62127,1661,2570,0.60251,0.64002
1985,46-65 y.,Rural regions,Seldom,0.27075,191,639,0.23627,0.30523
1985,46-65 y.,Rural regions,Never,0.64751,448,639,0.61044,0.68458
1985,66 and older,Urban regions,Seldom,0.07565,70,780,0.05708,0.09422
1985,66 and older,Urban regions,Never,0.88236,710,780,0.85974,0.90499
1985,66 and older,Rural regions,Never,0.91777,266,266,0.88469,0.95084
1986,17-29 y.,Urban regions,At least once per week,0.21982,506,2408,0.20327,0.23636
1986,17-29 y.,Urban regions,At least once per month,0.35557,774,2408,0.33644,0.37469
1986,17-29 y.,Urban regions,Seldom,0.31742,753,2408,0.29883,0.33602
1986,17-29 y.,Urban regions,Never,0.10583,375,2408,0.09354,0.11812
1986,17-29 y.,Rural regions,At least once per week,0.31475,188,641,0.27877,0.35073
1986,17-29 y.,Rural regions,At least once per month,0.29730,185,641,0.26188,0.33271
1986,17-29 y.,Rural regions,Seldom,0.28017,181,641,0.24538,0.31496
1986,17-29 y.,Rural regions,Never,0.10779,87,641,0.08376,0.13181
1986,30-45 y.,Urban regions,At least once per week,0.06227,142,2581,0.05294,0.07159
1986,30-45 y.,Urban regions,At least once per month,0.13080,309,2581,0.11779,0.14381
1986,30-45 y.,Urban regions,Seldom,0.47072,1088,2581,0.45146,0.48998
1986,30-45 y.,Urban regions,Never,0.33026,1042,2581,0.31211,0.34841
1986,30-45 y.,Rural regions,At least once per week,0.05535,34,666,0.03797,0.07272
1986,30-45 y.,Rural regions,At least once per month,0.11373,63,666,0.08960,0.13786
1986,30-45 y.,Rural regions,Seldom,0.50763,317,666,0.46963,0.54562
1986,30-45 y.,Rural regions,Never,0.31278,252,666,0.27754,0.34802
1986,46-65 y.,Urban regions,At least once per week,0.02666,65,2521,0.02037,0.03295
1986,46-65 y.,Urban regions,At least once per month,0.05520,138,2521,0.04628,0.06411
1986,46-65 y.,Urban regions,Seldom,0.28519,691,2521,0.26756,0.30282
1986,46-65 y.,Urban regions,Never,0.61917,1627,2521,0.60021,0.63813
1986,46-65 y.,Rural regions,Seldom,0.30795,207,616,0.27147,0.34444
1986,46-65 y.,Rural regions,Never,0.60430,409,616,0.56565,0.64295
1986,66 and older,Urban regions,Seldom,0.07728,64,734,0.05795,0.09662
1986,66 and older,Urban regions,Never,0.88871,670,734,0.86594,0.91148
1986,66 and older,Rural regions,Never,0.90840,244,244,0.87213,0.94467
1988,17-29 y.,Urban regions,At least once per week,0.21736,486,2288,0.20046,0.23427
1988,17-29 y.,Urban regions,At least once per month,0.36119,758,2288,0.34150,0.38088
1988,17-29 y.,Urban regions,Seldom,0.31492,668,2288,0.29589,0.33396
1988,17-29 y.,Urban regions,Never,0.10332,376,2288,0.09085,0.11580
1988,17-29 y.,Rural regions,At least once per week,0.28952,158,576,0.25244,0.32659
1988,17-29 y.,Rural regions,At least once per month,0.33960,186,576,0.30089,0.37831
1988,17-29 y.,Rural regions,Seldom,0.27413,154,576,0.23767,0.31059
1988,17-29 y.,Rural regions,Never,0.09604,78,576,0.07195,0.12012
1988,30-45 y.,Urban regions,At least once per week,0.05051,102,2316,0.04159,0.05943
1988,30-45 y.,Urban regions,At least once per month,0.15528,314,2316,0.14052,0.17003
1988,30-45 y.,Urban regions,Seldom,0.48981,994,2316,0.46945,0.51018
1988,30-45 y.,Urban regions,Never,0.29616,906,2316,0.27756,0.31476
1988,30-45 y.,Rural regions,At least once per week,0.05096,31,611,0.03351,0.06841
1988,30-45 y.,Rural regions,At least once per month,0.15319,81,611,0.12460,0.18177
1988,30-45 y.,Rural regions,Seldom,0.49090,286,611,0.45123,0.53058
1988,30-45 y.,Rural regions,Never,0.28881,213,611,0.25285,0.32478
1988,46-65 y.,Urban regions,At least once per week,0.02836,60,2452,0.02179,0.03493
1988,46-65 y.,Urban regions,At least once per month,0.05575,123,2452,0.04667,0.06483
1988,46-65 y.,Urban regions,Seldom,0.30072,689,2452,0.28257,0.31888
1988,46-65 y.,Urban regions,Never,0.60087,1580,2452,0.58148,0.62025
1988,46-65 y.,Rural regions,At least once per month,0.06929,45,604,0.04902,0.08956
1988,46-65 y.,Rural regions,Seldom,0.31343,195,604,0.27640,0.35046
1988,46-65 y.,Rural regions,Never,0.57731,364,604,0.53789,0.61674
1988,66 and older,Urban regions,Seldom,0.10557,84,751,0.08358,0.12757
1988,66 and older,Urban regions,Never,0.85709,667,751,0.83204,0.88214
1988,66 and older,Rural regions,Never,0.88592,227,227,0.84448,0.92737
1990,17-29 y.,Urban regions,At least once per week,0.17604,446,2504,0.16112,0.19096
1990,17-29 y.,Urban regions,At least once per month,0.35034,810,2504,0.33165,0.36903
1990,17-29 y.,Urban regions,Seldom,0.35113,816,2504,0.33243,0.36983
1990,17-29 y.,Urban regions,Never,0.11711,432,2504,0.10452,0.12971
1990,17-29 y.,Rural regions,At least once per week,0.25568,335,1310,0.23204,0.27931
1990,17-29 y.,Rural regions,At least once per month,0.29250,352,1310,0.26786,0.31715
1990,17-29 y.,Rural regions,Seldom,0.33531,464,1310,0.30973,0.36088
1990,17-29 y.,Rural regions,Never,0.10830,159,1310,0.09147,0.12514
1990,30-45 y.,Urban regions,At least once per week,0.02528,66,2724,0.01938,0.03117
1990,30-45 y.,Urban regions,At least once per month,0.15090,353,2724,0.13745,0.16434
1990,30-45 y.,Urban regions,Seldom,0.49672,1248,2724,0.47794,0.51550
1990,30-45 y.,Urban regions,Never,0.32475,1057,2724,0.30716,0.34234
1990,30-45 y.,Rural regions,At least once per week,0.02465,36,1526,0.01687,0.03243
1990,30-45 y.,Rural regions,At least once per month,0.11217,168,1526,0.09633,0.12801
1990,30-45 y.,Rural regions,Seldom,0.59648,925,1526,0.57185,0.62110
1990,30-45 y.,Rural regions,Never,0.26394,397,1526,0.24182,0.28606
1990,46-65 y.,Urban regions,At least once per month,0.05236,149,2748,0.04403,0.06069
1990,46-65 y.,Urban regions,Seldom,0.28732,768,2748,0.27040,0.30424
1990,46-65 y.,Urban regions,Never,0.64891,1831,2748,0.63106,0.66676
1990,46-65 y.,Rural regions,At least once per month,0.04849,68,1423,0.03732,0.05965
1990,46-65 y.,Rural regions,Seldom,0.37463,585,1423,0.34947,0.39979
1990,46-65 y.,Rural regions,Never,0.56575,770,1423,0.53999,0.59151
1990,66 and older,Urban regions,Seldom,0.06982,66,889,0.05306,0.08658
1990,66 and older,Urban regions,Never,0.90672,823,889,0.88759,0.92585
