,Unnamed: 0,year,migback,sampreg,plb0021,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,No migration background,West,Yes,0.04066,325,10859,0.03947,0.04193
1,1,1985,No migration background,West,No,0.95934,7574,10859,0.95345,0.96721
2,2,1985,Direct migration background,West,Yes,0.07003,218,10859,0.0601,0.0797
3,3,1985,Direct migration background,West,No,0.92997,2614,10859,0.89381,0.97247
4,4,1985,Indirect migration background,West,No,1.0,128,10859,0.80372,1.24115
5,5,1986,No migration background,West,Yes,0.03921,300,10383,0.03733,0.041
6,6,1986,No migration background,West,No,0.96079,7180,10383,0.95211,0.96906
7,7,1986,Direct migration background,West,Yes,0.06848,208,10383,0.05724,0.0786
8,8,1986,Direct migration background,West,No,0.93152,2552,10383,0.89445,0.96966
9,9,1986,Indirect migration background,West,No,1.0,143,10383,0.77158,1.24363
10,10,1987,No migration background,West,Yes,0.03662,276,10345,0.03486,0.03831
11,11,1987,No migration background,West,No,0.96338,7110,10345,0.95585,0.97116
12,12,1987,Direct migration background,West,Yes,0.06601,215,10345,0.05659,0.07513
13,13,1987,Direct migration background,West,No,0.93399,2582,10345,0.89468,0.97322
14,14,1987,Indirect migration background,West,No,1.0,162,10345,0.8015,1.21294
15,15,1988,No migration background,West,Yes,0.03893,273,9806,0.03703,0.04099
16,16,1988,No migration background,West,No,0.96107,6730,9806,0.95213,0.97016
17,17,1988,Direct migration background,West,Yes,0.07028,210,9806,0.05972,0.08125
18,18,1988,Direct migration background,West,No,0.92972,2388,9806,0.88071,0.97114
19,19,1988,Indirect migration background,West,No,1.0,205,9806,0.8301,1.19035
20,20,1989,No migration background,West,Yes,0.03139,220,8798,0.02954,0.03345
21,21,1989,No migration background,West,No,0.96861,6359,8798,0.95907,0.97701
22,22,1989,Direct migration background,West,Yes,0.0562,129,8798,0.04716,0.06616
23,23,1989,Direct migration background,West,No,0.9438,1905,8798,0.90666,0.99864
24,24,1989,Indirect migration background,West,No,1.0,185,8798,0.82854,1.16814
25,25,1990,No migration background,West,Yes,0.02926,187,9105,0.02729,0.03148
26,26,1990,No migration background,West,No,0.97074,6233,9105,0.95969,0.98022
27,27,1990,Direct migration background,West,Yes,0.05557,148,9105,0.04606,0.06481
28,28,1990,Direct migration background,West,No,0.94443,2258,9105,0.90312,0.98625
29,29,1990,Indirect migration background,West,No,1.0,279,9105,0.87147,1.13935
30,30,1991,No migration background,West,Yes,0.02643,176,13323,0.02429,0.02838
31,31,1991,No migration background,West,No,0.97357,6328,13323,0.96128,0.98369
32,32,1991,No migration background,East,Yes,0.09467,388,13323,0.08959,0.09943
33,33,1991,No migration background,East,No,0.90533,3576,13323,0.88844,0.92122
34,34,1991,Direct migration background,West,Yes,0.05808,162,13323,0.04902,0.06656
35,35,1991,Direct migration background,West,No,0.94192,2248,13323,0.89495,0.98724
36,36,1991,Direct migration background,East,No,1.0,123,13323,0.93049,1.06523
37,37,1991,Indirect migration background,West,No,1.0,322,13323,0.88921,1.1254
38,38,1992,No migration background,West,Yes,0.02829,175,12981,0.02625,0.03054
39,39,1992,No migration background,West,No,0.97171,6191,12981,0.95776,0.98583
40,40,1992,No migration background,East,Yes,0.14545,547,12981,0.13975,0.1522
41,41,1992,No migration background,East,No,0.85455,3214,12981,0.83926,0.87348
42,42,1992,Direct migration background,West,Yes,0.0651,171,12981,0.05689,0.07634
43,43,1992,Direct migration background,West,No,0.9349,2190,12981,0.89462,0.97338
44,44,1992,Direct migration background,East,No,1.0,121,12981,0.93114,1.06949
45,45,1992,Indirect migration background,West,No,1.0,372,12981,0.90102,1.12072
46,46,1993,No migration background,West,Yes,0.03636,233,12863,0.03344,0.03953
47,47,1993,No migration background,West,No,0.96364,6197,12863,0.9514,0.97762
48,48,1993,No migration background,East,Yes,0.14626,532,12863,0.13933,0.15213
49,49,1993,No migration background,East,No,0.85374,3114,12863,0.8374,0.86875
50,50,1993,Direct migration background,West,Yes,0.06317,177,12863,0.05438,0.07175
51,51,1993,Direct migration background,West,No,0.93683,2084,12863,0.90041,0.97343
52,52,1993,Direct migration background,East,No,1.0,112,12863,0.91019,1.07899
53,53,1993,Indirect migration background,West,No,1.0,414,12863,0.9127,1.11036
54,54,1994,No migration background,West,Yes,0.04429,288,12732,0.04142,0.04733
55,55,1994,No migration background,West,No,0.95571,6086,12732,0.94292,0.96921
56,56,1994,No migration background,East,Yes,0.14923,533,12732,0.14213,0.15607
57,57,1994,No migration background,East,No,0.85077,3051,12732,0.83492,0.86823
58,58,1994,Direct migration background,West,Yes,0.08434,220,12732,0.07182,0.097
59,59,1994,Direct migration background,West,No,0.91566,1968,12732,0.86561,0.95928
60,60,1994,Direct migration background,East,No,1.0,120,12732,0.90645,1.10145
61,61,1994,Indirect migration background,West,Yes,0.06654,36,12732,0.0523,0.08237
62,62,1994,Indirect migration background,West,No,0.93346,430,12732,0.85553,1.02079
63,63,1995,No migration background,West,Yes,0.04523,284,13095,0.0419,0.04845
64,64,1995,No migration background,West,No,0.95477,6118,13095,0.94281,0.96922
65,65,1995,No migration background,East,Yes,0.12666,443,13095,0.12049,0.13372
66,66,1995,No migration background,East,No,0.87334,3044,13095,0.85493,0.89329
67,67,1995,Direct migration background,West,Yes,0.10887,283,13095,0.0959,0.12612
68,68,1995,Direct migration background,West,No,0.89113,2319,13095,0.85744,0.92963
69,69,1995,Direct migration background,East,No,1.0,122,13095,0.90659,1.11124
70,70,1995,Indirect migration background,West,Yes,0.06829,41,13095,0.05531,0.08228
71,71,1995,Indirect migration background,West,No,0.93171,441,13095,0.82893,1.03997
72,72,1996,No migration background,West,Yes,0.0463,284,12714,0.04276,0.04958
73,73,1996,No migration background,West,No,0.9537,5971,12714,0.93556,0.96908
74,74,1996,No migration background,East,Yes,0.12826,449,12714,0.12131,0.13519
75,75,1996,No migration background,East,No,0.87174,2966,12714,0.85487,0.89264
76,76,1996,Direct migration background,West,Yes,0.10724,253,12714,0.09152,0.12228
77,77,1996,Direct migration background,West,No,0.89276,2156,12714,0.85658,0.93558
78,78,1996,Direct migration background,East,No,1.0,123,12714,0.90129,1.08448
79,79,1996,Indirect migration background,West,Yes,0.07849,45,12714,0.05825,0.10095
80,80,1996,Indirect migration background,West,No,0.92151,467,12714,0.82168,1.00314
81,81,1997,No migration background,West,Yes,0.05233,315,12791,0.04824,0.0565
82,82,1997,No migration background,West,No,0.94767,5992,12791,0.93074,0.96533
83,83,1997,No migration background,East,Yes,0.12986,440,12791,0.12128,0.13805
84,84,1997,No migration background,East,No,0.87014,3043,12791,0.85131,0.88918
85,85,1997,Direct migration background,West,Yes,0.10076,267,12791,0.09062,0.11221
86,86,1997,Direct migration background,West,No,0.89924,2073,12791,0.86543,0.93878
87,87,1997,Direct migration background,East,No,1.0,115,12791,0.90517,1.09211
88,88,1997,Indirect migration background,West,Yes,0.0792,44,12791,0.05305,0.11883
89,89,1997,Indirect migration background,West,No,0.9208,502,12791,0.84717,1.01012
90,90,1998,No migration background,West,Yes,0.04493,322,14069,0.04217,0.04792
91,91,1998,No migration background,West,No,0.95507,7149,14069,0.94244,0.96668
92,92,1998,No migration background,East,Yes,0.13557,516,14069,0.12831,0.14325
93,93,1998,No migration background,East,No,0.86443,3166,14069,0.84537,0.88712
94,94,1998,Direct migration background,West,Yes,0.09489,235,14069,0.08354,0.10706
95,95,1998,Direct migration background,West,No,0.90511,2015,14069,0.8685,0.93843
96,96,1998,Direct migration background,East,No,1.0,99,14069,0.90647,1.10094
97,97,1998,Indirect migration background,West,Yes,0.0871,54,14069,0.07113,0.10419
98,98,1998,Indirect migration background,West,No,0.9129,513,14069,0.84103,0.99744
